T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","COUNTY NAME","GENDER","GRADE","ENROLLMENT"
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 1",100
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 1",97
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 2",109
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 2",115
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 3",113
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 3",106
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 4",100
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 4",92
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 5",117
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 5",122
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 6",99
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 6",112
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 7",106
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 7",114
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 8",105
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 8",112
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 9",118
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 9",145
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 10",94
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 10",91
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 11",105
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 11",111
"2018-2019",02,"ARANSAS COUNTY","FEMALE","Grade 12",92
"2018-2019",02,"ARANSAS COUNTY","MALE","Grade 12",102
"2018-2019",09,"ARCHER COUNTY","FEMALE","Early Education",-999
"2018-2019",09,"ARCHER COUNTY","MALE","Early Education",-999
"2018-2019",09,"ARCHER COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",09,"ARCHER COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",09,"ARCHER COUNTY","FEMALE","Kindergarten",68
"2018-2019",09,"ARCHER COUNTY","MALE","Kindergarten",63
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 1",67
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 1",71
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 2",68
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 2",65
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 3",65
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 3",56
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 4",79
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 4",67
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 5",62
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 5",86
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 6",70
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 6",73
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 7",72
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 7",80
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 8",78
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 8",81
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 9",79
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 9",91
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 10",61
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 10",83
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 11",77
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 11",79
"2018-2019",09,"ARCHER COUNTY","FEMALE","Grade 12",65
"2018-2019",09,"ARCHER COUNTY","MALE","Grade 12",78
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Early Education",-999
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Kindergarten",9
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Kindergarten",22
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 1",19
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 1",10
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 2",11
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 2",18
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 3",-999
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 3",-999
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 4",17
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 4",11
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 5",11
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 5",16
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 6",14
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 6",17
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 7",10
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 7",12
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 8",17
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 8",14
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 9",11
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 9",12
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 10",8
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 10",13
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 11",7
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 11",12
"2018-2019",16,"ARMSTRONG COUNTY","FEMALE","Grade 12",13
"2018-2019",16,"ARMSTRONG COUNTY","MALE","Grade 12",11
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Early Education",-999
"2018-2019",20,"ATASCOSA COUNTY","MALE","Early Education",-999
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",20,"ATASCOSA COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Kindergarten",336
"2018-2019",20,"ATASCOSA COUNTY","MALE","Kindergarten",332
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 1",315
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 1",334
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 2",327
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 2",352
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 3",329
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 3",325
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 4",328
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 4",385
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 5",328
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 5",343
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 6",335
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 6",379
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 7",324
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 7",324
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 8",318
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 8",349
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 9",327
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 9",380
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 10",312
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 10",325
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 11",290
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 11",327
"2018-2019",20,"ATASCOSA COUNTY","FEMALE","Grade 12",300
"2018-2019",20,"ATASCOSA COUNTY","MALE","Grade 12",295
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Early Education",14
"2018-2019",06,"AUSTIN COUNTY","MALE","Early Education",27
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Pre-kindergarten",80
"2018-2019",06,"AUSTIN COUNTY","MALE","Pre-kindergarten",92
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Kindergarten",194
"2018-2019",06,"AUSTIN COUNTY","MALE","Kindergarten",171
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 1",214
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 1",216
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 2",177
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 2",203
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 3",213
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 3",224
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 4",233
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 4",212
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 5",230
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 5",238
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 6",243
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 6",219
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 7",197
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 7",240
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 8",194
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 8",254
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 9",259
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 9",233
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 10",234
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 10",241
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 11",208
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 11",225
"2018-2019",06,"AUSTIN COUNTY","FEMALE","Grade 12",188
"2018-2019",06,"AUSTIN COUNTY","MALE","Grade 12",195
"2018-2019",17,"BAILEY COUNTY","FEMALE","Early Education",-999
"2018-2019",17,"BAILEY COUNTY","MALE","Early Education",-999
"2018-2019",17,"BAILEY COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",17,"BAILEY COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",17,"BAILEY COUNTY","FEMALE","Kindergarten",43
"2018-2019",17,"BAILEY COUNTY","MALE","Kindergarten",48
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 1",50
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 1",53
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 2",69
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 2",56
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 3",46
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 3",44
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 4",51
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 4",66
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 5",48
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 5",64
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 6",56
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 6",59
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 7",46
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 7",64
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 8",62
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 8",53
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 9",50
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 9",44
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 10",43
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 10",43
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 11",35
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 11",50
"2018-2019",17,"BAILEY COUNTY","FEMALE","Grade 12",51
"2018-2019",17,"BAILEY COUNTY","MALE","Grade 12",49
"2018-2019",20,"BANDERA COUNTY","FEMALE","Early Education",-999
"2018-2019",20,"BANDERA COUNTY","MALE","Early Education",-999
"2018-2019",20,"BANDERA COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",20,"BANDERA COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",20,"BANDERA COUNTY","FEMALE","Kindergarten",94
"2018-2019",20,"BANDERA COUNTY","MALE","Kindergarten",94
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 1",84
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 1",93
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 2",86
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 2",86
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 3",81
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 3",81
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 4",91
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 4",88
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 5",89
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 5",105
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 6",96
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 6",91
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 7",112
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 7",98
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 8",95
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 8",99
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 9",99
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 9",132
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 10",60
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 10",96
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 11",94
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 11",92
"2018-2019",20,"BANDERA COUNTY","FEMALE","Grade 12",-999
"2018-2019",20,"BANDERA COUNTY","MALE","Grade 12",-999
"2018-2019",13,"BASTROP COUNTY","FEMALE","Early Education",27
"2018-2019",13,"BASTROP COUNTY","MALE","Early Education",55
"2018-2019",13,"BASTROP COUNTY","FEMALE","Pre-kindergarten",364
"2018-2019",13,"BASTROP COUNTY","MALE","Pre-kindergarten",348
"2018-2019",13,"BASTROP COUNTY","FEMALE","Kindergarten",546
"2018-2019",13,"BASTROP COUNTY","MALE","Kindergarten",599
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 1",560
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 1",574
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 2",585
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 2",675
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 3",581
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 3",626
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 4",659
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 4",665
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 5",675
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 5",680
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 6",721
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 6",730
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 7",668
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 7",747
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 8",591
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 8",726
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 9",739
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 9",751
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 10",691
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 10",688
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 11",604
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 11",678
"2018-2019",13,"BASTROP COUNTY","FEMALE","Grade 12",585
"2018-2019",13,"BASTROP COUNTY","MALE","Grade 12",584
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Pre-kindergarten",-999
"2018-2019",09,"BAYLOR COUNTY","MALE","Pre-kindergarten",-999
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Kindergarten",19
"2018-2019",09,"BAYLOR COUNTY","MALE","Kindergarten",35
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 1",28
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 1",24
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 2",26
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 2",17
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 3",22
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 3",24
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 4",24
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 4",19
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 5",25
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 5",21
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 6",14
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 6",23
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 7",16
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 7",30
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 8",18
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 8",29
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 9",21
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 9",17
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 10",19
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 10",23
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 11",14
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 11",23
"2018-2019",09,"BAYLOR COUNTY","FEMALE","Grade 12",-999
"2018-2019",09,"BAYLOR COUNTY","MALE","Grade 12",-999
"2018-2019",02,"BEE COUNTY","FEMALE","Early Education",-999
"2018-2019",02,"BEE COUNTY","MALE","Early Education",-999
"2018-2019",02,"BEE COUNTY","FEMALE","Pre-kindergarten",183
"2018-2019",02,"BEE COUNTY","MALE","Pre-kindergarten",191
"2018-2019",02,"BEE COUNTY","FEMALE","Kindergarten",171
"2018-2019",02,"BEE COUNTY","MALE","Kindergarten",208
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 1",171
"2018-2019",02,"BEE COUNTY","MALE","Grade 1",214
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 2",190
"2018-2019",02,"BEE COUNTY","MALE","Grade 2",183
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 3",173
"2018-2019",02,"BEE COUNTY","MALE","Grade 3",180
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 4",199
"2018-2019",02,"BEE COUNTY","MALE","Grade 4",189
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 5",222
"2018-2019",02,"BEE COUNTY","MALE","Grade 5",210
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 6",171
"2018-2019",02,"BEE COUNTY","MALE","Grade 6",209
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 7",194
"2018-2019",02,"BEE COUNTY","MALE","Grade 7",202
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 8",199
"2018-2019",02,"BEE COUNTY","MALE","Grade 8",207
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 9",201
"2018-2019",02,"BEE COUNTY","MALE","Grade 9",190
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 10",194
"2018-2019",02,"BEE COUNTY","MALE","Grade 10",171
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 11",-999
"2018-2019",02,"BEE COUNTY","MALE","Grade 11",-999
"2018-2019",02,"BEE COUNTY","FEMALE","Grade 12",172
"2018-2019",02,"BEE COUNTY","MALE","Grade 12",177
"2018-2019",12,"BELL COUNTY","FEMALE","Early Education",93
"2018-2019",12,"BELL COUNTY","MALE","Early Education",189
"2018-2019",12,"BELL COUNTY","FEMALE","Pre-kindergarten",2272
"2018-2019",12,"BELL COUNTY","MALE","Pre-kindergarten",2232
"2018-2019",12,"BELL COUNTY","FEMALE","Kindergarten",2847
"2018-2019",12,"BELL COUNTY","MALE","Kindergarten",2901
"2018-2019",12,"BELL COUNTY","FEMALE","Grade 1",2910
