"Year","Region","County Name","Gender Name","Enrollment by Gender"
"2016-2017",05,"HARDIN COUNTY","Male",5578
"2016-2017",04,"HARRIS COUNTY","Female",444094
"2016-2017",04,"HARRIS COUNTY","Male",465453
"2016-2017",07,"HARRISON COUNTY","Female",6466
"2016-2017",07,"HARRISON COUNTY","Male",6771
"2016-2017",16,"HARTLEY COUNTY","Female",224
"2016-2017",16,"HARTLEY COUNTY","Male",198
"2016-2017",14,"HASKELL COUNTY","Female",436
"2016-2017",14,"HASKELL COUNTY","Male",444
"2016-2017",13,"HAYS COUNTY","Female",17630
"2016-2017",13,"HAYS COUNTY","Male",18607
"2016-2017",16,"HEMPHILL COUNTY","Female",485
"2016-2017",16,"HEMPHILL COUNTY","Male",512
"2016-2017",07,"HENDERSON COUNTY/07","Female",3414
"2016-2017",07,"HENDERSON COUNTY/07","Male",3564
"2016-2017",10,"HENDERSON COUNTY/10","Female",1498
"2016-2017",10,"HENDERSON COUNTY/10","Male",1653
"2016-2017","AL","HENDERSON COUNTY/ALL","Female",4912
"2016-2017","AL","HENDERSON COUNTY/ALL","Male",5217
"2016-2017",01,"HIDALGO COUNTY","Female",114872
"2016-2017",01,"HIDALGO COUNTY","Male",120122
"2016-2017",12,"HILL COUNTY","Female",3226
"2016-2017",12,"HILL COUNTY","Male",3429
"2016-2017",17,"HOCKLEY COUNTY","Female",2391
"2016-2017",17,"HOCKLEY COUNTY","Male",2517
"2016-2017",11,"HOOD COUNTY","Female",3937
"2016-2017",11,"HOOD COUNTY","Male",4281
"2016-2017",08,"HOPKINS COUNTY","Female",3307
"2016-2017",08,"HOPKINS COUNTY","Male",3537
"2016-2017",06,"HOUSTON COUNTY","Female",1566
"2016-2017",06,"HOUSTON COUNTY","Male",1618
"2016-2017",18,"HOWARD COUNTY","Female",2730
"2016-2017",18,"HOWARD COUNTY","Male",2869
"2016-2017",19,"HUDSPETH COUNTY","Female",291
"2016-2017",19,"HUDSPETH COUNTY","Male",314
"2016-2017",08,"HUNT COUNTY/08","Female",2528
"2016-2017",08,"HUNT COUNTY/08","Male",2832
"2016-2017",10,"HUNT COUNTY/10","Female",4740
"2016-2017",10,"HUNT COUNTY/10","Male",4925
"2016-2017","AL","HUNT COUNTY/ALL","Female",7268
"2016-2017","AL","HUNT COUNTY/ALL","Male",7757
"2016-2017",16,"HUTCHINSON COUNTY","Female",2122
"2016-2017",16,"HUTCHINSON COUNTY","Male",2208
"2016-2017",15,"IRION COUNTY","Female",122
"2016-2017",15,"IRION COUNTY","Male",138
"2016-2017",09,"JACK COUNTY","Female",769
"2016-2017",09,"JACK COUNTY","Male",860
"2016-2017",03,"JACKSON COUNTY","Female",1764
"2016-2017",03,"JACKSON COUNTY","Male",1787
"2016-2017",05,"JASPER COUNTY","Female",3098
"2016-2017",05,"JASPER COUNTY","Male",3304
"2016-2017",18,"JEFF DAVIS COUNTY","Female",135
"2016-2017",18,"JEFF DAVIS COUNTY","Male",138
"2016-2017",05,"JEFFERSON COUNTY","Female",20687
"2016-2017",05,"JEFFERSON COUNTY","Male",21643
"2016-2017",01,"JIM HOGG COUNTY","Female",563
"2016-2017",01,"JIM HOGG COUNTY","Male",618
"2016-2017",02,"JIM WELLS COUNTY","Female",3945
"2016-2017",02,"JIM WELLS COUNTY","Male",4273
"2016-2017",11,"JOHNSON COUNTY","Female",16600
"2016-2017",11,"JOHNSON COUNTY","Male",18113
"2016-2017",14,"JONES COUNTY","Female",1263
"2016-2017",14,"JONES COUNTY","Male",1415
"2016-2017",03,"KARNES COUNTY/03","Female",1072
"2016-2017",03,"KARNES COUNTY/03","Male",1087
"2016-2017",20,"KARNES COUNTY/20","Female",168
"2016-2017",20,"KARNES COUNTY/20","Male",196
"2016-2017","AL","KARNES COUNTY/ALL","Female",1240
"2016-2017","AL","KARNES COUNTY/ALL","Male",1283
"2016-2017",10,"KAUFMAN COUNTY","Female",13477
"2016-2017",10,"KAUFMAN COUNTY","Male",14244
"2016-2017",13,"KENDALL COUNTY/13","Female",550
"2016-2017",13,"KENDALL COUNTY/13","Male",583
"2016-2017",20,"KENDALL COUNTY/20","Female",4054
"2016-2017",20,"KENDALL COUNTY/20","Male",4332
"2016-2017","AL","KENDALL COUNTY/ALL","Female",4604
"2016-2017","AL","KENDALL COUNTY/ALL","Male",4915
"2016-2017",02,"KENEDY COUNTY","Female",28
"2016-2017",02,"KENEDY COUNTY","Male",47
"2016-2017",17,"KENT COUNTY","Female",65
"2016-2017",17,"KENT COUNTY","Male",63
"2016-2017",20,"KERR COUNTY","Female",3305
"2016-2017",20,"KERR COUNTY","Male",3562
"2016-2017",15,"KIMBLE COUNTY","Female",304
"2016-2017",15,"KIMBLE COUNTY","Male",329
"2016-2017",17,"KING COUNTY","Female",57
"2016-2017",17,"KING COUNTY","Male",55
"2016-2017",20,"KINNEY COUNTY","Female",300
"2016-2017",20,"KINNEY COUNTY","Male",320
"2016-2017",02,"KLEBERG COUNTY","Female",2588
"2016-2017",02,"KLEBERG COUNTY","Male",2681
"2016-2017",09,"KNOX COUNTY","Female",400
"2016-2017",09,"KNOX COUNTY","Male",407
"2016-2017",20,"LA SALLE COUNTY","Female",694
"2016-2017",20,"LA SALLE COUNTY","Male",674
"2016-2017",08,"LAMAR COUNTY","Female",4204
"2016-2017",08,"LAMAR COUNTY","Male",4369
"2016-2017",17,"LAMB COUNTY","Female",1448
"2016-2017",17,"LAMB COUNTY","Male",1556
"2016-2017",12,"LAMPASAS COUNTY","Female",1787
"2016-2017",12,"LAMPASAS COUNTY","Male",1858
"2016-2017",03,"LAVACA COUNTY","Female",1191
"2016-2017",03,"LAVACA COUNTY","Male",1237
"2016-2017",13,"LEE COUNTY","Female",1519
"2016-2017",13,"LEE COUNTY","Male",1567
"2016-2017",06,"LEON COUNTY","Female",1532
"2016-2017",06,"LEON COUNTY","Male",1595
"2016-2017",04,"LIBERTY COUNTY/04","Female",7595
"2016-2017",04,"LIBERTY COUNTY/04","Male",8197
"2016-2017",05,"LIBERTY COUNTY/05","Female",229
"2016-2017",05,"LIBERTY COUNTY/05","Male",238
"2016-2017","AL","LIBERTY COUNTY/ALL","Female",7824
"2016-2017","AL","LIBERTY COUNTY/ALL","Male",8435
"2016-2017",12,"LIMESTONE COUNTY","Female",1934
"2016-2017",12,"LIMESTONE COUNTY","Male",2094
"2016-2017",16,"LIPSCOMB COUNTY","Female",389
"2016-2017",16,"LIPSCOMB COUNTY","Male",423
"2016-2017",02,"LIVE OAK COUNTY","Female",830
"2016-2017",02,"LIVE OAK COUNTY","Male",914
"2016-2017",13,"LLANO COUNTY","Female",877
"2016-2017",13,"LLANO COUNTY","Male",982
"2016-2017",17,"LUBBOCK COUNTY","Female",24532
"2016-2017",17,"LUBBOCK COUNTY","Male",25670
"2016-2017",17,"LYNN COUNTY","Female",665
"2016-2017",17,"LYNN COUNTY","Male",760
"2016-2017",06,"MADISON COUNTY","Female",1350
"2016-2017",06,"MADISON COUNTY","Male",1334
"2016-2017",08,"MARION COUNTY","Female",636
"2016-2017",08,"MARION COUNTY","Male",626
"2016-2017",18,"MARTIN COUNTY","Female",580
"2016-2017",18,"MARTIN COUNTY","Male",667
"2016-2017",15,"MASON COUNTY","Female",338
"2016-2017",15,"MASON COUNTY","Male",369
"2016-2017",03,"MATAGORDA COUNTY","Female",3515
"2016-2017",03,"MATAGORDA COUNTY","Male",3749
"2016-2017",20,"MAVERICK COUNTY","Female",7198
"2016-2017",20,"MAVERICK COUNTY","Male",7633
"2016-2017",15,"MCCULLOCH COUNTY","Female",693
"2016-2017",15,"MCCULLOCH COUNTY","Male",805
"2016-2017",12,"MCLENNAN COUNTY","Female",26085
"2016-2017",12,"MCLENNAN COUNTY","Male",27647
"2016-2017",02,"MCMULLEN COUNTY","Female",138
"2016-2017",02,"MCMULLEN COUNTY","Male",127
"2016-2017",20,"MEDINA COUNTY","Female",4968
"2016-2017",20,"MEDINA COUNTY","Male",5231
"2016-2017",15,"MENARD COUNTY","Female",145
"2016-2017",15,"MENARD COUNTY","Male",149
"2016-2017",18,"MIDLAND COUNTY","Female",13376
"2016-2017",18,"MIDLAND COUNTY","Male",14263
"2016-2017",06,"MILAM COUNTY/06","Female",2015
"2016-2017",06,"MILAM COUNTY/06","Male",2116
"2016-2017",13,"MILAM COUNTY/13","Female",268
"2016-2017",13,"MILAM COUNTY/13","Male",310
"2016-2017","AL","MILAM COUNTY/ALL","Female",2283
"2016-2017","AL","MILAM COUNTY/ALL","Male",2426
"2016-2017",12,"MILLS COUNTY","Female",502
"2016-2017",12,"MILLS COUNTY","Male",502
"2016-2017",14,"MITCHELL COUNTY","Female",695
"2016-2017",14,"MITCHELL COUNTY","Male",746
"2016-2017",09,"MONTAGUE COUNTY","Female",1655
"2016-2017",09,"MONTAGUE COUNTY","Male",1679
"2016-2017",06,"MONTGOMERY COUNTY","Female",52280
"2016-2017",06,"MONTGOMERY COUNTY","Male",54977
"2016-2017",16,"MOORE COUNTY","Female",2431
"2016-2017",16,"MOORE COUNTY","Male",2653
"2016-2017",08,"MORRIS COUNTY","Female",920
"2016-2017",08,"MORRIS COUNTY","Male",1055
"2016-2017",17,"MOTLEY COUNTY","Female",76
"2016-2017",17,"MOTLEY COUNTY","Male",83
"2016-2017",07,"NACOGDOCHES COUNTY","Female",5447
"2016-2017",07,"NACOGDOCHES COUNTY","Male",5791
"2016-2017",12,"NAVARRO COUNTY","Female",4661
"2016-2017",12,"NAVARRO COUNTY","Male",5254
"2016-2017",05,"NEWTON COUNTY","Female",909
"2016-2017",05,"NEWTON COUNTY","Male",1004
"2016-2017",14,"NOLAN COUNTY","Female",1520
"2016-2017",14,"NOLAN COUNTY","Male",1684
"2016-2017",02,"NUECES COUNTY/02","Female",28092
"2016-2017",02,"NUECES COUNTY/02","Male",30217
"2016-2017",20,"NUECES COUNTY/20","Female",1967
"2016-2017",20,"NUECES COUNTY/20","Male",1883
"2016-2017","AL","NUECES COUNTY/ALL","Female",30059
"2016-2017","AL","NUECES COUNTY/ALL","Male",32100
"2016-2017",16,"OCHILTREE COUNTY","Female",1126
"2016-2017",16,"OCHILTREE COUNTY","Male",1204
"2016-2017",16,"OLDHAM COUNTY","Female",424
"2016-2017",16,"OLDHAM COUNTY","Male",477
"2016-2017",05,"ORANGE COUNTY","Female",7271
"2016-2017",05,"ORANGE COUNTY","Male",8063
"2016-2017",11,"PALO PINTO COUNTY","Female",2215
"2016-2017",11,"PALO PINTO COUNTY","Male",2405
"2016-2017",07,"PANOLA COUNTY","Female",1923
"2016-2017",07,"PANOLA COUNTY","Male",2097
"2016-2017",11,"PARKER COUNTY","Female",10331
"2016-2017",11,"PARKER COUNTY","Male",10879
"2016-2017",16,"PARMER COUNTY","Female",1152
"2016-2017",16,"PARMER COUNTY","Male",1216
"2016-2017",18,"PECOS COUNTY","Female",1523
"2016-2017",18,"PECOS COUNTY","Male",1700
"2016-2017",06,"POLK COUNTY","Female",3309
"2016-2017",06,"POLK COUNTY","Male",3624
"2016-2017",16,"POTTER COUNTY","Female",18283
"2016-2017",16,"POTTER COUNTY","Male",18989
"2016-2017",18,"PRESIDIO COUNTY","Female",834
"2016-2017",18,"PRESIDIO COUNTY","Male",867
"2016-2017",07,"RAINS COUNTY","Female",795
"2016-2017",07,"RAINS COUNTY","Male",891
"2016-2017",16,"RANDALL COUNTY","Female",4750
"2016-2017",16,"RANDALL COUNTY","Male",5112
"2016-2017",18,"REAGAN COUNTY","Female",405
"2016-2017",18,"REAGAN COUNTY","Male",446
"2016-2017",20,"REAL COUNTY","Female",244
"2016-2017",20,"REAL COUNTY","Male",262
"2016-2017",08,"RED RIVER COUNTY","Female",1017
"2016-2017",08,"RED RIVER COUNTY","Male",1063
"2016-2017",18,"REEVES COUNTY","Female",1255
"2016-2017",18,"REEVES COUNTY","Male",1393
"2016-2017",03,"REFUGIO COUNTY","Female",693
"2016-2017",03,"REFUGIO COUNTY","Male",706
"2016-2017",16,"ROBERTS COUNTY","Female",91
"2016-2017",16,"ROBERTS COUNTY","Male",104
"2016-2017",06,"ROBERTSON COUNTY","Female",1604
"2016-2017",06,"ROBERTSON COUNTY","Male",1752
"2016-2017",10,"ROCKWALL COUNTY","Female",10392
"2016-2017",10,"ROCKWALL COUNTY","Male",10894
"2016-2017",15,"RUNNELS COUNTY","Female",982
"2016-2017",15,"RUNNELS COUNTY","Male",1062
"2016-2017",07,"RUSK COUNTY","Female",4031
"2016-2017",07,"RUSK COUNTY","Male",4178
"2016-2017",07,"SABINE COUNTY","Female",789
"2016-2017",07,"SABINE COUNTY","Male",799
"2016-2017",07,"SAN AUGUSTINE COUNTY","Female",539
"2016-2017",07,"SAN AUGUSTINE COUNTY","Male",598
"2016-2017",06,"SAN JACINTO COUNTY","Female",1657
"2016-2017",06,"SAN JACINTO COUNTY","Male",1865
"2016-2017",02,"SAN PATRICIO COUNTY","Female",6990
"2016-2017",02,"SAN PATRICIO COUNTY","Male",7494
"2016-2017",15,"SAN SABA COUNTY","Female",468
"2016-2017",15,"SAN SABA COUNTY","Male",505
"2016-2017",15,"SCHLEICHER COUNTY","Female",274
"2016-2017",15,"SCHLEICHER COUNTY","Male",296
"2016-2017",14,"SCURRY COUNTY","Female",1585
"2016-2017",14,"SCURRY COUNTY","Male",1761
"2016-2017",14,"SHACKELFORD COUNTY","Female",315
"2016-2017",14,"SHACKELFORD COUNTY","Male",322
"2016-2017",07,"SHELBY COUNTY","Female",2658
"2016-2017",07,"SHELBY COUNTY","Male",2883
"2016-2017",16,"SHERMAN COUNTY","Female",360
"2016-2017",16,"SHERMAN COUNTY","Male",408
"2016-2017",07,"SMITH COUNTY","Female",18409
"2016-2017",07,"SMITH COUNTY","Male",19770
"2016-2017",11,"SOMERVELL COUNTY","Female",1003
"2016-2017",11,"SOMERVELL COUNTY","Male",984
"2016-2017",01,"STARR COUNTY","Female",8723
"2016-2017",01,"STARR COUNTY","Male",8884
"2016-2017",14,"STEPHENS COUNTY","Female",716
"2016-2017",14,"STEPHENS COUNTY","Male",777
"2016-2017",15,"STERLING COUNTY","Female",134
"2016-2017",15,"STERLING COUNTY","Male",160
"2016-2017",14,"STONEWALL COUNTY","Female",133
"2016-2017",14,"STONEWALL COUNTY","Male",116
"2016-2017",15,"SUTTON COUNTY","Female",397
"2016-2017",15,"SUTTON COUNTY","Male",437
"2016-2017",16,"SWISHER COUNTY","Female",775
"2016-2017",16,"SWISHER COUNTY","Male",860
"2016-2017",11,"TARRANT COUNTY","Female",175290
"2016-2017",11,"TARRANT COUNTY","Male",184589
"2016-2017",14,"TAYLOR COUNTY","Female",18940
"2016-2017",14,"TAYLOR COUNTY","Male",19029
"2016-2017",18,"TERRELL COUNTY","Female",67
"2016-2017",18,"TERRELL COUNTY","Male",79
"2016-2017",17,"TERRY COUNTY","Female",1200
"2016-2017",17,"TERRY COUNTY","Male",1238
"2016-2017",09,"THROCKMORTON COUNTY","Female",142
"2016-2017",09,"THROCKMORTON COUNTY","Male",166
"2016-2017",08,"TITUS COUNTY","Female",3471
"2016-2017",08,"TITUS COUNTY","Male",3629
"2016-2017",15,"TOM GREEN COUNTY","Female",10241
"2016-2017",15,"TOM GREEN COUNTY","Male",10810
"2016-2017",13,"TRAVIS COUNTY","Female",79640
"2016-2017",13,"TRAVIS COUNTY","Male",84183
"2016-2017",06,"TRINITY COUNTY","Female",1139
"2016-2017",06,"TRINITY COUNTY","Male",1181
"2016-2017",05,"TYLER COUNTY","Female",1800
