"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CAMPUS","CAMPUS NAME","GENDER","GRADE GROUP NAME","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907102,"WASHINGTON EARLY CHILDHOOD CENTER","MALE","ELEMENTARY",98
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907107,"SOUTHSIDE EL","FEMALE","ELEMENTARY",210
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907107,"SOUTHSIDE EL","MALE","ELEMENTARY",252
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907110,"STORY INT","FEMALE","ELEMENTARY",349
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD",001907110,"STORY INT","MALE","ELEMENTARY",407
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908002,"WESTWOOD H S","FEMALE","HIGH SCHOOL",210
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908002,"WESTWOOD H S","MALE","HIGH SCHOOL",208
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908041,"WESTWOOD J H","FEMALE","JUNIOR HIGH SCHOOL",102
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908041,"WESTWOOD J H","MALE","JUNIOR HIGH SCHOOL",135
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908101,"WESTWOOD EL","FEMALE","ELEMENTARY",231
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908101,"WESTWOOD EL","MALE","ELEMENTARY",216
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908102,"WESTWOOD PRI","FEMALE","ELEMENTARY",210
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD",001908102,"WESTWOOD PRI","MALE","ELEMENTARY",206
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD",001909001,"SLOCUM H S","FEMALE","HIGH SCHOOL",52
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD",001909001,"SLOCUM H S","MALE","HIGH SCHOOL",63
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD",001909101,"SLOCUM PK - 8","FEMALE","ELEMENTARY",157
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD",001909101,"SLOCUM PK - 8","MALE","ELEMENTARY",134
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901001,"ANDREWS H S","FEMALE","HIGH SCHOOL",553
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901001,"ANDREWS H S","MALE","HIGH SCHOOL",590
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901002,"ANDREWS EDUCATION CENTER","FEMALE","HIGH SCHOOL",19
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901002,"ANDREWS EDUCATION CENTER","MALE","HIGH SCHOOL",22
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901041,"ANDREWS MIDDLE","FEMALE","MIDDLE SCHOOL",489
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901041,"ANDREWS MIDDLE","MALE","MIDDLE SCHOOL",537
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901101,"DEVONIAN EL","FEMALE","ELEMENTARY",303
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901101,"DEVONIAN EL","MALE","ELEMENTARY",306
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901104,"UNDERWOOD EL","FEMALE","ELEMENTARY",318
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901104,"UNDERWOOD EL","MALE","ELEMENTARY",356
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901105,"CLEARFORK EL","FEMALE","ELEMENTARY",408
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD",002901105,"CLEARFORK EL","MALE","ELEMENTARY",418
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801001,"PINEYWOODS COMMUNITY ACADEMY H S","FEMALE","HIGH SCHOOL",128
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801001,"PINEYWOODS COMMUNITY ACADEMY H S","MALE","HIGH SCHOOL",123
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801042,"DR TERRY ROBBINS MIDDLE","FEMALE","MIDDLE SCHOOL",138
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801042,"DR TERRY ROBBINS MIDDLE","MALE","MIDDLE SCHOOL",119
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801103,"SARAH STRINDEN EL","FEMALE","ELEMENTARY",265
"2018-2019",07,"ANGELINA COUNTY",003801,"PINEYWOODS COMMUNITY ACADEMY",003801103,"SARAH STRINDEN EL","MALE","ELEMENTARY",249
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902001,"HUDSON H S","FEMALE","HIGH SCHOOL",439
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902001,"HUDSON H S","MALE","HIGH SCHOOL",399
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902004,"STUBBLEFIELD LRN CTR","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902004,"STUBBLEFIELD LRN CTR","MALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902041,"HUDSON MIDDLE","FEMALE","MIDDLE SCHOOL",353
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902041,"HUDSON MIDDLE","MALE","MIDDLE SCHOOL",353
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902101,"W F PEAVY PRI","FEMALE","ELEMENTARY",385
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902101,"W F PEAVY PRI","MALE","ELEMENTARY",375
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902102,"W H BONNER EL","FEMALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003902,"HUDSON ISD",003902102,"W H BONNER EL","MALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903001,"LUFKIN H S","FEMALE","HIGH SCHOOL",1020
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903001,"LUFKIN H S","MALE","HIGH SCHOOL",1112
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903004,"STUBBLEFIELD LRN CTR","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903004,"STUBBLEFIELD LRN CTR","MALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903044,"LUFKIN MIDDLE","FEMALE","MIDDLE SCHOOL",833
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903044,"LUFKIN MIDDLE","MALE","MIDDLE SCHOOL",882
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903120,"ANDERSON EL","FEMALE","ELEMENTARY",125
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903120,"ANDERSON EL","MALE","ELEMENTARY",133
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903121,"BRANDON EL","FEMALE","ELEMENTARY",201
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903121,"BRANDON EL","MALE","ELEMENTARY",206
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903122,"BROOKHOLLOW EL","FEMALE","ELEMENTARY",152
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903122,"BROOKHOLLOW EL","MALE","ELEMENTARY",148
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903123,"COSTON EL","FEMALE","ELEMENTARY",111
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903123,"COSTON EL","MALE","ELEMENTARY",128
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903124,"DUNBAR PRI","FEMALE","ELEMENTARY",167
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903124,"DUNBAR PRI","MALE","ELEMENTARY",194
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903125,"GARRETT PRI","FEMALE","ELEMENTARY",165
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903125,"GARRETT PRI","MALE","ELEMENTARY",182
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903126,"HACKNEY PRI","FEMALE","ELEMENTARY",126
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903126,"HACKNEY PRI","MALE","ELEMENTARY",101
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903127,"HERTY PRI","FEMALE","ELEMENTARY",112
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903127,"HERTY PRI","MALE","ELEMENTARY",157
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903128,"KURTH PRI","FEMALE","ELEMENTARY",149
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903128,"KURTH PRI","MALE","ELEMENTARY",173
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903129,"SLACK EL","FEMALE","ELEMENTARY",285
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903129,"SLACK EL","MALE","ELEMENTARY",266
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903130,"TROUT PRI","FEMALE","ELEMENTARY",133
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903130,"TROUT PRI","MALE","ELEMENTARY",143
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903131,"BURLEY PRI","FEMALE","ELEMENTARY",210
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903131,"BURLEY PRI","MALE","ELEMENTARY",190
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903141,"SPECIAL SERVICES","FEMALE","ELEMENTARY / SECONDARY",-999
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903141,"SPECIAL SERVICES","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",07,"ANGELINA COUNTY",003903,"LUFKIN ISD",003903201,"JUVENILE DETENT CTR","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904001,"HUNTINGTON H S","FEMALE","HIGH SCHOOL",238
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904001,"HUNTINGTON H S","MALE","HIGH SCHOOL",277
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904005,"PRIDE ALTER SCH","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904005,"PRIDE ALTER SCH","MALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904041,"HUNTINGTON MIDDLE","FEMALE","MIDDLE SCHOOL",203
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904041,"HUNTINGTON MIDDLE","MALE","MIDDLE SCHOOL",194
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904101,"HUNTINGTON EL","FEMALE","ELEMENTARY",246
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904101,"HUNTINGTON EL","MALE","ELEMENTARY",243
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904102,"HUNTINGTON INT","FEMALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003904,"HUNTINGTON ISD",003904102,"HUNTINGTON INT","MALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905001,"DIBOLL H S","FEMALE","HIGH SCHOOL",247
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905001,"DIBOLL H S","MALE","HIGH SCHOOL",252
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905004,"STUBBLEFIELD LRN CTR","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905004,"STUBBLEFIELD LRN CTR","MALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905041,"DIBOLL J H","FEMALE","MIDDLE SCHOOL",200
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905041,"DIBOLL J H","MALE","MIDDLE SCHOOL",229
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905101,"H G TEMPLE EL","FEMALE","ELEMENTARY",199
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905101,"H G TEMPLE EL","MALE","ELEMENTARY",185
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905102,"DIBOLL PRI","FEMALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905102,"DIBOLL PRI","MALE","ELEMENTARY",-999
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905103,"H G TEMPLE INT","FEMALE","ELEMENTARY",187
"2018-2019",07,"ANGELINA COUNTY",003905,"DIBOLL ISD",003905103,"H G TEMPLE INT","MALE","ELEMENTARY",202
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD",003906001,"ZAVALLA H S","FEMALE","ELEMENTARY / SECONDARY",91
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD",003906001,"ZAVALLA H S","MALE","ELEMENTARY / SECONDARY",99
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD",003906101,"ZAVALLA EL","FEMALE","ELEMENTARY",74
"2018-2019",07,"ANGELINA COUNTY",003906,"ZAVALLA ISD",003906101,"ZAVALLA EL","MALE","ELEMENTARY",96
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907001,"CENTRAL H S","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907001,"CENTRAL H S","MALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907004,"STUBBLEFIELD LRN CTR","FEMALE","HIGH SCHOOL",-999
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907041,"CENTRAL J H","FEMALE","MIDDLE SCHOOL",203
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907041,"CENTRAL J H","MALE","MIDDLE SCHOOL",218
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907102,"CENTRAL EL","FEMALE","ELEMENTARY",307
"2018-2019",07,"ANGELINA COUNTY",003907,"CENTRAL ISD",003907102,"CENTRAL EL","MALE","ELEMENTARY",333
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901001,"ROCKPORT-FULTON H S","FEMALE","HIGH SCHOOL",409
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901001,"ROCKPORT-FULTON H S","MALE","HIGH SCHOOL",449
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901041,"ROCKPORT-FULTON MIDDLE","FEMALE","MIDDLE SCHOOL",310
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901041,"ROCKPORT-FULTON MIDDLE","MALE","MIDDLE SCHOOL",338
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901101,"FULTON LEARNING CENTER","FEMALE","ELEMENTARY",330
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901101,"FULTON LEARNING CENTER","MALE","ELEMENTARY",320
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901102,"DISCOVERY LEARNING CENTER","FEMALE","ELEMENTARY",40
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901102,"DISCOVERY LEARNING CENTER","MALE","ELEMENTARY",42
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901103,"LIVE OAK LEARNING CENTER","FEMALE","ELEMENTARY",286
"2018-2019",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD",004901103,"LIVE OAK LEARNING CENTER","MALE","ELEMENTARY",305
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD",005901001,"ARCHER CITY H S","FEMALE","HIGH SCHOOL",108
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD",005901001,"ARCHER CITY H S","MALE","HIGH SCHOOL",123
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD",005901101,"ARCHER CITY EL","FEMALE","ELEMENTARY",138
"2018-2019",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD",005901101,"ARCHER CITY EL","MALE","ELEMENTARY",136
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902001,"HOLLIDAY H S","FEMALE","HIGH SCHOOL",152
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902001,"HOLLIDAY H S","MALE","HIGH SCHOOL",167
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902041,"HOLLIDAY MIDDLE","FEMALE","MIDDLE SCHOOL",113
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902041,"HOLLIDAY MIDDLE","MALE","MIDDLE SCHOOL",136
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902101,"HOLLIDAY EL","FEMALE","ELEMENTARY",239
"2018-2019",09,"ARCHER COUNTY",005902,"HOLLIDAY ISD",005902101,"HOLLIDAY EL","MALE","ELEMENTARY",241
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904001,"WINDTHORST H S","FEMALE","HIGH SCHOOL",62
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904001,"WINDTHORST H S","MALE","HIGH SCHOOL",73
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904041,"WINDTHORST JH","FEMALE","MIDDLE SCHOOL",45
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904041,"WINDTHORST JH","MALE","MIDDLE SCHOOL",47
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904101,"WINDTHORST EL","FEMALE","ELEMENTARY",94
"2018-2019",09,"ARCHER COUNTY",005904,"WINDTHORST ISD",005904101,"WINDTHORST EL","MALE","ELEMENTARY",82
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD",006902001,"CLAUDE H S","FEMALE","HIGH SCHOOL",66
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD",006902001,"CLAUDE H S","MALE","HIGH SCHOOL",74
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD",006902101,"CLAUDE EL","FEMALE","ELEMENTARY",107
"2018-2019",16,"ARMSTRONG COUNTY",006902,"CLAUDE ISD",006902101,"CLAUDE EL","MALE","ELEMENTARY",112
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901001,"CHARLOTTE H S","FEMALE","HIGH SCHOOL",64
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901001,"CHARLOTTE H S","MALE","HIGH SCHOOL",82
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901003,"DISTRICT REASSIGNMENT & OPPORTUNIT","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901041,"CHARLOTTE MIDDLE","FEMALE","MIDDLE SCHOOL",-999
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901041,"CHARLOTTE MIDDLE","MALE","MIDDLE SCHOOL",-999
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901101,"CHARLOTTE EL","FEMALE","ELEMENTARY",91
"2018-2019",20,"ATASCOSA COUNTY",007901,"CHARLOTTE ISD",007901101,"CHARLOTTE EL","MALE","ELEMENTARY",106
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902001,"JOURDANTON H S","FEMALE","HIGH SCHOOL",199
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902001,"JOURDANTON H S","MALE","HIGH SCHOOL",218
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902005,"ATASCOSA COUNTY JUVENILE JUSTICE C","FEMALE","ELEMENTARY / SECONDARY",-999
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902005,"ATASCOSA COUNTY JUVENILE JUSTICE C","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902006,"JOURDANTON DAEP","FEMALE","ELEMENTARY / SECONDARY",-999
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902006,"JOURDANTON DAEP","MALE","ELEMENTARY / SECONDARY",-999
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902041,"JOURDANTON J H","FEMALE","MIDDLE SCHOOL",157
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902041,"JOURDANTON J H","MALE","MIDDLE SCHOOL",197
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902101,"JOURDANTON EL","FEMALE","ELEMENTARY",401
"2018-2019",20,"ATASCOSA COUNTY",007902,"JOURDANTON ISD",007902101,"JOURDANTON EL","MALE","ELEMENTARY",423
"2018-2019",20,"ATASCOSA COUNTY",007904,"LYTLE ISD",007904001,"LYTLE H S","FEMALE","HIGH SCHOOL",201
"2018-2019",20,"ATASCOSA COUNTY",007904,"LYTLE ISD",007904001,"LYTLE H S","MALE","HIGH SCHOOL",260
"2018-2019",20,"ATASCOSA COUNTY",007904,"LYTLE ISD",007904002,"LYTLE DAEP","FEMALE","ELEMENTARY / SECONDARY",-999
