"Year","Region","County Name","Gender Name","Enrollment by Gender"
"2017-2018",17,"BORDEN COUNTY","Male",120
"2017-2018",12,"BOSQUE COUNTY","Female",1410
"2017-2018",12,"BOSQUE COUNTY","Male",1537
"2017-2018",08,"BOWIE COUNTY","Female",8721
"2017-2018",08,"BOWIE COUNTY","Male",9167
"2017-2018",04,"BRAZORIA COUNTY","Female",34578
"2017-2018",04,"BRAZORIA COUNTY","Male",37188
"2017-2018",06,"BRAZOS COUNTY","Female",15054
"2017-2018",06,"BRAZOS COUNTY","Male",15720
"2017-2018",18,"BREWSTER COUNTY","Female",602
"2017-2018",18,"BREWSTER COUNTY","Male",682
"2017-2018",16,"BRISCOE COUNTY","Female",89
"2017-2018",16,"BRISCOE COUNTY","Male",118
"2017-2018",02,"BROOKS COUNTY","Female",770
"2017-2018",02,"BROOKS COUNTY","Male",819
"2017-2018",15,"BROWN COUNTY","Female",3233
"2017-2018",15,"BROWN COUNTY","Male",3433
"2017-2018",06,"BURLESON COUNTY","Female",1360
"2017-2018",06,"BURLESON COUNTY","Male",1445
"2017-2018",13,"BURNET COUNTY","Female",3543
"2017-2018",13,"BURNET COUNTY","Male",3890
"2017-2018",13,"CALDWELL COUNTY","Female",3694
"2017-2018",13,"CALDWELL COUNTY","Male",3862
"2017-2018",03,"CALHOUN COUNTY","Female",1912
"2017-2018",03,"CALHOUN COUNTY","Male",1995
"2017-2018",14,"CALLAHAN COUNTY","Female",1193
"2017-2018",14,"CALLAHAN COUNTY","Male",1328
"2017-2018",01,"CAMERON COUNTY","Female",48358
"2017-2018",01,"CAMERON COUNTY","Male",50732
"2017-2018",08,"CAMP COUNTY","Female",1130
"2017-2018",08,"CAMP COUNTY","Male",1214
"2017-2018",16,"CARSON COUNTY","Female",595
"2017-2018",16,"CARSON COUNTY","Male",657
"2017-2018",08,"CASS COUNTY","Female",2658
"2017-2018",08,"CASS COUNTY","Male",2822
"2017-2018",16,"CASTRO COUNTY","Female",854
"2017-2018",16,"CASTRO COUNTY","Male",860
"2017-2018",04,"CHAMBERS COUNTY/04","Female",3220
"2017-2018",04,"CHAMBERS COUNTY/04","Male",3508
"2017-2018",05,"CHAMBERS COUNTY/05","Female",713
"2017-2018",05,"CHAMBERS COUNTY/05","Male",806
"2017-2018","AL","CHAMBERS COUNTY/ALL","Female",3933
"2017-2018","AL","CHAMBERS COUNTY/ALL","Male",4314
"2017-2018",07,"CHEROKEE COUNTY","Female",4125
"2017-2018",07,"CHEROKEE COUNTY","Male",4478
"2017-2018",16,"CHILDRESS COUNTY","Female",523
"2017-2018",16,"CHILDRESS COUNTY","Male",591
"2017-2018",09,"CLAY COUNTY","Female",835
"2017-2018",09,"CLAY COUNTY","Male",902
"2017-2018",17,"COCHRAN COUNTY","Female",353
"2017-2018",17,"COCHRAN COUNTY","Male",361
"2017-2018",15,"COKE COUNTY","Female",274
"2017-2018",15,"COKE COUNTY","Male",257
"2017-2018",15,"COLEMAN COUNTY","Female",666
"2017-2018",15,"COLEMAN COUNTY","Male",657
"2017-2018",10,"COLLIN COUNTY","Female",102319
"2017-2018",10,"COLLIN COUNTY","Male",107711
"2017-2018",16,"COLLINGSWORTH COUNTY","Female",291
"2017-2018",16,"COLLINGSWORTH COUNTY","Male",297
"2017-2018",03,"COLORADO COUNTY","Female",1695
"2017-2018",03,"COLORADO COUNTY","Male",1882
"2017-2018",13,"COMAL COUNTY/13","Female",4300
"2017-2018",13,"COMAL COUNTY/13","Male",4650
"2017-2018",20,"COMAL COUNTY/20","Female",11414
"2017-2018",20,"COMAL COUNTY/20","Male",12194
"2017-2018","AL","COMAL COUNTY/ALL","Female",15714
"2017-2018","AL","COMAL COUNTY/ALL","Male",16844
"2017-2018",14,"COMANCHE COUNTY","Female",1129
"2017-2018",14,"COMANCHE COUNTY","Male",1195
"2017-2018",15,"CONCHO COUNTY","Female",231
"2017-2018",15,"CONCHO COUNTY","Male",248
"2017-2018",11,"COOKE COUNTY","Female",3224
"2017-2018",11,"COOKE COUNTY","Male",3447
"2017-2018",12,"CORYELL COUNTY","Female",5755
"2017-2018",12,"CORYELL COUNTY","Male",5950
"2017-2018",17,"COTTLE COUNTY","Female",100
"2017-2018",17,"COTTLE COUNTY","Male",114
"2017-2018",18,"CRANE COUNTY","Female",565
"2017-2018",18,"CRANE COUNTY","Male",591
"2017-2018",15,"CROCKETT COUNTY","Female",380
"2017-2018",15,"CROCKETT COUNTY","Male",378
"2017-2018",17,"CROSBY COUNTY","Female",579
"2017-2018",17,"CROSBY COUNTY","Male",572
"2017-2018",18,"CULBERSON COUNTY","Female",197
"2017-2018",18,"CULBERSON COUNTY","Male",194
"2017-2018",16,"DALLAM COUNTY","Female",951
"2017-2018",16,"DALLAM COUNTY","Male",1001
"2017-2018",10,"DALLAS COUNTY","Female",252211
"2017-2018",10,"DALLAS COUNTY","Male",263414
"2017-2018",17,"DAWSON COUNTY","Female",1209
"2017-2018",17,"DAWSON COUNTY","Male",1333
"2017-2018",16,"DEAF SMITH COUNTY","Female",2150
"2017-2018",16,"DEAF SMITH COUNTY","Male",2168
"2017-2018",08,"DELTA COUNTY","Female",501
"2017-2018",08,"DELTA COUNTY","Male",495
"2017-2018",10,"DENTON COUNTY/10","Female",557
"2017-2018",10,"DENTON COUNTY/10","Male",542
"2017-2018",11,"DENTON COUNTY/11","Female",63194
"2017-2018",11,"DENTON COUNTY/11","Male",67235
"2017-2018","AL","DENTON COUNTY/ALL","Female",63751
"2017-2018","AL","DENTON COUNTY/ALL","Male",67777
"2017-2018",03,"DEWITT COUNTY","Female",2123
"2017-2018",03,"DEWITT COUNTY","Male",2433
"2017-2018",17,"DICKENS COUNTY","Female",179
"2017-2018",17,"DICKENS COUNTY","Male",178
"2017-2018",20,"DIMMIT COUNTY","Female",1099
"2017-2018",20,"DIMMIT COUNTY","Male",1112
"2017-2018",16,"DONLEY COUNTY","Female",283
"2017-2018",16,"DONLEY COUNTY","Male",293
"2017-2018",02,"DUVAL COUNTY","Female",1277
"2017-2018",02,"DUVAL COUNTY","Male",1363
"2017-2018",14,"EASTLAND COUNTY","Female",1398
"2017-2018",14,"EASTLAND COUNTY","Male",1444
"2017-2018",18,"ECTOR COUNTY","Female",16615
"2017-2018",18,"ECTOR COUNTY","Male",17333
"2017-2018",15,"EDWARDS COUNTY","Female",275
"2017-2018",15,"EDWARDS COUNTY","Male",313
"2017-2018",19,"EL PASO COUNTY","Female",86638
"2017-2018",19,"EL PASO COUNTY","Male",90958
"2017-2018",10,"ELLIS COUNTY","Female",18413
"2017-2018",10,"ELLIS COUNTY","Male",19545
"2017-2018",11,"ERATH COUNTY","Female",6986
"2017-2018",11,"ERATH COUNTY","Male",6195
"2017-2018",12,"FALLS COUNTY","Female",1004
"2017-2018",12,"FALLS COUNTY","Male",1131
"2017-2018",10,"FANNIN COUNTY","Female",2640
"2017-2018",10,"FANNIN COUNTY","Male",2803
"2017-2018",13,"FAYETTE COUNTY","Female",1900
"2017-2018",13,"FAYETTE COUNTY","Male",1929
"2017-2018",14,"FISHER COUNTY","Female",285
"2017-2018",14,"FISHER COUNTY","Male",275
"2017-2018",17,"FLOYD COUNTY","Female",577
"2017-2018",17,"FLOYD COUNTY","Male",642
"2017-2018",09,"FOARD COUNTY","Female",110
"2017-2018",09,"FOARD COUNTY","Male",105
"2017-2018",04,"FORT BEND COUNTY","Female",55172
"2017-2018",04,"FORT BEND COUNTY","Male",59084
"2017-2018",08,"FRANKLIN COUNTY","Female",799
"2017-2018",08,"FRANKLIN COUNTY","Male",826
"2017-2018",12,"FREESTONE COUNTY","Female",1803
"2017-2018",12,"FREESTONE COUNTY","Male",1912
"2017-2018",20,"FRIO COUNTY","Female",1596
"2017-2018",20,"FRIO COUNTY","Male",1673
"2017-2018",17,"GAINES COUNTY","Female",1773
"2017-2018",17,"GAINES COUNTY","Male",1821
"2017-2018",04,"GALVESTON COUNTY/04","Female",40365
"2017-2018",04,"GALVESTON COUNTY/04","Male",42564
"2017-2018",05,"GALVESTON COUNTY/05","Female",63
"2017-2018",05,"GALVESTON COUNTY/05","Male",79
"2017-2018","AL","GALVESTON COUNTY/ALL","Female",40428
"2017-2018","AL","GALVESTON COUNTY/ALL","Male",42643
"2017-2018",17,"GARZA COUNTY","Female",466
"2017-2018",17,"GARZA COUNTY","Male",537
"2017-2018",13,"GILLESPIE COUNTY","Female",1859
"2017-2018",13,"GILLESPIE COUNTY","Male",1962
"2017-2018",18,"GLASSCOCK COUNTY","Female",147
"2017-2018",18,"GLASSCOCK COUNTY","Male",166
"2017-2018",03,"GOLIAD COUNTY","Female",634
"2017-2018",03,"GOLIAD COUNTY","Male",707
"2017-2018",13,"GONZALES COUNTY","Female",2038
"2017-2018",13,"GONZALES COUNTY","Male",2209
"2017-2018",16,"GRAY COUNTY","Female",1960
"2017-2018",16,"GRAY COUNTY","Male",2073
"2017-2018",10,"GRAYSON COUNTY","Female",11246
"2017-2018",10,"GRAYSON COUNTY","Male",12030
"2017-2018",07,"GREGG COUNTY","Female",11675
"2017-2018",07,"GREGG COUNTY","Male",12531
"2017-2018",06,"GRIMES COUNTY","Female",2220
"2017-2018",06,"GRIMES COUNTY","Male",2352
"2017-2018",13,"GUADALUPE COUNTY/13","Female",4615
"2017-2018",13,"GUADALUPE COUNTY/13","Male",4763
"2017-2018",20,"GUADALUPE COUNTY/20","Female",8282
"2017-2018",20,"GUADALUPE COUNTY/20","Male",8845
"2017-2018","AL","GUADALUPE COUNTY/ALL","Female",12897
"2017-2018","AL","GUADALUPE COUNTY/ALL","Male",13608
"2017-2018",17,"HALE COUNTY","Female",3588
"2017-2018",17,"HALE COUNTY","Male",3706
"2017-2018",16,"HALL COUNTY","Female",333
"2017-2018",16,"HALL COUNTY","Male",371
"2017-2018",12,"HAMILTON COUNTY","Female",684
"2017-2018",12,"HAMILTON COUNTY","Male",758
"2017-2018",16,"HANSFORD COUNTY","Female",704
"2017-2018",16,"HANSFORD COUNTY","Male",735
"2017-2018",09,"HARDEMAN COUNTY","Female",362
"2017-2018",09,"HARDEMAN COUNTY","Male",388
"2017-2018",05,"HARDIN COUNTY","Female",5226
"2017-2018",05,"HARDIN COUNTY","Male",5659
"2017-2018",04,"HARRIS COUNTY","Female",445143
"2017-2018",04,"HARRIS COUNTY","Male",466027
"2017-2018",07,"HARRISON COUNTY","Female",6431
"2017-2018",07,"HARRISON COUNTY","Male",6772
"2017-2018",16,"HARTLEY COUNTY","Female",226
"2017-2018",16,"HARTLEY COUNTY","Male",194
"2017-2018",14,"HASKELL COUNTY","Female",412
"2017-2018",14,"HASKELL COUNTY","Male",414
"2017-2018",13,"HAYS COUNTY","Female",18337
"2017-2018",13,"HAYS COUNTY","Male",19181
"2017-2018",16,"HEMPHILL COUNTY","Female",462
"2017-2018",16,"HEMPHILL COUNTY","Male",468
"2017-2018",07,"HENDERSON COUNTY/07","Female",3427
"2017-2018",07,"HENDERSON COUNTY/07","Male",3569
"2017-2018",10,"HENDERSON COUNTY/10","Female",1490
"2017-2018",10,"HENDERSON COUNTY/10","Male",1628
"2017-2018","AL","HENDERSON COUNTY/ALL","Female",4917
"2017-2018","AL","HENDERSON COUNTY/ALL","Male",5197
"2017-2018",01,"HIDALGO COUNTY","Female",117802
"2017-2018",01,"HIDALGO COUNTY","Male",122247
"2017-2018",12,"HILL COUNTY","Female",3265
"2017-2018",12,"HILL COUNTY","Male",3406
"2017-2018",17,"HOCKLEY COUNTY","Female",2377
"2017-2018",17,"HOCKLEY COUNTY","Male",2530
"2017-2018",11,"HOOD COUNTY","Female",3998
"2017-2018",11,"HOOD COUNTY","Male",4322
"2017-2018",08,"HOPKINS COUNTY","Female",3283
"2017-2018",08,"HOPKINS COUNTY","Male",3504
"2017-2018",06,"HOUSTON COUNTY","Female",1541
"2017-2018",06,"HOUSTON COUNTY","Male",1608
"2017-2018",18,"HOWARD COUNTY","Female",2825
"2017-2018",18,"HOWARD COUNTY","Male",2911
"2017-2018",19,"HUDSPETH COUNTY","Female",284
"2017-2018",19,"HUDSPETH COUNTY","Male",305
"2017-2018",10,"HUNT COUNTY","Female",7336
"2017-2018",10,"HUNT COUNTY","Male",7784
"2017-2018",16,"HUTCHINSON COUNTY","Female",2064
"2017-2018",16,"HUTCHINSON COUNTY","Male",2199
"2017-2018",15,"IRION COUNTY","Female",128
"2017-2018",15,"IRION COUNTY","Male",149
"2017-2018",09,"JACK COUNTY","Female",777
"2017-2018",09,"JACK COUNTY","Male",866
"2017-2018",03,"JACKSON COUNTY","Female",1718
"2017-2018",03,"JACKSON COUNTY","Male",1806
"2017-2018",05,"JASPER COUNTY","Female",3095
"2017-2018",05,"JASPER COUNTY","Male",3322
"2017-2018",18,"JEFF DAVIS COUNTY","Female",127
"2017-2018",18,"JEFF DAVIS COUNTY","Male",132
"2017-2018",05,"JEFFERSON COUNTY","Female",20362
"2017-2018",05,"JEFFERSON COUNTY","Male",21383
"2017-2018",01,"JIM HOGG COUNTY","Female",562
"2017-2018",01,"JIM HOGG COUNTY","Male",589
"2017-2018",02,"JIM WELLS COUNTY","Female",3937
"2017-2018",02,"JIM WELLS COUNTY","Male",4286
"2017-2018",11,"JOHNSON COUNTY","Female",16921
"2017-2018",11,"JOHNSON COUNTY","Male",18540
"2017-2018",14,"JONES COUNTY","Female",1281
"2017-2018",14,"JONES COUNTY","Male",1401
"2017-2018",03,"KARNES COUNTY/03","Female",1124
"2017-2018",03,"KARNES COUNTY/03","Male",1113
"2017-2018",20,"KARNES COUNTY/20","Female",170
"2017-2018",20,"KARNES COUNTY/20","Male",190
"2017-2018","AL","KARNES COUNTY/ALL","Female",1294
"2017-2018","AL","KARNES COUNTY/ALL","Male",1303
"2017-2018",10,"KAUFMAN COUNTY","Female",14083
"2017-2018",10,"KAUFMAN COUNTY","Male",14909
"2017-2018",13,"KENDALL COUNTY/13","Female",533
"2017-2018",13,"KENDALL COUNTY/13","Male",567
"2017-2018",20,"KENDALL COUNTY/20","Female",4268
"2017-2018",20,"KENDALL COUNTY/20","Male",4558
"2017-2018","AL","KENDALL COUNTY/ALL","Female",4801
"2017-2018","AL","KENDALL COUNTY/ALL","Male",5125
"2017-2018",02,"KENEDY COUNTY","Female",32
"2017-2018",02,"KENEDY COUNTY","Male",46
"2017-2018",17,"KENT COUNTY","Female",77
"2017-2018",17,"KENT COUNTY","Male",75
"2017-2018",20,"KERR COUNTY","Female",3328
"2017-2018",20,"KERR COUNTY","Male",3584
"2017-2018",15,"KIMBLE COUNTY","Female",303
"2017-2018",15,"KIMBLE COUNTY","Male",312
"2017-2018",17,"KING COUNTY","Female",65
"2017-2018",17,"KING COUNTY","Male",39
"2017-2018",20,"KINNEY COUNTY","Female",272
"2017-2018",20,"KINNEY COUNTY","Male",313
"2017-2018",02,"KLEBERG COUNTY","Female",2587
"2017-2018",02,"KLEBERG COUNTY","Male",2669
"2017-2018",09,"KNOX COUNTY","Female",393
"2017-2018",09,"KNOX COUNTY","Male",381
"2017-2018",20,"LA SALLE COUNTY","Female",694
"2017-2018",20,"LA SALLE COUNTY","Male",686
"2017-2018",08,"LAMAR COUNTY","Female",4231
"2017-2018",08,"LAMAR COUNTY","Male",4401
"2017-2018",17,"LAMB COUNTY","Female",1434
"2017-2018",17,"LAMB COUNTY","Male",1532
"2017-2018",12,"LAMPASAS COUNTY","Female",1797
"2017-2018",12,"LAMPASAS COUNTY","Male",1833
"2017-2018",03,"LAVACA COUNTY","Female",1222
"2017-2018",03,"LAVACA COUNTY","Male",1217
"2017-2018",13,"LEE COUNTY","Female",1535
"2017-2018",13,"LEE COUNTY","Male",1558
"2017-2018",06,"LEON COUNTY","Female",1583
"2017-2018",06,"LEON COUNTY","Male",1617
"2017-2018",04,"LIBERTY COUNTY/04","Female",6872
"2017-2018",04,"LIBERTY COUNTY/04","Male",7504
"2017-2018",05,"LIBERTY COUNTY/05","Female",1260
"2017-2018",05,"LIBERTY COUNTY/05","Male",1325
"2017-2018","AL","LIBERTY COUNTY/ALL","Female",8132
"2017-2018","AL","LIBERTY COUNTY/ALL","Male",8829
"2017-2018",12,"LIMESTONE COUNTY","Female",1886
"2017-2018",12,"LIMESTONE COUNTY","Male",2104
"2017-2018",16,"LIPSCOMB COUNTY","Female",388
"2017-2018",16,"LIPSCOMB COUNTY","Male",386
"2017-2018",02,"LIVE OAK COUNTY","Female",849
"2017-2018",02,"LIVE OAK COUNTY","Male",929
"2017-2018",13,"LLANO COUNTY","Female",865
"2017-2018",13,"LLANO COUNTY","Male",928
"2017-2018",17,"LUBBOCK COUNTY","Female",24659
"2017-2018",17,"LUBBOCK COUNTY","Male",25631
"2017-2018",17,"LYNN COUNTY","Female",707
"2017-2018",17,"LYNN COUNTY","Male",812
"2017-2018",06,"MADISON COUNTY","Female",1339
"2017-2018",06,"MADISON COUNTY","Male",1372
"2017-2018",08,"MARION COUNTY","Female",648
"2017-2018",08,"MARION COUNTY","Male",624
"2017-2018",18,"MARTIN COUNTY","Female",586
"2017-2018",18,"MARTIN COUNTY","Male",678
"2017-2018",15,"MASON COUNTY","Female",348
"2017-2018",15,"MASON COUNTY","Male",380
"2017-2018",03,"MATAGORDA COUNTY","Female",3475
"2017-2018",03,"MATAGORDA COUNTY","Male",3675
"2017-2018",20,"MAVERICK COUNTY","Female",7087
"2017-2018",20,"MAVERICK COUNTY","Male",7495
"2017-2018",15,"MCCULLOCH COUNTY","Female",687
"2017-2018",15,"MCCULLOCH COUNTY","Male",783
"2017-2018",12,"MCLENNAN COUNTY","Female",26130
"2017-2018",12,"MCLENNAN COUNTY","Male",27605
"2017-2018",02,"MCMULLEN COUNTY","Female",132
"2017-2018",02,"MCMULLEN COUNTY","Male",125
"2017-2018",20,"MEDINA COUNTY","Female",5112
"2017-2018",20,"MEDINA COUNTY","Male",5472
"2017-2018",15,"MENARD COUNTY","Female",149
"2017-2018",15,"MENARD COUNTY","Male",166
"2017-2018",18,"MIDLAND COUNTY","Female",13987
"2017-2018",18,"MIDLAND COUNTY","Male",14830
"2017-2018",06,"MILAM COUNTY/06","Female",2016
"2017-2018",06,"MILAM COUNTY/06","Male",2151
"2017-2018",13,"MILAM COUNTY/13","Female",272
"2017-2018",13,"MILAM COUNTY/13","Male",295
"2017-2018","AL","MILAM COUNTY/ALL","Female",2288
"2017-2018","AL","MILAM COUNTY/ALL","Male",2446
"2017-2018",12,"MILLS COUNTY","Female",488
"2017-2018",12,"MILLS COUNTY","Male",532
"2017-2018",14,"MITCHELL COUNTY","Female",674
"2017-2018",14,"MITCHELL COUNTY","Male",729
"2017-2018",09,"MONTAGUE COUNTY","Female",1655
"2017-2018",09,"MONTAGUE COUNTY","Male",1712
"2017-2018",06,"MONTGOMERY COUNTY","Female",53660
"2017-2018",06,"MONTGOMERY COUNTY","Male",56504
"2017-2018",16,"MOORE COUNTY","Female",2334
"2017-2018",16,"MOORE COUNTY","Male",2539
"2017-2018",08,"MORRIS COUNTY","Female",877
"2017-2018",08,"MORRIS COUNTY","Male",1040
"2017-2018",17,"MOTLEY COUNTY","Female",75
"2017-2018",17,"MOTLEY COUNTY","Male",97
"2017-2018",07,"NACOGDOCHES COUNTY","Female",5398
"2017-2018",07,"NACOGDOCHES COUNTY","Male",5762
"2017-2018",12,"NAVARRO COUNTY","Female",4705
"2017-2018",12,"NAVARRO COUNTY","Male",5279
"2017-2018",05,"NEWTON COUNTY","Female",880
"2017-2018",05,"NEWTON COUNTY","Male",980
"2017-2018",14,"NOLAN COUNTY","Female",1550
"2017-2018",14,"NOLAN COUNTY","Male",1687
"2017-2018",02,"NUECES COUNTY","Female",30066
"2017-2018",02,"NUECES COUNTY","Male",31813
"2017-2018",16,"OCHILTREE COUNTY","Female",1090
"2017-2018",16,"OCHILTREE COUNTY","Male",1134
"2017-2018",16,"OLDHAM COUNTY","Female",444
"2017-2018",16,"OLDHAM COUNTY","Male",492
"2017-2018",05,"ORANGE COUNTY","Female",7029
"2017-2018",05,"ORANGE COUNTY","Male",7855
"2017-2018",11,"PALO PINTO COUNTY","Female",2206
"2017-2018",11,"PALO PINTO COUNTY","Male",2367
"2017-2018",07,"PANOLA COUNTY","Female",1881
"2017-2018",07,"PANOLA COUNTY","Male",2088
"2017-2018",11,"PARKER COUNTY","Female",10563
"2017-2018",11,"PARKER COUNTY","Male",11213
"2017-2018",16,"PARMER COUNTY","Female",1134
"2017-2018",16,"PARMER COUNTY","Male",1214
"2017-2018",18,"PECOS COUNTY","Female",1522
"2017-2018",18,"PECOS COUNTY","Male",1706
"2017-2018",06,"POLK COUNTY","Female",3354
"2017-2018",06,"POLK COUNTY","Male",3640
"2017-2018",16,"POTTER COUNTY","Female",17996
"2017-2018",16,"POTTER COUNTY","Male",18702
"2017-2018",18,"PRESIDIO COUNTY","Female",781
"2017-2018",18,"PRESIDIO COUNTY","Male",798
"2017-2018",07,"RAINS COUNTY","Female",788
"2017-2018",07,"RAINS COUNTY","Male",917
"2017-2018",16,"RANDALL COUNTY","Female",4854
"2017-2018",16,"RANDALL COUNTY","Male",5148
"2017-2018",18,"REAGAN COUNTY","Female",419
"2017-2018",18,"REAGAN COUNTY","Male",440
"2017-2018",20,"REAL COUNTY","Female",261
"2017-2018",20,"REAL COUNTY","Male",281
"2017-2018",08,"RED RIVER COUNTY","Female",1020
"2017-2018",08,"RED RIVER COUNTY","Male",1096
"2017-2018",18,"REEVES COUNTY","Female",1333
"2017-2018",18,"REEVES COUNTY","Male",1473
"2017-2018",03,"REFUGIO COUNTY","Female",641
"2017-2018",03,"REFUGIO COUNTY","Male",649
"2017-2018",16,"ROBERTS COUNTY","Female",111
"2017-2018",16,"ROBERTS COUNTY","Male",108
"2017-2018",06,"ROBERTSON COUNTY","Female",1638
"2017-2018",06,"ROBERTSON COUNTY","Male",1765
"2017-2018",10,"ROCKWALL COUNTY","Female",10761
"2017-2018",10,"ROCKWALL COUNTY","Male",11273
"2017-2018",15,"RUNNELS COUNTY","Female",961
"2017-2018",15,"RUNNELS COUNTY","Male",1032
"2017-2018",07,"RUSK COUNTY","Female",4030
"2017-2018",07,"RUSK COUNTY","Male",4127
"2017-2018",07,"SABINE COUNTY","Female",773
"2017-2018",07,"SABINE COUNTY","Male",789
"2017-2018",07,"SAN AUGUSTINE COUNTY","Female",573
"2017-2018",07,"SAN AUGUSTINE COUNTY","Male",599
"2017-2018",06,"SAN JACINTO COUNTY","Female",1696
"2017-2018",06,"SAN JACINTO COUNTY","Male",1853
"2017-2018",02,"SAN PATRICIO COUNTY","Female",6906
"2017-2018",02,"SAN PATRICIO COUNTY","Male",7449
"2017-2018",15,"SAN SABA COUNTY","Female",463
"2017-2018",15,"SAN SABA COUNTY","Male",517
"2017-2018",15,"SCHLEICHER COUNTY","Female",278
"2017-2018",15,"SCHLEICHER COUNTY","Male",277
"2017-2018",14,"SCURRY COUNTY","Female",1518
"2017-2018",14,"SCURRY COUNTY","Male",1691
"2017-2018",14,"SHACKELFORD COUNTY","Female",301
"2017-2018",14,"SHACKELFORD COUNTY","Male",336
"2017-2018",07,"SHELBY COUNTY","Female",2617
"2017-2018",07,"SHELBY COUNTY","Male",2852
"2017-2018",16,"SHERMAN COUNTY","Female",369
"2017-2018",16,"SHERMAN COUNTY","Male",413
"2017-2018",07,"SMITH COUNTY","Female",18607
"2017-2018",07,"SMITH COUNTY","Male",19857
"2017-2018",11,"SOMERVELL COUNTY","Female",1047
"2017-2018",11,"SOMERVELL COUNTY","Male",995
"2017-2018",01,"STARR COUNTY","Female",8421
"2017-2018",01,"STARR COUNTY","Male",8658
"2017-2018",14,"STEPHENS COUNTY","Female",730
"2017-2018",14,"STEPHENS COUNTY","Male",771
"2017-2018",15,"STERLING COUNTY","Female",144
"2017-2018",15,"STERLING COUNTY","Male",164
"2017-2018",14,"STONEWALL COUNTY","Female",110
"2017-2018",14,"STONEWALL COUNTY","Male",117
"2017-2018",15,"SUTTON COUNTY","Female",389
"2017-2018",15,"SUTTON COUNTY","Male",428
"2017-2018",16,"SWISHER COUNTY","Female",765
"2017-2018",16,"SWISHER COUNTY","Male",849
"2017-2018",11,"TARRANT COUNTY","Female",174878
"2017-2018",11,"TARRANT COUNTY","Male",184262
"2017-2018",14,"TAYLOR COUNTY","Female",18392
"2017-2018",14,"TAYLOR COUNTY","Male",18482
"2017-2018",18,"TERRELL COUNTY","Female",69
"2017-2018",18,"TERRELL COUNTY","Male",75
"2017-2018",17,"TERRY COUNTY","Female",1141
"2017-2018",17,"TERRY COUNTY","Male",1212
"2017-2018",09,"THROCKMORTON COUNTY","Female",150
"2017-2018",09,"THROCKMORTON COUNTY","Male",150
"2017-2018",08,"TITUS COUNTY","Female",3514
"2017-2018",08,"TITUS COUNTY","Male",3588
"2017-2018",15,"TOM GREEN COUNTY","Female",10369
"2017-2018",15,"TOM GREEN COUNTY","Male",10844
"2017-2018",13,"TRAVIS COUNTY","Female",80021
"2017-2018",13,"TRAVIS COUNTY","Male",84575
"2017-2018",06,"TRINITY COUNTY","Female",1151
"2017-2018",06,"TRINITY COUNTY","Male",1176
"2017-2018",05,"TYLER COUNTY","Female",1793
"2017-2018",05,"TYLER COUNTY","Male",1924
"2017-2018",07,"UPSHUR COUNTY","Female",3549
"2017-2018",07,"UPSHUR COUNTY","Male",3837
"2017-2018",18,"UPTON COUNTY","Female",425
"2017-2018",18,"UPTON COUNTY","Male",440
"2017-2018",20,"UVALDE COUNTY","Female",2764
"2017-2018",20,"UVALDE COUNTY","Male",2880
"2017-2018",15,"VAL VERDE COUNTY","Female",5252
"2017-2018",15,"VAL VERDE COUNTY","Male",5539
