"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2017-2018",10,"HENDERSON COUNTY","ATHENS ISD",107901,"TRADITIONAL ISD/CSD","Female",1490
"2017-2018",10,"HENDERSON COUNTY","ATHENS ISD",107901,"TRADITIONAL ISD/CSD","Male",1628
"2017-2018",08,"CASS COUNTY","ATLANTA ISD",034901,"TRADITIONAL ISD/CSD","Female",822
"2017-2018",08,"CASS COUNTY","ATLANTA ISD",034901,"TRADITIONAL ISD/CSD","Male",866
"2017-2018",11,"DENTON COUNTY","AUBREY ISD",061907,"TRADITIONAL ISD/CSD","Female",1218
"2017-2018",11,"DENTON COUNTY","AUBREY ISD",061907,"TRADITIONAL ISD/CSD","Male",1277
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"OPEN ENROLLMENT CHARTER","Female",385
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"OPEN ENROLLMENT CHARTER","Male",424
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"OPEN ENROLLMENT CHARTER","Female",237
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"OPEN ENROLLMENT CHARTER","Male",287
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"TRADITIONAL ISD/CSD","Female",39915
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"TRADITIONAL ISD/CSD","Male",41735
"2017-2018",03,"REFUGIO COUNTY","AUSTWELL-TIVOLI ISD",196901,"TRADITIONAL ISD/CSD","Female",71
"2017-2018",03,"REFUGIO COUNTY","AUSTWELL-TIVOLI ISD",196901,"TRADITIONAL ISD/CSD","Male",64
"2017-2018",10,"ELLIS COUNTY","AVALON ISD",070901,"TRADITIONAL ISD/CSD","Female",207
"2017-2018",10,"ELLIS COUNTY","AVALON ISD",070901,"TRADITIONAL ISD/CSD","Male",192
"2017-2018",08,"RED RIVER COUNTY","AVERY ISD",194902,"TRADITIONAL ISD/CSD","Female",178
"2017-2018",08,"RED RIVER COUNTY","AVERY ISD",194902,"TRADITIONAL ISD/CSD","Male",181
"2017-2018",08,"CASS COUNTY","AVINGER ISD",034902,"TRADITIONAL ISD/CSD","Female",59
"2017-2018",08,"CASS COUNTY","AVINGER ISD",034902,"TRADITIONAL ISD/CSD","Male",67
"2017-2018",12,"MCLENNAN COUNTY","AXTELL ISD",161918,"TRADITIONAL ISD/CSD","Female",409
"2017-2018",12,"MCLENNAN COUNTY","AXTELL ISD",161918,"TRADITIONAL ISD/CSD","Male",394
"2017-2018",11,"TARRANT COUNTY","AZLE ISD",220915,"TRADITIONAL ISD/CSD","Female",3178
"2017-2018",11,"TARRANT COUNTY","AZLE ISD",220915,"TRADITIONAL ISD/CSD","Male",3318
"2017-2018",14,"CALLAHAN COUNTY","BAIRD ISD",030903,"TRADITIONAL ISD/CSD","Female",130
"2017-2018",14,"CALLAHAN COUNTY","BAIRD ISD",030903,"TRADITIONAL ISD/CSD","Male",175
"2017-2018",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"TRADITIONAL ISD/CSD","Female",420
"2017-2018",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"TRADITIONAL ISD/CSD","Male",481
"2017-2018",18,"REEVES COUNTY","BALMORHEA ISD",195902,"TRADITIONAL ISD/CSD","Female",76
"2017-2018",18,"REEVES COUNTY","BALMORHEA ISD",195902,"TRADITIONAL ISD/CSD","Male",100
"2017-2018",20,"BANDERA COUNTY","BANDERA ISD",010902,"TRADITIONAL ISD/CSD","Female",1116
"2017-2018",20,"BANDERA COUNTY","BANDERA ISD",010902,"TRADITIONAL ISD/CSD","Male",1167
"2017-2018",15,"BROWN COUNTY","BANGS ISD",025901,"TRADITIONAL ISD/CSD","Female",438
"2017-2018",15,"BROWN COUNTY","BANGS ISD",025901,"TRADITIONAL ISD/CSD","Male",521
"2017-2018",02,"NUECES COUNTY","BANQUETE ISD",178913,"TRADITIONAL ISD/CSD","Female",481
"2017-2018",02,"NUECES COUNTY","BANQUETE ISD",178913,"TRADITIONAL ISD/CSD","Male",451
"2017-2018",04,"CHAMBERS COUNTY","BARBERS HILL ISD",036902,"TRADITIONAL ISD/CSD","Female",2560
"2017-2018",04,"CHAMBERS COUNTY","BARBERS HILL ISD",036902,"TRADITIONAL ISD/CSD","Male",2830
"2017-2018",13,"BELL COUNTY","BARTLETT ISD",014902,"TRADITIONAL ISD/CSD","Female",153
"2017-2018",13,"BELL COUNTY","BARTLETT ISD",014902,"TRADITIONAL ISD/CSD","Male",189
"2017-2018",20,"BEXAR COUNTY","BASIS TEXAS",015834,"OPEN ENROLLMENT CHARTER","Female",1193
"2017-2018",20,"BEXAR COUNTY","BASIS TEXAS",015834,"OPEN ENROLLMENT CHARTER","Male",1259
"2017-2018",13,"BASTROP COUNTY","BASTROP ISD",011901,"TRADITIONAL ISD/CSD","Female",5231
"2017-2018",13,"BASTROP COUNTY","BASTROP ISD",011901,"TRADITIONAL ISD/CSD","Male",5668
"2017-2018",03,"MATAGORDA COUNTY","BAY CITY ISD",158901,"TRADITIONAL ISD/CSD","Female",1729
"2017-2018",03,"MATAGORDA COUNTY","BAY CITY ISD",158901,"TRADITIONAL ISD/CSD","Male",1842
"2017-2018",04,"HARRIS COUNTY","BEATRICE MAYES INSTITUTE CHARTER S",101847,"OPEN ENROLLMENT CHARTER","Female",243
"2017-2018",04,"HARRIS COUNTY","BEATRICE MAYES INSTITUTE CHARTER S",101847,"OPEN ENROLLMENT CHARTER","Male",202
"2017-2018",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"TRADITIONAL ISD/CSD","Female",9288
"2017-2018",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"TRADITIONAL ISD/CSD","Male",9570
"2017-2018",07,"PANOLA COUNTY","BECKVILLE ISD",183901,"TRADITIONAL ISD/CSD","Female",309
"2017-2018",07,"PANOLA COUNTY","BECKVILLE ISD",183901,"TRADITIONAL ISD/CSD","Male",356
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"TRADITIONAL ISD/CSD","Female",1582
"2017-2018",02,"BEE COUNTY","BEEVILLE ISD",013901,"TRADITIONAL ISD/CSD","Male",1733
"2017-2018",09,"CLAY COUNTY","BELLEVUE ISD",039904,"TRADITIONAL ISD/CSD","Female",59
"2017-2018",09,"CLAY COUNTY","BELLEVUE ISD",039904,"TRADITIONAL ISD/CSD","Male",67
"2017-2018",10,"GRAYSON COUNTY","BELLS ISD",091901,"TRADITIONAL ISD/CSD","Female",386
"2017-2018",10,"GRAYSON COUNTY","BELLS ISD",091901,"TRADITIONAL ISD/CSD","Male",436
"2017-2018",06,"AUSTIN COUNTY","BELLVILLE ISD",008901,"TRADITIONAL ISD/CSD","Female",1099
"2017-2018",06,"AUSTIN COUNTY","BELLVILLE ISD",008901,"TRADITIONAL ISD/CSD","Male",1162
"2017-2018",12,"BELL COUNTY","BELTON ISD",014903,"TRADITIONAL ISD/CSD","Female",5671
"2017-2018",12,"BELL COUNTY","BELTON ISD",014903,"TRADITIONAL ISD/CSD","Male",5858
"2017-2018",02,"JIM WELLS COUNTY","BEN BOLT-PALITO BLANCO ISD",125902,"TRADITIONAL ISD/CSD","Female",264
"2017-2018",02,"JIM WELLS COUNTY","BEN BOLT-PALITO BLANCO ISD",125902,"TRADITIONAL ISD/CSD","Male",290
"2017-2018",02,"DUVAL COUNTY","BENAVIDES ISD",066901,"TRADITIONAL ISD/CSD","Female",163
"2017-2018",02,"DUVAL COUNTY","BENAVIDES ISD",066901,"TRADITIONAL ISD/CSD","Male",177
"2017-2018",09,"KNOX COUNTY","BENJAMIN ISD",138904,"TRADITIONAL ISD/CSD","Female",59
"2017-2018",09,"KNOX COUNTY","BENJAMIN ISD",138904,"TRADITIONAL ISD/CSD","Male",51
"2017-2018",04,"HARRIS COUNTY","BETA ACADEMY",101870,"OPEN ENROLLMENT CHARTER","Female",292
"2017-2018",04,"HARRIS COUNTY","BETA ACADEMY",101870,"OPEN ENROLLMENT CHARTER","Male",257
"2017-2018",20,"BEXAR COUNTY","BEXAR COUNTY ACADEMY",015809,"OPEN ENROLLMENT CHARTER","Female",201
"2017-2018",20,"BEXAR COUNTY","BEXAR COUNTY ACADEMY",015809,"OPEN ENROLLMENT CHARTER","Male",173
"2017-2018",06,"POLK COUNTY","BIG SANDY ISD",187901,"TRADITIONAL ISD/CSD","Female",256
"2017-2018",07,"UPSHUR COUNTY","BIG SANDY ISD",230901,"TRADITIONAL ISD/CSD","Female",332
"2017-2018",06,"POLK COUNTY","BIG SANDY ISD",187901,"TRADITIONAL ISD/CSD","Male",252
"2017-2018",07,"UPSHUR COUNTY","BIG SANDY ISD",230901,"TRADITIONAL ISD/CSD","Male",383
"2017-2018",18,"HOWARD COUNTY","BIG SPRING ISD",114901,"TRADITIONAL ISD/CSD","Female",1925
"2017-2018",18,"HOWARD COUNTY","BIG SPRING ISD",114901,"TRADITIONAL ISD/CSD","Male",2024
"2017-2018",20,"REAL COUNTY","BIG SPRINGS CHARTER SCHOOL",193801,"OPEN ENROLLMENT CHARTER","Female",112
"2017-2018",20,"REAL COUNTY","BIG SPRINGS CHARTER SCHOOL",193801,"OPEN ENROLLMENT CHARTER","Male",121
"2017-2018",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"TRADITIONAL ISD/CSD","Female",11390
"2017-2018",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"TRADITIONAL ISD/CSD","Male",12301
"2017-2018",02,"NUECES COUNTY","BISHOP CISD",178902,"TRADITIONAL ISD/CSD","Female",694
"2017-2018",02,"NUECES COUNTY","BISHOP CISD",178902,"TRADITIONAL ISD/CSD","Male",778
"2017-2018",14,"NOLAN COUNTY","BLACKWELL CISD",177903,"TRADITIONAL ISD/CSD","Female",73
"2017-2018",14,"NOLAN COUNTY","BLACKWELL CISD",177903,"TRADITIONAL ISD/CSD","Male",85
"2017-2018",13,"BLANCO COUNTY","BLANCO ISD",016902,"TRADITIONAL ISD/CSD","Female",504
"2017-2018",13,"BLANCO COUNTY","BLANCO ISD",016902,"TRADITIONAL ISD/CSD","Male",527
"2017-2018",10,"HUNT COUNTY","BLAND ISD",116915,"TRADITIONAL ISD/CSD","Female",332
"2017-2018",10,"HUNT COUNTY","BLAND ISD",116915,"TRADITIONAL ISD/CSD","Male",351
"2017-2018",15,"BROWN COUNTY","BLANKET ISD",025904,"TRADITIONAL ISD/CSD","Female",78
"2017-2018",15,"BROWN COUNTY","BLANKET ISD",025904,"TRADITIONAL ISD/CSD","Male",109
"2017-2018",08,"CASS COUNTY","BLOOMBURG ISD",034909,"TRADITIONAL ISD/CSD","Female",147
"2017-2018",08,"CASS COUNTY","BLOOMBURG ISD",034909,"TRADITIONAL ISD/CSD","Male",130
"2017-2018",12,"NAVARRO COUNTY","BLOOMING GROVE ISD",175902,"TRADITIONAL ISD/CSD","Female",436
"2017-2018",12,"NAVARRO COUNTY","BLOOMING GROVE ISD",175902,"TRADITIONAL ISD/CSD","Male",511
"2017-2018",03,"VICTORIA COUNTY","BLOOMINGTON ISD",235901,"TRADITIONAL ISD/CSD","Female",437
"2017-2018",03,"VICTORIA COUNTY","BLOOMINGTON ISD",235901,"TRADITIONAL ISD/CSD","Male",430
"2017-2018",10,"COLLIN COUNTY","BLUE RIDGE ISD",043917,"TRADITIONAL ISD/CSD","Female",413
"2017-2018",10,"COLLIN COUNTY","BLUE RIDGE ISD",043917,"TRADITIONAL ISD/CSD","Male",412
"2017-2018",11,"ERATH COUNTY","BLUFF DALE ISD",072904,"TRADITIONAL ISD/CSD","Female",96
"2017-2018",11,"ERATH COUNTY","BLUFF DALE ISD",072904,"TRADITIONAL ISD/CSD","Male",93
"2017-2018",12,"HILL COUNTY","BLUM ISD",109913,"TRADITIONAL ISD/CSD","Female",185
"2017-2018",12,"HILL COUNTY","BLUM ISD",109913,"TRADITIONAL ISD/CSD","Male",168
"2017-2018",05,"JEFFERSON COUNTY","BOB HOPE SCHOOL",123807,"OPEN ENROLLMENT CHARTER","Female",499
"2017-2018",05,"JEFFERSON COUNTY","BOB HOPE SCHOOL",123807,"OPEN ENROLLMENT CHARTER","Male",477
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"TRADITIONAL ISD/CSD","Female",4232
"2017-2018",20,"KENDALL COUNTY","BOERNE ISD",130901,"TRADITIONAL ISD/CSD","Male",4455
"2017-2018",10,"HUNT COUNTY","BOLES ISD",116916,"TRADITIONAL ISD/CSD","Female",277
"2017-2018",10,"HUNT COUNTY","BOLES ISD",116916,"TRADITIONAL ISD/CSD","Male",266
"2017-2018",03,"WHARTON COUNTY","BOLING ISD",241901,"TRADITIONAL ISD/CSD","Female",565
"2017-2018",03,"WHARTON COUNTY","BOLING ISD",241901,"TRADITIONAL ISD/CSD","Male",559
"2017-2018",10,"FANNIN COUNTY","BONHAM ISD",074903,"TRADITIONAL ISD/CSD","Female",893
"2017-2018",10,"FANNIN COUNTY","BONHAM ISD",074903,"TRADITIONAL ISD/CSD","Male",979
"2017-2018",16,"LIPSCOMB COUNTY","BOOKER ISD",148901,"TRADITIONAL ISD/CSD","Female",205
"2017-2018",16,"LIPSCOMB COUNTY","BOOKER ISD",148901,"TRADITIONAL ISD/CSD","Male",185
"2017-2018",17,"BORDEN COUNTY","BORDEN COUNTY ISD",017901,"TRADITIONAL ISD/CSD","Female",113
"2017-2018",17,"BORDEN COUNTY","BORDEN COUNTY ISD",017901,"TRADITIONAL ISD/CSD","Male",120
"2017-2018",16,"HUTCHINSON COUNTY","BORGER ISD",117901,"TRADITIONAL ISD/CSD","Female",1348
"2017-2018",16,"HUTCHINSON COUNTY","BORGER ISD",117901,"TRADITIONAL ISD/CSD","Male",1388
"2017-2018",12,"MCLENNAN COUNTY","BOSQUEVILLE ISD",161923,"TRADITIONAL ISD/CSD","Female",350
"2017-2018",12,"MCLENNAN COUNTY","BOSQUEVILLE ISD",161923,"TRADITIONAL ISD/CSD","Male",361
"2017-2018",16,"PARMER COUNTY","BOVINA ISD",185901,"TRADITIONAL ISD/CSD","Female",238
"2017-2018",16,"PARMER COUNTY","BOVINA ISD",185901,"TRADITIONAL ISD/CSD","Male",253
"2017-2018",09,"MONTAGUE COUNTY","BOWIE ISD",169901,"TRADITIONAL ISD/CSD","Female",830
"2017-2018",09,"MONTAGUE COUNTY","BOWIE ISD",169901,"TRADITIONAL ISD/CSD","Male",866
"2017-2018",11,"WISE COUNTY","BOYD ISD",249902,"TRADITIONAL ISD/CSD","Female",636
"2017-2018",11,"WISE COUNTY","BOYD ISD",249902,"TRADITIONAL ISD/CSD","Male",699
"2017-2018",16,"OLDHAM COUNTY","BOYS RANCH ISD",180901,"TRADITIONAL ISD/CSD","Female",127
"2017-2018",16,"OLDHAM COUNTY","BOYS RANCH ISD",180901,"TRADITIONAL ISD/CSD","Male",174
"2017-2018",20,"KINNEY COUNTY","BRACKETT ISD",136901,"TRADITIONAL ISD/CSD","Female",272
"2017-2018",20,"KINNEY COUNTY","BRACKETT ISD",136901,"TRADITIONAL ISD/CSD","Male",313
