"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","GRADE","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",31
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",36
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",45
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",46
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",47
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",52
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",35
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",47
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",47
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",52
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",50
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",45
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",34
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",49
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",33
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",45
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",46
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",44
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",41
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",53
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",45
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",42
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",44
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",65
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",53
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",46
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",37
"2018-2019",07,"ANDERSON COUNTY",001903,"ELKHART ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",45
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",29
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",33
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",15
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",25
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",25
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",26
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",23
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",31
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",38
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",37
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",35
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",27
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",30
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",28
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",31
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",30
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",34
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",41
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",26
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",38
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",21
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",28
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",23
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",37
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",28
"2018-2019",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",27
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",12
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",11
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",15
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",20
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",14
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",12
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",12
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",16
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",15
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",10
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",16
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",13
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",17
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",11
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",16
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",13
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",17
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",10
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",-999
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",18
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",14
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",11
"2018-2019",07,"ANDERSON COUNTY",001906,"NECHES ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",14
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",114
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",131
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",112
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",137
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",101
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",139
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",109
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",113
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",112
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",141
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",115
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",130
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",122
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",136
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",126
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",131
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",117
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",145
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",144
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",151
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",103
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",134
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",122
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",123
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",98
"2018-2019",07,"ANDERSON COUNTY",001907,"PALESTINE ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",109
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",36
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",33
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",50
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",64
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",60
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",42
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",64
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",62
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",59
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",44
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",55
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",63
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",70
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",62
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",47
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",46
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",47
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",72
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",55
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",63
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",68
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",61
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",42
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",63
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",59
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",55
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",-999
"2018-2019",07,"ANDERSON COUNTY",001908,"WESTWOOD ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",19
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",15
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",20
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",18
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",18
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",12
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 4",18
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 4",8
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 5",17
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 5",9
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 6",15
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 6",21
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 7",12
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 7",14
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 8",19
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 8",14
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 9",14
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 9",21
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 10",12
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 10",18
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 11",12
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 11",17
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 12",-999
"2018-2019",07,"ANDERSON COUNTY",001909,"SLOCUM ISD","MALE","TRADITIONAL ISD/CSD","Grade 12",-999
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Early Education",-999
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Pre-kindergarten",-999
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Kindergarten",177
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Kindergarten",184
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 1",166
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Grade 1",181
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 2",161
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Grade 2",148
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","FEMALE","TRADITIONAL ISD/CSD","Grade 3",142
"2018-2019",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","MALE","TRADITIONAL ISD/CSD","Grade 3",158
