"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Gender Name","Enrollment by Gender"
"2015-2016",02,"BEE COUNTY","BEEVILLE ISD",013901,"A C JONES H S",013901001,"Female",476
"2015-2016",02,"BEE COUNTY","BEEVILLE ISD",013901,"A C JONES H S",013901001,"Male",534
"2015-2016",10,"HUNT COUNTY","QUINLAN ISD",116908,"A E BUTLER INT",116908101,"Female",261
"2015-2016",10,"HUNT COUNTY","QUINLAN ISD",116908,"A E BUTLER INT",116908101,"Male",270
"2015-2016",11,"JOHNSON COUNTY","JOSHUA ISD",126905,"A G ELDER EL",126905103,"Female",278
"2015-2016",11,"JOHNSON COUNTY","JOSHUA ISD",126905,"A G ELDER EL",126905103,"Male",304
"2015-2016",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"A LEAL JR MIDDLE",015904042,"Female",399
"2015-2016",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"A LEAL JR MIDDLE",015904042,"Male",406
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"A M OCHOA EL",108902104,"Female",213
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"A M OCHOA EL",108902104,"Male",236
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"A M PATE EL",220905153,"Female",229
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"A M PATE EL",220905153,"Male",278
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"A MACEO SMITH NEW TECH H S",057905003,"Female",224
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"A MACEO SMITH NEW TECH H S",057905003,"Male",209
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"A N RICO ELEMENTARY",108913113,"Female",434
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"A N RICO ELEMENTARY",108913113,"Male",435
"2015-2016",04,"BRAZORIA COUNTY","BRAZOSPORT ISD",020905,"A P BEUTEL EL",020905102,"Female",247
"2015-2016",04,"BRAZORIA COUNTY","BRAZOSPORT ISD",020905,"A P BEUTEL EL",020905102,"Male",277
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"A P SOLIS MIDDLE",108902045,"Female",335
"2015-2016",01,"HIDALGO COUNTY","DONNA ISD",108902,"A P SOLIS MIDDLE",108902045,"Male",375
"2015-2016",11,"TARRANT COUNTY","CASTLEBERRY ISD",220917,"A V CATO EL",220917101,"Female",400
"2015-2016",11,"TARRANT COUNTY","CASTLEBERRY ISD",220917,"A V CATO EL",220917101,"Male",397
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"A W BROWN - F L A EARLY CHILDHOOD",057816102,"Female",696
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"A W BROWN - F L A EARLY CHILDHOOD",057816102,"Male",568
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ ACADEMY",057829001,"Female",489
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ ACADEMY",057829001,"Male",451
"2015-2016",04,"LIBERTY COUNTY","DAYTON ISD",146902,"AAEP (ACADEMIC ALTERNATIVE EDUCATI",146902007,"Female",7
"2015-2016",04,"LIBERTY COUNTY","DAYTON ISD",146902,"AAEP (ACADEMIC ALTERNATIVE EDUCATI",146902007,"Male",9
"2015-2016",08,"LAMAR COUNTY","NORTH LAMAR ISD",139911,"AARON PARKER EL",139911102,"Female",118
"2015-2016",08,"LAMAR COUNTY","NORTH LAMAR ISD",139911,"AARON PARKER EL",139911102,"Male",113
"2015-2016",10,"COLLIN COUNTY","WYLIE ISD",043914,"AB HARRISON INT",043914042,"Female",342
"2015-2016",10,"COLLIN COUNTY","WYLIE ISD",043914,"AB HARRISON INT",043914042,"Male",376
"2015-2016",10,"DALLAS COUNTY","GARLAND ISD",057909,"ABBETT EL",057909143,"Female",357
"2015-2016",10,"DALLAS COUNTY","GARLAND ISD",057909,"ABBETT EL",057909143,"Male",359
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"ABBOTT SCHOOL",109901001,"Female",135
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"ABBOTT SCHOOL",109901001,"Male",135
"2015-2016",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ABELL J H",165901047,"Female",481
"2015-2016",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ABELL J H",165901047,"Male",503
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY DAEP",095901003,"Male",-9999999
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY EL",095901101,"Female",176
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY EL",095901101,"Male",194
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY H S",095901001,"Female",106
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY H S",095901001,"Male",110
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY J H",095901041,"Female",94
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY J H",095901041,"Male",98
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE BEHAVIORAL HEALTH",221901142,"Female",11
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE BEHAVIORAL HEALTH",221901142,"Male",11
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE H S",221901001,"Female",1056
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE H S",221901001,"Male",959
"2015-2016",19,"EL PASO COUNTY","EL PASO ISD",071902,"ABOUT FACE PROGRAM EL",071902171,"Male",5
"2015-2016",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ABRAHAM KAZEN MIDDLE",015908043,"Female",224
"2015-2016",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ABRAHAM KAZEN MIDDLE",015908043,"Male",251
"2015-2016",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"ACADEMY AT CARRIE F THOMAS",220902116,"Female",373
"2015-2016",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"ACADEMY AT CARRIE F THOMAS",220902116,"Male",357
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY EL",014901102,"Female",179
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY EL",014901102,"Male",202
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ACADEMY FOR TECHNOLOGY ENGINEERING",221901010,"Female",138
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ACADEMY FOR TECHNOLOGY ENGINEERING",221901010,"Male",231
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY H S",014901001,"Female",179
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY H S",014901001,"Male",227
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY INT",014901101,"Female",145
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY INT",014901101,"Male",152
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY J H",014901041,"Female",156
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY J H",014901041,"Male",171
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"ACADEMY OF ACCELERATED LEARNING",101810002,"Female",395
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"ACADEMY OF ACCELERATED LEARNING",101810002,"Male",378
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"ACADEMY OF CAREERS AND TECHNOLOGIE",015816001,"Female",106
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"ACADEMY OF CAREERS AND TECHNOLOGIE",015816001,"Male",87
"2015-2016",04,"HARRIS COUNTY","SPRING BRANCH ISD",101920,"ACADEMY OF CHOICE",101920016,"Female",84
"2015-2016",04,"HARRIS COUNTY","SPRING BRANCH ISD",101920,"ACADEMY OF CHOICE",101920016,"Male",69
"2015-2016",20,"BEXAR COUNTY","NORTH EAST ISD",015910,"ACADEMY OF CREATIVE ED",015910008,"Female",69
"2015-2016",20,"BEXAR COUNTY","NORTH EAST ISD",015910,"ACADEMY OF CREATIVE ED",015910008,"Male",71
"2015-2016",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"ACADEMY OF DALLAS",057810101,"Female",285
"2015-2016",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"ACADEMY OF DALLAS",057810101,"Male",319
"2015-2016",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"ACCELERATED INTERDISCIPLINARY ACAD",101849101,"Female",151
"2015-2016",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"ACCELERATED INTERDISCIPLINARY ACAD",101849101,"Male",130
"2015-2016",02,"NUECES COUNTY","DR M L GARZA-GONZALEZ CHARTER SCHO",178801,"ACCELERATED LEARNING CENTER",178801101,"Female",37
"2015-2016",02,"NUECES COUNTY","DR M L GARZA-GONZALEZ CHARTER SCHO",178801,"ACCELERATED LEARNING CENTER",178801101,"Male",32
"2015-2016",10,"COLLIN COUNTY","WYLIE ISD",043914,"ACHIEVE ACADEMY",043914004,"Female",39
"2015-2016",10,"COLLIN COUNTY","WYLIE ISD",043914,"ACHIEVE ACADEMY",043914004,"Male",102
"2015-2016",01,"HIDALGO COUNTY","MCALLEN ISD",108906,"ACHIEVE EARLY COLLEGE H S",108906011,"Female",260
"2015-2016",01,"HIDALGO COUNTY","MCALLEN ISD",108906,"ACHIEVE EARLY COLLEGE H S",108906011,"Male",168
"2015-2016",10,"DALLAS COUNTY","MESQUITE ISD",057914,"ACHZIGER EL",057914132,"Female",431
"2015-2016",10,"DALLAS COUNTY","MESQUITE ISD",057914,"ACHZIGER EL",057914132,"Male",486
"2015-2016",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON EL",111901102,"Female",360
"2015-2016",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON EL",111901102,"Male",455
"2015-2016",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON MIDDLE",111901042,"Female",397
"2015-2016",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON MIDDLE",111901042,"Male",401
"2015-2016",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"AD WHEAT MIDDLE",126903107,"Female",336
"2015-2016",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"AD WHEAT MIDDLE",126903107,"Male",344
"2015-2016",13,"WILLIAMSON COUNTY","LEANDER ISD",246913,"ADA MAE FAUBION EL",246913102,"Female",250
"2015-2016",13,"WILLIAMSON COUNTY","LEANDER ISD",246913,"ADA MAE FAUBION EL",246913102,"Male",274
"2015-2016",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"ADAM ELEMENTARY",101907107,"Female",385
"2015-2016",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"ADAM ELEMENTARY",101907107,"Male",455
"2015-2016",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"ADAMS EL",126903101,"Female",204
"2015-2016",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"ADAMS EL",220901161,"Female",432
"2015-2016",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"ADAMS EL",126903101,"Male",231
"2015-2016",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"ADAMS EL",220901161,"Male",449
"2015-2016",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"ADAMS HILL EL",015915123,"Female",282
"2015-2016",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"ADAMS HILL EL",015915123,"Male",285
"2015-2016",02,"JIM WELLS COUNTY","ALICE ISD",125901,"ADAMS MIDDLE",125901043,"Female",349
"2015-2016",02,"JIM WELLS COUNTY","ALICE ISD",125901,"ADAMS MIDDLE",125901043,"Male",364
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELFA BOTELLO CALLEJO EL",057905247,"Female",326
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELFA BOTELLO CALLEJO EL",057905247,"Male",387
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELLE TURNER EL",057905219,"Female",142
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELLE TURNER EL",057905219,"Male",215
"2015-2016",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"ADKINS MIDDLE",178904057,"Female",254
"2015-2016",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"ADKINS MIDDLE",178904057,"Male",235
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ADMIN SERVICES",101903199,"Female",12
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ADMIN SERVICES",101903199,"Male",36
"2015-2016",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"ADRIAN SCHOOL",180903001,"Female",73
"2015-2016",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"ADRIAN SCHOOL",180903001,"Male",56
"2015-2016",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"Female",10
"2015-2016",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"Male",16
"2015-2016",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ADVANCED VIRTUAL ACADEMY",101912462,"Female",161
"2015-2016",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ADVANCED VIRTUAL ACADEMY",101912462,"Male",147
"2015-2016",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"ADVANTAGE ACADEMY",057806101,"Female",915
"2015-2016",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"ADVANTAGE ACADEMY",057806101,"Male",918
"2015-2016",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"AGNES COTTON EL",015907117,"Female",194
"2015-2016",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"AGNES COTTON EL",015907117,"Male",241
"2015-2016",10,"DALLAS COUNTY","MESQUITE ISD",057914,"AGNEW MIDDLE",057914041,"Female",364
"2015-2016",10,"DALLAS COUNTY","MESQUITE ISD",057914,"AGNEW MIDDLE",057914041,"Male",367
"2015-2016",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE ELEMENTARY SCHOOL",178901101,"Female",81
"2015-2016",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE ELEMENTARY SCHOOL",178901101,"Male",82
"2015-2016",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE H S",178901001,"Female",99
"2015-2016",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE H S",178901001,"Male",118
"2015-2016",04,"HARRIS COUNTY","CHANNELVIEW ISD",101905,"AGUIRRE J H",101905043,"Female",488
"2015-2016",04,"HARRIS COUNTY","CHANNELVIEW ISD",101905,"AGUIRRE J H",101905043,"Male",499
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"AIDA C ESCOBAR EL",108909113,"Female",424
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"AIDA C ESCOBAR EL",108909113,"Male",440
"2015-2016",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"AIKEN EL",031901133,"Female",415
"2015-2016",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"AIKEN EL",031901133,"Male",401
"2015-2016",08,"LAMAR COUNTY","PARIS ISD",139909,"AIKIN EL",139909109,"Female",437
"2015-2016",10,"DALLAS COUNTY","RICHARDSON ISD",057916,"AIKIN EL",057916135,"Female",360
"2015-2016",08,"LAMAR COUNTY","PARIS ISD",139909,"AIKIN EL",139909109,"Male",509
"2015-2016",10,"DALLAS COUNTY","RICHARDSON ISD",057916,"AIKIN EL",057916135,"Male",390
"2015-2016",16,"DEAF SMITH COUNTY","HEREFORD ISD",059901,"AIKMAN EL",059901101,"Female",214
"2015-2016",16,"DEAF SMITH COUNTY","HEREFORD ISD",059901,"AIKMAN EL",059901101,"Male",208
"2015-2016",05,"ORANGE COUNTY","VIDOR ISD",181907,"AIM CENTER H S",181907002,"Female",32
"2015-2016",05,"ORANGE COUNTY","VIDOR ISD",181907,"AIM CENTER H S",181907002,"Male",31
"2015-2016",04,"GALVESTON COUNTY","GALVESTON ISD",084902,"AIM COLLEGE & CAREER PREP",084902007,"Female",44
"2015-2016",04,"GALVESTON COUNTY","GALVESTON ISD",084902,"AIM COLLEGE & CAREER PREP",084902007,"Male",47
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"AIRPORT ELEMENTARY",108913110,"Female",350
"2015-2016",01,"HIDALGO COUNTY","WESLACO ISD",108913,"AIRPORT ELEMENTARY",108913110,"Male",319
"2015-2016",17,"HALE COUNTY","HALE CENTER ISD",095903,"AKIN EL",095903102,"Female",119
"2015-2016",17,"HALE COUNTY","HALE CENTER ISD",095903,"AKIN EL",095903102,"Male",138
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Female",1313
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Male",1400
"2015-2016",04,"HARRIS COUNTY","GOOSE CREEK CISD",101911,"ALAMO EL",101911101,"Female",399
"2015-2016",18,"PECOS COUNTY","FORT STOCKTON ISD",186902,"ALAMO EL",186902102,"Female",259
"2015-2016",04,"HARRIS COUNTY","GOOSE CREEK CISD",101911,"ALAMO EL",101911101,"Male",407
"2015-2016",18,"PECOS COUNTY","FORT STOCKTON ISD",186902,"ALAMO EL",186902102,"Male",283
"2015-2016",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS H S",015901001,"Female",773
"2015-2016",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS H S",015901001,"Male",780
"2015-2016",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS J H",015901041,"Female",576
"2015-2016",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS J H",015901041,"Male",581
"2015-2016",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ALAMO J H",165901041,"Female",342
"2015-2016",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ALAMO J H",165901041,"Male",390
"2015-2016",20,"BEXAR COUNTY","JUBILEE ACADEMIC CENTER",015822,"ALAMO LEADERSHIP ACADEMY",015822004,"Female",64
"2015-2016",20,"BEXAR COUNTY","JUBILEE ACADEMIC CENTER",015822,"ALAMO LEADERSHIP ACADEMY",015822004,"Male",55
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALAMO MIDDLE",108909042,"Female",337
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALAMO MIDDLE",108909042,"Male",363
"2015-2016",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ALAN B SHEPARD MIDDLE",015908042,"Female",273
"2015-2016",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ALAN B SHEPARD MIDDLE",015908042,"Male",317
"2015-2016",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN EL",250906101,"Female",230
"2015-2016",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN EL",250906101,"Male",225
"2015-2016",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN H S",250906001,"Female",186
"2015-2016",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN H S",250906001,"Male",238
"2015-2016",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"ALBANY JR-SR H S",209901001,"Female",115
"2015-2016",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"ALBANY JR-SR H S",209901001,"Male",108
"2015-2016",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"ALBERT & IOLA LEE DAVIS MALVERN EL",043907118,"Female",252
"2015-2016",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"ALBERT & IOLA LEE DAVIS MALVERN EL",043907118,"Male",245
"2015-2016",10,"HUNT COUNTY","COMMERCE ISD",116903,"ALBERT C WILLIAMS EL",116903104,"Female",185
"2015-2016",10,"HUNT COUNTY","COMMERCE ISD",116903,"ALBERT C WILLIAMS EL",116903104,"Male",169
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALBERT SIDNEY JOHNSTON EL",057905163,"Female",245
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALBERT SIDNEY JOHNSTON EL",057905163,"Male",237
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALBRIGHT MIDDLE",101903045,"Female",590
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALBRIGHT MIDDLE",101903045,"Male",611
"2015-2016",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ALCOTT EL",101912102,"Female",147
"2015-2016",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ALCOTT EL",101912102,"Male",185
"2015-2016",17,"LUBBOCK COUNTY","LUBBOCK ISD",152901,"ALDERSON EL",152901194,"Female",322
"2015-2016",17,"LUBBOCK COUNTY","LUBBOCK ISD",152901,"ALDERSON EL",152901194,"Male",331
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE H S",101902001,"Female",1171
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE H S",101902001,"Male",1323
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE MIDDLE",101902041,"Female",428
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE MIDDLE",101902041,"Male",511
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE NINTH GRADE SCHOOL",101902081,"Female",417
"2015-2016",04,"HARRIS COUNTY","ALDINE ISD",101902,"ALDINE NINTH GRADE SCHOOL",101902081,"Male",439
"2015-2016",10,"COLLIN COUNTY","PLANO ISD",043910,"ALDRIDGE EL",043910106,"Female",271
"2015-2016",10,"COLLIN COUNTY","PLANO ISD",043910,"ALDRIDGE EL",043910106,"Male",303
"2015-2016",11,"PARKER COUNTY","ALEDO ISD",184907,"ALEDO H S",184907001,"Female",572
"2015-2016",11,"PARKER COUNTY","ALEDO ISD",184907,"ALEDO H S",184907001,"Male",596
"2015-2016",11,"PARKER COUNTY","ALEDO ISD",184907,"ALEDO MIDDLE",184907041,"Female",414
"2015-2016",11,"PARKER COUNTY","ALEDO ISD",184907,"ALEDO MIDDLE",184907041,"Male",437
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX SANGER EL",057905206,"Female",256
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX SANGER EL",057905206,"Male",265
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX SANGER PREPARATORY MIDDLE",057905355,"Female",29
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX SANGER PREPARATORY MIDDLE",057905355,"Male",31
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX W SPENCE TALENTED/GIFTED ACAD",057905058,"Female",401
"2015-2016",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALEX W SPENCE TALENTED/GIFTED ACAD",057905058,"Male",431
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALEXANDER EL",101903114,"Female",402
"2015-2016",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALEXANDER EL",101903114,"Male",403
"2015-2016",04,"BRAZORIA COUNTY","PEARLAND ISD",020908,"ALEXANDER MIDDLE",020908115,"Female",304
"2015-2016",04,"BRAZORIA COUNTY","PEARLAND ISD",020908,"ALEXANDER MIDDLE",020908115,"Male",311
"2015-2016",19,"EL PASO COUNTY","SAN ELIZARIO ISD",071904,"ALFONSO BORREGO SR EL",071904104,"Female",260
"2015-2016",19,"EL PASO COUNTY","SAN ELIZARIO ISD",071904,"ALFONSO BORREGO SR EL",071904104,"Male",266
"2015-2016",01,"HIDALGO COUNTY","EDINBURG CISD",108904,"ALFONSO RAMIREZ EL",108904129,"Female",262
"2015-2016",01,"HIDALGO COUNTY","EDINBURG CISD",108904,"ALFONSO RAMIREZ EL",108904129,"Male",284
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALFRED SORENSEN EL",108909112,"Female",305
"2015-2016",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALFRED SORENSEN EL",108909112,"Male",383
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"ALICE CARLSON APPLIED LRN CTR",220905101,"Female",186
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"ALICE CARLSON APPLIED LRN CTR",220905101,"Male",206
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"ALICE D CONTRERAS",220905220,"Female",384
"2015-2016",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"ALICE D CONTRERAS",220905220,"Male",352
