"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Gender Name","Enrollment by Gender"
"2017-2018",10,"HUNT COUNTY","QUINLAN ISD",116908,"A E BUTLER INT",116908101,"ELEMENTARY","Female",288
"2017-2018",10,"HUNT COUNTY","QUINLAN ISD",116908,"A E BUTLER INT",116908101,"ELEMENTARY","Male",271
"2017-2018",11,"JOHNSON COUNTY","JOSHUA ISD",126905,"A G ELDER EL",126905103,"ELEMENTARY","Female",239
"2017-2018",11,"JOHNSON COUNTY","JOSHUA ISD",126905,"A G ELDER EL",126905103,"ELEMENTARY","Male",288
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"A LEAL JR MIDDLE",015904042,"MIDDLE SCHOOL","Female",409
"2017-2018",20,"BEXAR COUNTY","HARLANDALE ISD",015904,"A LEAL JR MIDDLE",015904042,"MIDDLE SCHOOL","Male",413
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"A M OCHOA EL",108902104,"ELEMENTARY","Female",209
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"A M OCHOA EL",108902104,"ELEMENTARY","Male",230
"2017-2018",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"A M PATE EL",220905153,"ELEMENTARY","Female",236
"2017-2018",11,"TARRANT COUNTY","FORT WORTH ISD",220905,"A M PATE EL",220905153,"ELEMENTARY","Male",286
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"A MACEO SMITH NEW TECH H S",057905003,"HIGH SCHOOL","Female",201
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"A MACEO SMITH NEW TECH H S",057905003,"HIGH SCHOOL","Male",162
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"A N RICO EL",108913113,"ELEMENTARY","Female",412
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"A N RICO EL",108913113,"ELEMENTARY","Male",407
"2017-2018",04,"BRAZORIA COUNTY","BRAZOSPORT ISD",020905,"A P BEUTEL EL",020905102,"ELEMENTARY","Female",300
"2017-2018",04,"BRAZORIA COUNTY","BRAZOSPORT ISD",020905,"A P BEUTEL EL",020905102,"ELEMENTARY","Male",320
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"A P SOLIS MIDDLE",108902045,"MIDDLE SCHOOL","Female",404
"2017-2018",01,"HIDALGO COUNTY","DONNA ISD",108902,"A P SOLIS MIDDLE",108902045,"MIDDLE SCHOOL","Male",438
"2017-2018",11,"TARRANT COUNTY","CASTLEBERRY ISD",220917,"A V CATO EL",220917101,"ELEMENTARY","Female",355
"2017-2018",11,"TARRANT COUNTY","CASTLEBERRY ISD",220917,"A V CATO EL",220917101,"ELEMENTARY","Male",366
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"A W BROWN - F L A EARLY CHILDHOOD",057816102,"ELEMENTARY","Female",615
"2017-2018",10,"DALLAS COUNTY","A W BROWN LEADERSHIP ACADEMY",057816,"A W BROWN - F L A EARLY CHILDHOOD",057816102,"ELEMENTARY","Male",545
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ ACADEMY EL",057829001,"ELEMENTARY / SECONDARY","Female",405
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ ACADEMY EL",057829001,"ELEMENTARY / SECONDARY","Male",389
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ SECONDARY SCHOOL",057829002,"HIGH SCHOOL","Female",282
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"A+ SECONDARY SCHOOL",057829002,"HIGH SCHOOL","Male",272
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"A+ UNLIMITED POTENTIAL",101871041,"MIDDLE SCHOOL","Female",19
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"A+ UNLIMITED POTENTIAL",101871041,"MIDDLE SCHOOL","Male",48
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"A+UP UNIVERSITY",101871102,"MIDDLE SCHOOL","Female",42
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"A+UP UNIVERSITY",101871102,"MIDDLE SCHOOL","Male",46
"2017-2018",08,"LAMAR COUNTY","NORTH LAMAR ISD",139911,"AARON PARKER EL",139911102,"ELEMENTARY","Female",123
"2017-2018",08,"LAMAR COUNTY","NORTH LAMAR ISD",139911,"AARON PARKER EL",139911102,"ELEMENTARY","Male",111
"2017-2018",10,"COLLIN COUNTY","WYLIE ISD",043914,"AB HARRISON INT",043914042,"MIDDLE SCHOOL","Female",354
"2017-2018",10,"COLLIN COUNTY","WYLIE ISD",043914,"AB HARRISON INT",043914042,"MIDDLE SCHOOL","Male",347
"2017-2018",10,"DALLAS COUNTY","GARLAND ISD",057909,"ABBETT EL",057909143,"ELEMENTARY","Female",376
"2017-2018",10,"DALLAS COUNTY","GARLAND ISD",057909,"ABBETT EL",057909143,"ELEMENTARY","Male",373
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"ABBOTT SCHOOL",109901001,"ELEMENTARY / SECONDARY","Female",145
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"ABBOTT SCHOOL",109901001,"ELEMENTARY / SECONDARY","Male",145
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ABELL J H",165901047,"JUNIOR HIGH SCHOOL","Female",507
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ABELL J H",165901047,"JUNIOR HIGH SCHOOL","Male",529
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY DAEP",095901003,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY EL",095901101,"ELEMENTARY","Female",175
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY EL",095901101,"ELEMENTARY","Male",179
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY H S",095901001,"HIGH SCHOOL","Female",111
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY H S",095901001,"HIGH SCHOOL","Male",117
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY MIDDLE",095901041,"MIDDLE SCHOOL","Female",87
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"ABERNATHY MIDDLE",095901041,"MIDDLE SCHOOL","Male",96
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE H S",221901001,"HIGH SCHOOL","Female",1126
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ABILENE H S",221901001,"HIGH SCHOOL","Male",1011
"2017-2018",19,"EL PASO COUNTY","EL PASO ISD",071902,"ABOUT FACE PROGRAM EL",071902171,"ELEMENTARY","Female",-9999999
"2017-2018",19,"EL PASO COUNTY","EL PASO ISD",071902,"ABOUT FACE PROGRAM EL",071902171,"ELEMENTARY","Male",7
"2017-2018",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"ACADEMY AT CARRIE F THOMAS",220902116,"ELEMENTARY","Female",304
"2017-2018",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"ACADEMY AT CARRIE F THOMAS",220902116,"ELEMENTARY","Male",323
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY EL",014901102,"ELEMENTARY","Female",192
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY EL",014901102,"ELEMENTARY","Male",194
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ACADEMY FOR TECHNOLOGY ENGINEERING",221901010,"HIGH SCHOOL","Female",135
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"ACADEMY FOR TECHNOLOGY ENGINEERING",221901010,"HIGH SCHOOL","Male",222
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY H S",014901001,"HIGH SCHOOL","Female",196
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY H S",014901001,"HIGH SCHOOL","Male",257
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY INT",014901101,"ELEMENTARY","Female",184
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY INT",014901101,"ELEMENTARY","Male",192
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY J H",014901041,"MIDDLE SCHOOL","Female",165
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"ACADEMY J H",014901041,"MIDDLE SCHOOL","Male",179
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"ACADEMY OF ACCELERATED LEARNING",101810002,"ELEMENTARY","Female",374
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"ACADEMY OF ACCELERATED LEARNING",101810002,"ELEMENTARY","Male",341
"2017-2018",04,"HARRIS COUNTY","SPRING BRANCH ISD",101920,"ACADEMY OF CHOICE",101920016,"ELEMENTARY / SECONDARY","Female",99
"2017-2018",04,"HARRIS COUNTY","SPRING BRANCH ISD",101920,"ACADEMY OF CHOICE",101920016,"ELEMENTARY / SECONDARY","Male",88
"2017-2018",20,"BEXAR COUNTY","NORTH EAST ISD",015910,"ACADEMY OF CREATIVE ED",015910008,"HIGH SCHOOL","Female",53
"2017-2018",20,"BEXAR COUNTY","NORTH EAST ISD",015910,"ACADEMY OF CREATIVE ED",015910008,"HIGH SCHOOL","Male",71
"2017-2018",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"ACADEMY OF DALLAS",057810101,"ELEMENTARY","Female",206
"2017-2018",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"ACADEMY OF DALLAS",057810101,"ELEMENTARY","Male",226
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"ACCELERATED INTERDISCIPLINARY ACAD",101849101,"ELEMENTARY","Female",149
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"ACCELERATED INTERDISCIPLINARY ACAD",101849101,"ELEMENTARY","Male",110
"2017-2018",10,"COLLIN COUNTY","WYLIE ISD",043914,"ACHIEVE ACADEMY",043914004,"ELEMENTARY / SECONDARY","Female",46
"2017-2018",10,"COLLIN COUNTY","WYLIE ISD",043914,"ACHIEVE ACADEMY",043914004,"ELEMENTARY / SECONDARY","Male",89
"2017-2018",01,"HIDALGO COUNTY","MCALLEN ISD",108906,"ACHIEVE EARLY COLLEGE H S",108906011,"HIGH SCHOOL","Female",308
"2017-2018",01,"HIDALGO COUNTY","MCALLEN ISD",108906,"ACHIEVE EARLY COLLEGE H S",108906011,"HIGH SCHOOL","Male",183
"2017-2018",10,"DALLAS COUNTY","MESQUITE ISD",057914,"ACHZIGER EL",057914132,"ELEMENTARY","Female",479
"2017-2018",10,"DALLAS COUNTY","MESQUITE ISD",057914,"ACHZIGER EL",057914132,"ELEMENTARY","Male",492
"2017-2018",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON EL",111901102,"ELEMENTARY","Female",398
"2017-2018",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON EL",111901102,"ELEMENTARY","Male",456
"2017-2018",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON MIDDLE",111901042,"MIDDLE SCHOOL","Female",388
"2017-2018",11,"HOOD COUNTY","GRANBURY ISD",111901,"ACTON MIDDLE",111901042,"MIDDLE SCHOOL","Male",458
"2017-2018",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"AD WHEAT MIDDLE",126903107,"MIDDLE SCHOOL","Female",325
"2017-2018",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"AD WHEAT MIDDLE",126903107,"MIDDLE SCHOOL","Male",362
"2017-2018",13,"WILLIAMSON COUNTY","LEANDER ISD",246913,"ADA MAE FAUBION EL",246913102,"ELEMENTARY","Female",239
"2017-2018",13,"WILLIAMSON COUNTY","LEANDER ISD",246913,"ADA MAE FAUBION EL",246913102,"ELEMENTARY","Male",241
"2017-2018",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"ADAM EL",101907107,"ELEMENTARY","Female",403
"2017-2018",04,"HARRIS COUNTY","CYPRESS-FAIRBANKS ISD",101907,"ADAM EL",101907107,"ELEMENTARY","Male",440
"2017-2018",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"ADAMS EL",126903101,"ELEMENTARY","Female",187
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"ADAMS EL",220901161,"ELEMENTARY","Female",407
"2017-2018",11,"JOHNSON COUNTY","CLEBURNE ISD",126903,"ADAMS EL",126903101,"ELEMENTARY","Male",221
"2017-2018",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"ADAMS EL",220901161,"ELEMENTARY","Male",410
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"ADAMS HILL EL",015915123,"ELEMENTARY","Female",266
"2017-2018",20,"BEXAR COUNTY","NORTHSIDE ISD",015915,"ADAMS HILL EL",015915123,"ELEMENTARY","Male",249
"2017-2018",02,"JIM WELLS COUNTY","ALICE ISD",125901,"ADAMS MIDDLE",125901043,"JUNIOR HIGH SCHOOL","Female",334
"2017-2018",02,"JIM WELLS COUNTY","ALICE ISD",125901,"ADAMS MIDDLE",125901043,"JUNIOR HIGH SCHOOL","Male",397
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELFA BOTELLO CALLEJO EL",057905247,"ELEMENTARY","Female",333
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELFA BOTELLO CALLEJO EL",057905247,"ELEMENTARY","Male",330
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELLE TURNER EL",057905219,"ELEMENTARY","Female",130
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ADELLE TURNER EL",057905219,"ELEMENTARY","Male",162
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"ADKINS MIDDLE",178904057,"MIDDLE SCHOOL","Female",337
"2017-2018",02,"NUECES COUNTY","CORPUS CHRISTI ISD",178904,"ADKINS MIDDLE",178904057,"MIDDLE SCHOOL","Male",341
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"ADMIN SERVICES",101903199,"ELEMENTARY / SECONDARY","Female",24
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"ADMIN SERVICES",101903199,"ELEMENTARY / SECONDARY","Male",48
"2017-2018",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"ADRIAN SCHOOL",180903001,"ELEMENTARY / SECONDARY","Female",68
"2017-2018",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"ADRIAN SCHOOL",180903001,"ELEMENTARY / SECONDARY","Male",52
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"HIGH SCHOOL","Female",-9999999
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"HIGH SCHOOL","Male",14
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"ADVANCED LEARNING ACADEMY",015907026,"ELEMENTARY / SECONDARY","Female",346
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"ADVANCED LEARNING ACADEMY",015907026,"ELEMENTARY / SECONDARY","Male",370
"2017-2018",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"ADVANTAGE ACADEMY",057806101,"ELEMENTARY / SECONDARY","Female",820
"2017-2018",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"ADVANTAGE ACADEMY",057806101,"ELEMENTARY / SECONDARY","Male",846
"2017-2018",06,"MONTGOMERY COUNTY","MAGNOLIA ISD",170906,"AEP",170906011,"ELEMENTARY / SECONDARY","Male",-9999999
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"AGNES COTTON ACADEMY",015907117,"ELEMENTARY","Female",230
"2017-2018",20,"BEXAR COUNTY","SAN ANTONIO ISD",015907,"AGNES COTTON ACADEMY",015907117,"ELEMENTARY","Male",265
"2017-2018",10,"DALLAS COUNTY","MESQUITE ISD",057914,"AGNEW MIDDLE",057914041,"JUNIOR HIGH SCHOOL","Female",401
"2017-2018",10,"DALLAS COUNTY","MESQUITE ISD",057914,"AGNEW MIDDLE",057914041,"JUNIOR HIGH SCHOOL","Male",430
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE ELEMENTARY SCHOOL",178901101,"ELEMENTARY","Female",83
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE ELEMENTARY SCHOOL",178901101,"ELEMENTARY","Male",67
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE H S",178901001,"ELEMENTARY / SECONDARY","Female",82
"2017-2018",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"AGUA DULCE H S",178901001,"ELEMENTARY / SECONDARY","Male",106
"2017-2018",04,"HARRIS COUNTY","CHANNELVIEW ISD",101905,"AGUIRRE J H",101905043,"MIDDLE SCHOOL","Female",505
"2017-2018",04,"HARRIS COUNTY","CHANNELVIEW ISD",101905,"AGUIRRE J H",101905043,"MIDDLE SCHOOL","Male",543
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"AIA LANCASTER EL",101849105,"ELEMENTARY","Female",5
"2017-2018",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"AIA LANCASTER EL",101849105,"ELEMENTARY","Male",5
"2017-2018",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"AIDA C ESCOBAR EL",108909113,"ELEMENTARY","Female",405
"2017-2018",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"AIDA C ESCOBAR EL",108909113,"ELEMENTARY","Male",405
"2017-2018",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"AIKEN EL",031901133,"ELEMENTARY","Female",387
"2017-2018",01,"CAMERON COUNTY","BROWNSVILLE ISD",031901,"AIKEN EL",031901133,"ELEMENTARY","Male",352
"2017-2018",08,"LAMAR COUNTY","PARIS ISD",139909,"AIKIN EL",139909109,"ELEMENTARY","Female",431
"2017-2018",10,"DALLAS COUNTY","RICHARDSON ISD",057916,"AIKIN EL",057916135,"ELEMENTARY","Female",364
"2017-2018",08,"LAMAR COUNTY","PARIS ISD",139909,"AIKIN EL",139909109,"ELEMENTARY","Male",491
"2017-2018",10,"DALLAS COUNTY","RICHARDSON ISD",057916,"AIKIN EL",057916135,"ELEMENTARY","Male",360
"2017-2018",16,"DEAF SMITH COUNTY","HEREFORD ISD",059901,"AIKMAN EL",059901101,"ELEMENTARY","Female",203
"2017-2018",16,"DEAF SMITH COUNTY","HEREFORD ISD",059901,"AIKMAN EL",059901101,"ELEMENTARY","Male",225
"2017-2018",05,"ORANGE COUNTY","VIDOR ISD",181907,"AIM CENTER H S",181907002,"HIGH SCHOOL","Female",26
"2017-2018",05,"ORANGE COUNTY","VIDOR ISD",181907,"AIM CENTER H S",181907002,"HIGH SCHOOL","Male",29
"2017-2018",04,"GALVESTON COUNTY","GALVESTON ISD",084902,"AIM COLLEGE & CAREER PREP",084902007,"ELEMENTARY / SECONDARY","Female",37
"2017-2018",04,"GALVESTON COUNTY","GALVESTON ISD",084902,"AIM COLLEGE & CAREER PREP",084902007,"ELEMENTARY / SECONDARY","Male",40
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"AIRPORT EL",108913110,"ELEMENTARY","Female",287
"2017-2018",01,"HIDALGO COUNTY","WESLACO ISD",108913,"AIRPORT EL",108913110,"ELEMENTARY","Male",281
"2017-2018",17,"HALE COUNTY","HALE CENTER ISD",095903,"AKIN EL",095903102,"ELEMENTARY","Female",138
"2017-2018",17,"HALE COUNTY","HALE CENTER ISD",095903,"AKIN EL",095903102,"ELEMENTARY","Male",143
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Female",1370
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Male",1395
"2017-2018",04,"HARRIS COUNTY","GOOSE CREEK CISD",101911,"ALAMO EL",101911101,"ELEMENTARY","Female",371
"2017-2018",18,"PECOS COUNTY","FORT STOCKTON ISD",186902,"ALAMO EL",186902102,"ELEMENTARY","Female",245
"2017-2018",04,"HARRIS COUNTY","GOOSE CREEK CISD",101911,"ALAMO EL",101911101,"ELEMENTARY","Male",375
"2017-2018",18,"PECOS COUNTY","FORT STOCKTON ISD",186902,"ALAMO EL",186902102,"ELEMENTARY","Male",253
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS H S",015901001,"HIGH SCHOOL","Female",794
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS H S",015901001,"HIGH SCHOOL","Male",784
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS J H",015901041,"MIDDLE SCHOOL","Female",543
"2017-2018",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"ALAMO HEIGHTS J H",015901041,"MIDDLE SCHOOL","Male",557
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ALAMO J H",165901041,"JUNIOR HIGH SCHOOL","Female",327
"2017-2018",18,"MIDLAND COUNTY","MIDLAND ISD",165901,"ALAMO J H",165901041,"JUNIOR HIGH SCHOOL","Male",405
"2017-2018",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALAMO MIDDLE",108909042,"MIDDLE SCHOOL","Female",309
"2017-2018",01,"HIDALGO COUNTY","PHARR-SAN JUAN-ALAMO ISD",108909,"ALAMO MIDDLE",108909042,"MIDDLE SCHOOL","Male",306
"2017-2018",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ALAN B SHEPARD MIDDLE",015908042,"MIDDLE SCHOOL","Female",267
"2017-2018",20,"BEXAR COUNTY","SOUTH SAN ANTONIO ISD",015908,"ALAN B SHEPARD MIDDLE",015908042,"MIDDLE SCHOOL","Male",289
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN EL",250906101,"ELEMENTARY","Female",232
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN EL",250906101,"ELEMENTARY","Male",212
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN H S",250906001,"ELEMENTARY / SECONDARY","Female",199
"2017-2018",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"ALBA-GOLDEN H S",250906001,"ELEMENTARY / SECONDARY","Male",239
"2017-2018",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"ALBANY JR-SR H S",209901001,"HIGH SCHOOL","Female",107
"2017-2018",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"ALBANY JR-SR H S",209901001,"HIGH SCHOOL","Male",117
"2017-2018",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"ALBERT & IOLA LEE DAVIS MALVERN EL",043907118,"ELEMENTARY","Female",274
"2017-2018",10,"COLLIN COUNTY","MCKINNEY ISD",043907,"ALBERT & IOLA LEE DAVIS MALVERN EL",043907118,"ELEMENTARY","Male",248
"2017-2018",10,"HUNT COUNTY","COMMERCE ISD",116903,"ALBERT C WILLIAMS EL",116903104,"ELEMENTARY","Female",177
"2017-2018",10,"HUNT COUNTY","COMMERCE ISD",116903,"ALBERT C WILLIAMS EL",116903104,"ELEMENTARY","Male",171
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALBERT SIDNEY JOHNSTON EL",057905163,"ELEMENTARY","Female",195
"2017-2018",10,"DALLAS COUNTY","DALLAS ISD",057905,"ALBERT SIDNEY JOHNSTON EL",057905163,"ELEMENTARY","Male",215
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALBRIGHT MIDDLE",101903045,"JUNIOR HIGH SCHOOL","Female",536
"2017-2018",04,"HARRIS COUNTY","ALIEF ISD",101903,"ALBRIGHT MIDDLE",101903045,"JUNIOR HIGH SCHOOL","Male",610
"2017-2018",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ALCOTT EL",101912102,"ELEMENTARY","Female",135
"2017-2018",04,"HARRIS COUNTY","HOUSTON ISD",101912,"ALCOTT EL",101912102,"ELEMENTARY","Male",135
"2017-2018",17,"LUBBOCK COUNTY","LUBBOCK ISD",152901,"ALDERSON EL",152901194,"ELEMENTARY","Female",284
