DBN,School,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,5 Year August,82,57,69.5%,50,61.0%,87.7%,0,0.0%,0.0%,50,61.0%,87.7%,7,8.5%,12.3%,10,12.2%,15,18.3%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,6 Year,82,61,74.4%,53,64.6%,86.9%,0,0.0%,0.0%,53,64.6%,86.9%,8,9.8%,13.1%,6,7.3%,15,18.3%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2010,4 Year  June,61,24,39.3%,24,39.3%,100.0%,1,1.6%,4.2%,23,37.7%,95.8%,0,0.0%,0.0%,20,32.8%,17,27.9%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2010,4 Year August,61,26,42.6%,26,42.6%,100.0%,1,1.6%,3.8%,25,41.0%,96.2%,0,0.0%,0.0%,18,29.5%,17,27.9%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2010,5 Year  June,55,28,50.9%,27,49.1%,96.4%,1,1.8%,3.6%,26,47.3%,92.9%,1,1.8%,3.6%,7,12.7%,18,32.7%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2010,5 Year August,55,28,50.9%,27,49.1%,96.4%,1,1.8%,3.6%,26,47.3%,92.9%,1,1.8%,3.6%,7,12.7%,18,32.7%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2011,4 Year  June,73,46,63.0%,41,56.2%,89.1%,0,0.0%,0.0%,41,56.2%,89.1%,5,6.8%,10.9%,18,24.7%,7,9.6%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2011,4 Year August,73,46,63.0%,41,56.2%,89.1%,0,0.0%,0.0%,41,56.2%,89.1%,5,6.8%,10.9%,18,24.7%,7,9.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 Year  June,64,46,71.9%,32,50.0%,69.6%,7,10.9%,15.2%,25,39.1%,54.3%,14,21.9%,30.4%,10,15.6%,6,9.4%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 Year  June,64,54,84.4%,34,53.1%,63.0%,7,10.9%,13.0%,27,42.2%,50.0%,20,31.3%,37.0%,0,0.0%,8,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 Year,64,54,84.4%,34,53.1%,63.0%,7,10.9%,13.0%,27,42.2%,50.0%,20,31.3%,37.0%,0,0.0%,8,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 Year  June,52,33,63.5%,19,36.5%,57.6%,8,15.4%,24.2%,11,21.2%,33.3%,14,26.9%,42.4%,16,30.8%,1,1.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 Year  June,52,45,86.5%,24,46.2%,53.3%,8,15.4%,17.8%,16,30.8%,35.6%,21,40.4%,46.7%,2,3.8%,3,5.8%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 Year,52,45,86.5%,24,46.2%,53.3%,8,15.4%,17.8%,16,30.8%,35.6%,21,40.4%,46.7%,2,3.8%,3,5.8%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 Year  June,87,67,77.0%,39,44.8%,58.2%,11,12.6%,16.4%,28,32.2%,41.8%,28,32.2%,41.8%,9,10.3%,11,12.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 Year  June,87,72,82.8%,41,47.1%,56.9%,11,12.6%,15.3%,30,34.5%,41.7%,31,35.6%,43.1%,2,2.3%,13,14.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 Year,89,73,82.0%,41,46.1%,56.2%,11,12.4%,15.1%,30,33.7%,41.1%,32,36.0%,43.8%,1,1.1%,14,15.7%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 Year  June,112,75,67.0%,36,32.1%,48.0%,6,5.4%,8.0%,30,26.8%,40.0%,39,34.8%,52.0%,33,29.5%,4,3.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,5 Year  June,112,83,74.1%,38,33.9%,45.8%,6,5.4%,7.2%,32,28.6%,38.6%,45,40.2%,54.2%,7,6.3%,16,14.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,6 Year,109,84,77.1%,39,35.8%,46.4%,6,5.5%,7.1%,33,30.3%,39.3%,45,41.3%,53.6%,1,0.9%,19,17.4%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year  June,121,64,52.9%,35,28.9%,54.7%,4,3.3%,6.3%,31,25.6%,48.4%,29,24.0%,45.3%,41,33.9%,11,9.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year August,121,70,57.9%,35,28.9%,50.0%,4,3.3%,5.7%,31,25.6%,44.3%,35,28.9%,50.0%,35,28.9%,11,9.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,5 Year  June,116,81,69.8%,37,31.9%,45.7%,4,3.4%,4.9%,33,28.4%,40.7%,44,37.9%,54.3%,7,6.0%,21,18.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,6 Year,112,83,74.1%,37,33.0%,44.6%,4,3.6%,4.8%,33,29.5%,39.8%,46,41.1%,55.4%,1,0.9%,23,20.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year  June,124,53,42.7%,42,33.9%,79.2%,8,6.5%,15.1%,34,27.4%,64.2%,11,8.9%,20.8%,46,37.1%,20,16.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year August,124,60,48.4%,42,33.9%,70.0%,8,6.5%,13.3%,34,27.4%,56.7%,18,14.5%,30.0%,39,31.5%,20,16.1%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year  June,116,72,62.1%,43,37.1%,59.7%,8,6.9%,11.1%,35,30.2%,48.6%,29,25.0%,40.3%,11,9.5%,25,21.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year August,116,77,66.4%,44,37.9%,57.1%,8,6.9%,10.4%,36,31.0%,46.8%,33,28.4%,42.9%,6,5.2%,25,21.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,6 Year,117,77,65.8%,44,37.6%,57.1%,8,6.8%,10.4%,36,30.8%,46.8%,33,28.2%,42.9%,1,0.9%,32,27.4%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year  June,150,99,66.0%,77,51.3%,77.8%,17,11.3%,17.2%,60,40.0%,60.6%,22,14.7%,22.2%,25,16.7%,17,11.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year August,150,106,70.7%,80,53.3%,75.5%,17,11.3%,16.0%,63,42.0%,59.4%,26,17.3%,24.5%,18,12.0%,17,11.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,5 Year  June,147,112,76.2%,81,55.1%,72.3%,17,11.6%,15.2%,64,43.5%,57.1%,31,21.1%,27.7%,2,1.4%,23,15.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,5 Year August,147,113,76.9%,81,55.1%,71.7%,17,11.6%,15.0%,64,43.5%,56.6%,32,21.8%,28.3%,2,1.4%,23,15.6%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,6 Year,145,113,77.9%,81,55.9%,71.7%,17,11.7%,15.0%,64,44.1%,56.6%,32,22.1%,28.3%,1,0.7%,22,15.2%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,4 Year  June,120,80,66.7%,75,62.5%,93.8%,10,8.3%,12.5%,65,54.2%,81.3%,5,4.2%,6.3%,26,21.7%,9,7.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,4 Year August,120,90,75.0%,81,67.5%,90.0%,10,8.3%,11.1%,71,59.2%,78.9%,9,7.5%,10.0%,17,14.2%,9,7.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,5 Year  June,119,97,81.5%,82,68.9%,84.5%,10,8.4%,10.3%,72,60.5%,74.2%,15,12.6%,15.5%,6,5.0%,11,9.2%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,5 Year August,119,99,83.2%,82,68.9%,82.8%,10,8.4%,10.1%,72,60.5%,72.7%,17,14.3%,17.2%,4,3.4%,11,9.2%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,6 Year,118,100,84.7%,83,70.3%,83.0%,10,8.5%,10.0%,73,61.9%,73.0%,17,14.4%,17.0%,1,0.8%,11,9.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,4 Year  June,88,65,73.9%,50,56.8%,76.9%,6,6.8%,9.2%,44,50.0%,67.7%,15,17.0%,23.1%,14,15.9%,9,10.2%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,4 Year August,88,69,78.4%,51,58.0%,73.9%,6,6.8%,8.7%,45,51.1%,65.2%,18,20.5%,26.1%,10,11.4%,9,10.2%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,5 Year  June,88,72,81.8%,53,60.2%,73.6%,6,6.8%,8.3%,47,53.4%,65.3%,19,21.6%,26.4%,3,3.4%,11,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,5 Year August,88,72,81.8%,53,60.2%,73.6%,6,6.8%,8.3%,47,53.4%,65.3%,19,21.6%,26.4%,3,3.4%,11,12.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,6 Year,88,72,81.8%,53,60.2%,73.6%,6,6.8%,8.3%,47,53.4%,65.3%,19,21.6%,26.4%,1,1.1%,14,15.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,4 Year  June,71,56,78.9%,46,64.8%,82.1%,3,4.2%,5.4%,43,60.6%,76.8%,10,14.1%,17.9%,4,5.6%,11,15.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,4 Year August,71,57,80.3%,47,66.2%,82.5%,3,4.2%,5.3%,44,62.0%,77.2%,10,14.1%,17.5%,3,4.2%,11,15.5%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,5 Year  June,71,57,80.3%,47,66.2%,82.5%,3,4.2%,5.3%,44,62.0%,77.2%,10,14.1%,17.5%,1,1.4%,13,18.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,5 Year August,71,57,80.3%,47,66.2%,82.5%,3,4.2%,5.3%,44,62.0%,77.2%,10,14.1%,17.5%,1,1.4%,13,18.3%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,4 Year  June,82,68,82.9%,58,70.7%,85.3%,13,15.9%,19.1%,45,54.9%,66.2%,10,12.2%,14.7%,5,6.1%,8,9.8%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,4 Year August,82,70,85.4%,59,72.0%,84.3%,13,15.9%,18.6%,46,56.1%,65.7%,11,13.4%,15.7%,3,3.7%,8,9.8%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,4 Year  June,61,41,67.2%,40,65.6%,97.6%,0,0.0%,0.0%,40,65.6%,97.6%,1,1.6%,2.4%,7,11.5%,12,19.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,5 Year  June,61,45,73.8%,44,72.1%,97.8%,0,0.0%,0.0%,44,72.1%,97.8%,1,1.6%,2.2%,1,1.6%,14,23.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,6 Year,61,46,75.4%,45,73.8%,97.8%,0,0.0%,0.0%,45,73.8%,97.8%,1,1.6%,2.2%,0,0.0%,14,23.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,4 Year  June,72,45,62.5%,45,62.5%,100.0%,0,0.0%,0.0%,45,62.5%,100.0%,0,0.0%,0.0%,18,25.0%,7,9.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,5 Year  June,72,54,75.0%,52,72.2%,96.3%,0,0.0%,0.0%,52,72.2%,96.3%,2,2.8%,3.7%,5,6.9%,11,15.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,6 Year,72,55,76.4%,53,73.6%,96.4%,0,0.0%,0.0%,53,73.6%,96.4%,2,2.8%,3.6%,1,1.4%,14,19.4%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,4 Year  June,79,49,62.0%,44,55.7%,89.8%,0,0.0%,0.0%,44,55.7%,89.8%,5,6.3%,10.2%,20,25.3%,10,12.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,5 Year  June,79,59,74.7%,51,64.6%,86.4%,0,0.0%,0.0%,51,64.6%,86.4%,8,10.1%,13.6%,2,2.5%,17,21.5%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,6 Year,78,59,75.6%,51,65.4%,86.4%,0,0.0%,0.0%,51,65.4%,86.4%,8,10.3%,13.6%,1,1.3%,17,21.8%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,4 Year  June,80,58,72.5%,48,60.0%,82.8%,0,0.0%,0.0%,48,60.0%,82.8%,10,12.5%,17.2%,13,16.3%,9,11.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,5 Year  June,77,62,80.5%,50,64.9%,80.6%,0,0.0%,0.0%,50,64.9%,80.6%,12,15.6%,19.4%,3,3.9%,10,13.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,6 Year,78,63,80.8%,51,65.4%,81.0%,0,0.0%,0.0%,51,65.4%,81.0%,12,15.4%,19.0%,1,1.3%,11,14.1%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 Year  June,85,61,71.8%,58,68.2%,95.1%,0,0.0%,0.0%,58,68.2%,95.1%,3,3.5%,4.9%,11,12.9%,9,10.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 Year August,85,62,72.9%,59,69.4%,95.2%,0,0.0%,0.0%,59,69.4%,95.2%,3,3.5%,4.8%,10,11.8%,9,10.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,5 Year  June,86,63,73.3%,60,69.8%,95.2%,0,0.0%,0.0%,60,69.8%,95.2%,3,3.5%,4.8%,3,3.5%,11,12.8%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,6 Year,86,64,74.4%,61,70.9%,95.3%,0,0.0%,0.0%,61,70.9%,95.3%,3,3.5%,4.7%,1,1.2%,13,15.1%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 Year  June,90,70,77.8%,67,74.4%,95.7%,0,0.0%,0.0%,67,74.4%,95.7%,3,3.3%,4.3%,15,16.7%,5,5.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 Year August,90,71,78.9%,68,75.6%,95.8%,0,0.0%,0.0%,68,75.6%,95.8%,3,3.3%,4.2%,14,15.6%,5,5.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 Year  June,91,75,82.4%,72,79.1%,96.0%,0,0.0%,0.0%,72,79.1%,96.0%,3,3.3%,4.0%,6,6.6%,9,9.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 Year August,91,77,84.6%,74,81.3%,96.1%,0,0.0%,0.0%,74,81.3%,96.1%,3,3.3%,3.9%,4,4.4%,9,9.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,6 Year,92,77,83.7%,74,80.4%,96.1%,0,0.0%,0.0%,74,80.4%,96.1%,3,3.3%,3.9%,2,2.2%,11,12.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 Year  June,89,56,62.9%,56,62.9%,100.0%,0,0.0%,0.0%,56,62.9%,100.0%,0,0.0%,0.0%,23,25.8%,7,7.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 Year August,89,63,70.8%,63,70.8%,100.0%,0,0.0%,0.0%,63,70.8%,100.0%,0,0.0%,0.0%,16,18.0%,7,7.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,5 Year  June,89,66,74.2%,66,74.2%,100.0%,0,0.0%,0.0%,66,74.2%,100.0%,0,0.0%,0.0%,5,5.6%,15,16.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,5 Year August,89,66,74.2%,66,74.2%,100.0%,0,0.0%,0.0%,66,74.2%,100.0%,0,0.0%,0.0%,5,5.6%,15,16.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,6 Year,89,70,78.7%,69,77.5%,98.6%,0,0.0%,0.0%,69,77.5%,98.6%,1,1.1%,1.4%,1,1.1%,15,16.9%
01M450,EAST SIDE COMMUNITY SCHOOL,2008,4 Year  June,88,61,69.3%,60,68.2%,98.4%,0,0.0%,0.0%,60,68.2%,98.4%,1,1.1%,1.6%,16,18.2%,11,12.5%
01M450,EAST SIDE COMMUNITY SCHOOL,2008,4 Year August,88,64,72.7%,63,71.6%,98.4%,0,0.0%,0.0%,63,71.6%,98.4%,1,1.1%,1.6%,13,14.8%,11,12.5%
01M450,EAST SIDE COMMUNITY SCHOOL,2008,5 Year  June,88,68,77.3%,67,76.1%,98.5%,0,0.0%,0.0%,67,76.1%,98.5%,1,1.1%,1.5%,8,9.1%,11,12.5%
01M450,EAST SIDE COMMUNITY SCHOOL,2008,5 Year August,88,69,78.4%,67,76.1%,97.1%,0,0.0%,0.0%,67,76.1%,97.1%,2,2.3%,2.9%,8,9.1%,10,11.4%
01M450,EAST SIDE COMMUNITY SCHOOL,2008,6 Year,87,69,79.3%,67,77.0%,97.1%,0,0.0%,0.0%,67,77.0%,97.1%,2,2.3%,2.9%,6,6.9%,11,12.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2009,4 Year  June,78,56,71.8%,56,71.8%,100.0%,0,0.0%,0.0%,56,71.8%,100.0%,0,0.0%,0.0%,19,24.4%,2,2.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2009,4 Year August,78,59,75.6%,59,75.6%,100.0%,0,0.0%,0.0%,59,75.6%,100.0%,0,0.0%,0.0%,16,20.5%,2,2.6%
01M450,EAST SIDE COMMUNITY SCHOOL,2009,5 Year  June,76,66,86.8%,66,86.8%,100.0%,0,0.0%,0.0%,66,86.8%,100.0%,0,0.0%,0.0%,5,6.6%,4,5.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2009,5 Year August,76,66,86.8%,66,86.8%,100.0%,0,0.0%,0.0%,66,86.8%,100.0%,0,0.0%,0.0%,5,6.6%,4,5.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2009,6 Year,75,67,89.3%,67,89.3%,100.0%,0,0.0%,0.0%,67,89.3%,100.0%,0,0.0%,0.0%,1,1.3%,6,8.0%
01M450,EAST SIDE COMMUNITY SCHOOL,2010,4 Year  June,90,70,77.8%,70,77.8%,100.0%,0,0.0%,0.0%,70,77.8%,100.0%,0,0.0%,0.0%,17,18.9%,3,3.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2010,4 Year August,90,75,83.3%,71,78.9%,94.7%,0,0.0%,0.0%,71,78.9%,94.7%,4,4.4%,5.3%,12,13.3%,3,3.3%
01M450,EAST SIDE COMMUNITY SCHOOL,2010,5 Year  June,88,78,88.6%,74,84.1%,94.9%,0,0.0%,0.0%,74,84.1%,94.9%,4,4.5%,5.1%,4,4.5%,6,6.8%
