"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Gender Name","Gender Count"
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  7","Female",65
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  7","Male",56
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  8","Female",63
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  8","Male",50
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",14
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",27
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",42
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",21
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1","Female",33
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1","Male",30
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2","Female",32
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2","Male",32
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3","Female",38
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3","Male",27
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4","Female",39
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4","Male",34
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5","Female",36
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5","Male",35
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6","Female",36
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6","Male",36
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7","Female",37
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7","Male",35
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8","Female",32
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8","Male",40
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Female",45
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Male",26
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Female",35
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Male",37
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Female",31
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Male",40
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Female",39
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Male",31
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Female",-9999999
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Male",0
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",8
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Female",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Male",8
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Female",5
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Male",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Female",5
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Male",8
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Female",6
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Male",13
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4","Female",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4","Male",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5","Female",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5","Male",10
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6","Female",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6","Male",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7","Female",10
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7","Male",6
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8","Female",18
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8","Male",8
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9","Female",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9","Male",12
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10","Female",12
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10","Male",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11","Female",9
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11","Male",11
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12","Female",8
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12","Male",12
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education","Female",-9999999
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education","Male",-9999999
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",15
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",17
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten","Female",30
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten","Male",28
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1","Female",23
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1","Male",27
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2","Female",21
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2","Male",22
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3","Female",29
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3","Male",37
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4","Female",35
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4","Male",28
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5","Female",21
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5","Male",33
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6","Female",29
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6","Male",28
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7","Female",31
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7","Male",38
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8","Female",34
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8","Male",33
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9","Female",31
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9","Male",40
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10","Female",21
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10","Male",16
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11","Female",35
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11","Male",29
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12","Female",19
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12","Male",26
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education","Female",82
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education","Male",105
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",392
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",418
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten","Female",669
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten","Male",707
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1","Female",643
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1","Male",688
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2","Female",630
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2","Male",755
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3","Female",646
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3","Male",703
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4","Female",604
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4","Male",675
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5","Female",623
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5","Male",657
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6","Female",635
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6","Male",658
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7","Female",583
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7","Male",577
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8","Female",586
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8","Male",619
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9","Female",675
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9","Male",639
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10","Female",547
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10","Male",546
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11","Female",498
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11","Male",534
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12","Female",448
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12","Male",436
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5","Female",0
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5","Male",-9999999
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6","Female",-9999999
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6","Male",12
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7","Female",11
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7","Male",35
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8","Female",18
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8","Male",54
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9","Female",39
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9","Male",173
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10","Female",17
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10","Male",88
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11","Female",-9999999
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11","Male",30
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12","Female",0
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12","Male",-9999999
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education","Female",-9999999
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education","Male",0
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",13
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",18
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten","Female",54
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten","Male",52
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1","Female",60
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1","Male",62
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2","Female",51
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2","Male",70
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3","Female",48
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3","Male",43
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4","Female",46
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4","Male",60
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5","Female",51
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5","Male",49
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6","Female",52
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6","Male",45
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7","Female",49
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7","Male",56
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8","Female",55
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8","Male",70
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9","Female",45
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9","Male",67
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10","Female",50
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10","Male",58
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11","Female",53
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11","Male",57
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12","Female",31
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12","Male",45
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",97
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",91
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",69
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",62
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  1","Female",57
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  1","Male",75
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  2","Female",66
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  2","Male",52
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  3","Female",46
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  3","Male",44
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  4","Female",31
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  4","Male",28
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  5","Female",29
"2015-2016",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  5","Male",26
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade  9","Female",14
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade  9","Male",-9999999
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 10","Female",17
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 10","Male",18
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 11","Female",23
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 11","Male",33
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 12","Female",52
"2015-2016",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Grade 12","Male",32
"2015-2016",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",124
