"Year","Region","County Name","Grade Level Name","Gender Name","Gender Count"
"2016-2017",18,"ANDREWS COUNTY","Grade  4","Male",194
"2016-2017",18,"ANDREWS COUNTY","Grade  5","Female",131
"2016-2017",18,"ANDREWS COUNTY","Grade  5","Male",162
"2016-2017",18,"ANDREWS COUNTY","Grade  6","Female",150
"2016-2017",18,"ANDREWS COUNTY","Grade  6","Male",160
"2016-2017",18,"ANDREWS COUNTY","Grade  7","Female",149
"2016-2017",18,"ANDREWS COUNTY","Grade  7","Male",162
"2016-2017",18,"ANDREWS COUNTY","Grade  8","Female",150
"2016-2017",18,"ANDREWS COUNTY","Grade  8","Male",152
"2016-2017",18,"ANDREWS COUNTY","Grade  9","Female",127
"2016-2017",18,"ANDREWS COUNTY","Grade  9","Male",159
"2016-2017",18,"ANDREWS COUNTY","Grade 10","Female",144
"2016-2017",18,"ANDREWS COUNTY","Grade 10","Male",143
"2016-2017",18,"ANDREWS COUNTY","Grade 11","Female",118
"2016-2017",18,"ANDREWS COUNTY","Grade 11","Male",120
"2016-2017",18,"ANDREWS COUNTY","Grade 12","Female",111
"2016-2017",18,"ANDREWS COUNTY","Grade 12","Male",107
"2016-2017",07,"ANGELINA COUNTY","Early Education","Female",16
"2016-2017",07,"ANGELINA COUNTY","Early Education","Male",38
"2016-2017",07,"ANGELINA COUNTY","Pre-kindergarten","Female",562
"2016-2017",07,"ANGELINA COUNTY","Pre-kindergarten","Male",549
"2016-2017",07,"ANGELINA COUNTY","Kindergarten","Female",583
"2016-2017",07,"ANGELINA COUNTY","Kindergarten","Male",653
"2016-2017",07,"ANGELINA COUNTY","Grade  1","Female",651
"2016-2017",07,"ANGELINA COUNTY","Grade  1","Male",637
"2016-2017",07,"ANGELINA COUNTY","Grade  2","Female",628
"2016-2017",07,"ANGELINA COUNTY","Grade  2","Male",659
"2016-2017",07,"ANGELINA COUNTY","Grade  3","Female",629
"2016-2017",07,"ANGELINA COUNTY","Grade  3","Male",673
"2016-2017",07,"ANGELINA COUNTY","Grade  4","Female",656
"2016-2017",07,"ANGELINA COUNTY","Grade  4","Male",722
"2016-2017",07,"ANGELINA COUNTY","Grade  5","Female",649
"2016-2017",07,"ANGELINA COUNTY","Grade  5","Male",646
"2016-2017",07,"ANGELINA COUNTY","Grade  6","Female",613
"2016-2017",07,"ANGELINA COUNTY","Grade  6","Male",648
"2016-2017",07,"ANGELINA COUNTY","Grade  7","Female",646
"2016-2017",07,"ANGELINA COUNTY","Grade  7","Male",668
"2016-2017",07,"ANGELINA COUNTY","Grade  8","Female",591
"2016-2017",07,"ANGELINA COUNTY","Grade  8","Male",588
"2016-2017",07,"ANGELINA COUNTY","Grade  9","Female",645
"2016-2017",07,"ANGELINA COUNTY","Grade  9","Male",703
"2016-2017",07,"ANGELINA COUNTY","Grade 10","Female",604
"2016-2017",07,"ANGELINA COUNTY","Grade 10","Male",664
"2016-2017",07,"ANGELINA COUNTY","Grade 11","Female",607
"2016-2017",07,"ANGELINA COUNTY","Grade 11","Male",606
"2016-2017",07,"ANGELINA COUNTY","Grade 12","Female",582
"2016-2017",07,"ANGELINA COUNTY","Grade 12","Male",538
"2016-2017",02,"ARANSAS COUNTY","Early Education","Female",-9999999
"2016-2017",02,"ARANSAS COUNTY","Early Education","Male",-9999999
"2016-2017",02,"ARANSAS COUNTY","Pre-kindergarten","Female",43
"2016-2017",02,"ARANSAS COUNTY","Pre-kindergarten","Male",43
"2016-2017",02,"ARANSAS COUNTY","Kindergarten","Female",129
"2016-2017",02,"ARANSAS COUNTY","Kindergarten","Male",128
"2016-2017",02,"ARANSAS COUNTY","Grade  1","Female",134
"2016-2017",02,"ARANSAS COUNTY","Grade  1","Male",137
"2016-2017",02,"ARANSAS COUNTY","Grade  2","Female",127
"2016-2017",02,"ARANSAS COUNTY","Grade  2","Male",126
"2016-2017",02,"ARANSAS COUNTY","Grade  3","Female",128
"2016-2017",02,"ARANSAS COUNTY","Grade  3","Male",136
"2016-2017",02,"ARANSAS COUNTY","Grade  4","Female",114
"2016-2017",02,"ARANSAS COUNTY","Grade  4","Male",130
"2016-2017",02,"ARANSAS COUNTY","Grade  5","Female",114
"2016-2017",02,"ARANSAS COUNTY","Grade  5","Male",134
"2016-2017",02,"ARANSAS COUNTY","Grade  6","Female",127
"2016-2017",02,"ARANSAS COUNTY","Grade  6","Male",142
"2016-2017",02,"ARANSAS COUNTY","Grade  7","Female",138
"2016-2017",02,"ARANSAS COUNTY","Grade  7","Male",152
"2016-2017",02,"ARANSAS COUNTY","Grade  8","Female",112
"2016-2017",02,"ARANSAS COUNTY","Grade  8","Male",106
"2016-2017",02,"ARANSAS COUNTY","Grade  9","Female",135
"2016-2017",02,"ARANSAS COUNTY","Grade  9","Male",136
"2016-2017",02,"ARANSAS COUNTY","Grade 10","Female",127
"2016-2017",02,"ARANSAS COUNTY","Grade 10","Male",139
"2016-2017",02,"ARANSAS COUNTY","Grade 11","Female",118
"2016-2017",02,"ARANSAS COUNTY","Grade 11","Male",137
"2016-2017",02,"ARANSAS COUNTY","Grade 12","Female",91
"2016-2017",02,"ARANSAS COUNTY","Grade 12","Male",106
"2016-2017",09,"ARCHER COUNTY","Early Education","Female",-9999999
"2016-2017",09,"ARCHER COUNTY","Early Education","Male",6
"2016-2017",09,"ARCHER COUNTY","Pre-kindergarten","Female",28
"2016-2017",09,"ARCHER COUNTY","Pre-kindergarten","Male",23
"2016-2017",09,"ARCHER COUNTY","Kindergarten","Female",65
"2016-2017",09,"ARCHER COUNTY","Kindergarten","Male",61
"2016-2017",09,"ARCHER COUNTY","Grade  1","Female",59
"2016-2017",09,"ARCHER COUNTY","Grade  1","Male",56
"2016-2017",09,"ARCHER COUNTY","Grade  2","Female",74
"2016-2017",09,"ARCHER COUNTY","Grade  2","Male",49
"2016-2017",09,"ARCHER COUNTY","Grade  3","Female",66
"2016-2017",09,"ARCHER COUNTY","Grade  3","Male",75
"2016-2017",09,"ARCHER COUNTY","Grade  4","Female",62
"2016-2017",09,"ARCHER COUNTY","Grade  4","Male",63
"2016-2017",09,"ARCHER COUNTY","Grade  5","Female",65
"2016-2017",09,"ARCHER COUNTY","Grade  5","Male",77
"2016-2017",09,"ARCHER COUNTY","Grade  6","Female",73
"2016-2017",09,"ARCHER COUNTY","Grade  6","Male",81
"2016-2017",09,"ARCHER COUNTY","Grade  7","Female",65
"2016-2017",09,"ARCHER COUNTY","Grade  7","Male",83
"2016-2017",09,"ARCHER COUNTY","Grade  8","Female",52
"2016-2017",09,"ARCHER COUNTY","Grade  8","Male",85
"2016-2017",09,"ARCHER COUNTY","Grade  9","Female",70
"2016-2017",09,"ARCHER COUNTY","Grade  9","Male",84
"2016-2017",09,"ARCHER COUNTY","Grade 10","Female",71
"2016-2017",09,"ARCHER COUNTY","Grade 10","Male",76
"2016-2017",09,"ARCHER COUNTY","Grade 11","Female",67
"2016-2017",09,"ARCHER COUNTY","Grade 11","Male",77
"2016-2017",09,"ARCHER COUNTY","Grade 12","Female",83
"2016-2017",09,"ARCHER COUNTY","Grade 12","Male",81
"2016-2017",16,"ARMSTRONG COUNTY","Pre-kindergarten","Female",12
"2016-2017",16,"ARMSTRONG COUNTY","Pre-kindergarten","Male",7
"2016-2017",16,"ARMSTRONG COUNTY","Kindergarten","Female",13
"2016-2017",16,"ARMSTRONG COUNTY","Kindergarten","Male",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  1","Female",13
"2016-2017",16,"ARMSTRONG COUNTY","Grade  1","Male",13
"2016-2017",16,"ARMSTRONG COUNTY","Grade  2","Female",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  2","Male",13
"2016-2017",16,"ARMSTRONG COUNTY","Grade  3","Female",10
"2016-2017",16,"ARMSTRONG COUNTY","Grade  3","Male",14
"2016-2017",16,"ARMSTRONG COUNTY","Grade  4","Female",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  4","Male",13
"2016-2017",16,"ARMSTRONG COUNTY","Grade  5","Female",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  5","Male",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  6","Female",19
"2016-2017",16,"ARMSTRONG COUNTY","Grade  6","Male",10
"2016-2017",16,"ARMSTRONG COUNTY","Grade  7","Female",9
"2016-2017",16,"ARMSTRONG COUNTY","Grade  7","Male",11
"2016-2017",16,"ARMSTRONG COUNTY","Grade  8","Female",9
"2016-2017",16,"ARMSTRONG COUNTY","Grade  8","Male",16
"2016-2017",16,"ARMSTRONG COUNTY","Grade  9","Female",8
"2016-2017",16,"ARMSTRONG COUNTY","Grade  9","Male",14
"2016-2017",16,"ARMSTRONG COUNTY","Grade 10","Female",14
"2016-2017",16,"ARMSTRONG COUNTY","Grade 10","Male",12
"2016-2017",16,"ARMSTRONG COUNTY","Grade 11","Female",16
"2016-2017",16,"ARMSTRONG COUNTY","Grade 11","Male",9
"2016-2017",16,"ARMSTRONG COUNTY","Grade 12","Female",14
"2016-2017",16,"ARMSTRONG COUNTY","Grade 12","Male",11
"2016-2017",20,"ATASCOSA COUNTY","Early Education","Female",11
"2016-2017",20,"ATASCOSA COUNTY","Early Education","Male",28
"2016-2017",20,"ATASCOSA COUNTY","Pre-kindergarten","Female",179
"2016-2017",20,"ATASCOSA COUNTY","Pre-kindergarten","Male",198
"2016-2017",20,"ATASCOSA COUNTY","Kindergarten","Female",299
"2016-2017",20,"ATASCOSA COUNTY","Kindergarten","Male",323
"2016-2017",20,"ATASCOSA COUNTY","Grade  1","Female",319
"2016-2017",20,"ATASCOSA COUNTY","Grade  1","Male",323
"2016-2017",20,"ATASCOSA COUNTY","Grade  2","Female",331
"2016-2017",20,"ATASCOSA COUNTY","Grade  2","Male",385
"2016-2017",20,"ATASCOSA COUNTY","Grade  3","Female",305
"2016-2017",20,"ATASCOSA COUNTY","Grade  3","Male",333
"2016-2017",20,"ATASCOSA COUNTY","Grade  4","Female",346
"2016-2017",20,"ATASCOSA COUNTY","Grade  4","Male",381
"2016-2017",20,"ATASCOSA COUNTY","Grade  5","Female",322
"2016-2017",20,"ATASCOSA COUNTY","Grade  5","Male",324
"2016-2017",20,"ATASCOSA COUNTY","Grade  6","Female",318
"2016-2017",20,"ATASCOSA COUNTY","Grade  6","Male",342
"2016-2017",20,"ATASCOSA COUNTY","Grade  7","Female",315
"2016-2017",20,"ATASCOSA COUNTY","Grade  7","Male",363
"2016-2017",20,"ATASCOSA COUNTY","Grade  8","Female",318
"2016-2017",20,"ATASCOSA COUNTY","Grade  8","Male",321
"2016-2017",20,"ATASCOSA COUNTY","Grade  9","Female",329
"2016-2017",20,"ATASCOSA COUNTY","Grade  9","Male",378
"2016-2017",20,"ATASCOSA COUNTY","Grade 10","Female",339
"2016-2017",20,"ATASCOSA COUNTY","Grade 10","Male",335
"2016-2017",20,"ATASCOSA COUNTY","Grade 11","Female",310
"2016-2017",20,"ATASCOSA COUNTY","Grade 11","Male",287
"2016-2017",20,"ATASCOSA COUNTY","Grade 12","Female",273
"2016-2017",20,"ATASCOSA COUNTY","Grade 12","Male",293
"2016-2017",06,"AUSTIN COUNTY","Early Education","Female",8
"2016-2017",06,"AUSTIN COUNTY","Early Education","Male",17
"2016-2017",06,"AUSTIN COUNTY","Pre-kindergarten","Female",102
"2016-2017",06,"AUSTIN COUNTY","Pre-kindergarten","Male",91
"2016-2017",06,"AUSTIN COUNTY","Kindergarten","Female",166
"2016-2017",06,"AUSTIN COUNTY","Kindergarten","Male",196
"2016-2017",06,"AUSTIN COUNTY","Grade  1","Female",203
"2016-2017",06,"AUSTIN COUNTY","Grade  1","Male",223
"2016-2017",06,"AUSTIN COUNTY","Grade  2","Female",226
"2016-2017",06,"AUSTIN COUNTY","Grade  2","Male",197
"2016-2017",06,"AUSTIN COUNTY","Grade  3","Female",220
"2016-2017",06,"AUSTIN COUNTY","Grade  3","Male",239
"2016-2017",06,"AUSTIN COUNTY","Grade  4","Female",218
"2016-2017",06,"AUSTIN COUNTY","Grade  4","Male",212
"2016-2017",06,"AUSTIN COUNTY","Grade  5","Female",183
"2016-2017",06,"AUSTIN COUNTY","Grade  5","Male",222
"2016-2017",06,"AUSTIN COUNTY","Grade  6","Female",171
"2016-2017",06,"AUSTIN COUNTY","Grade  6","Male",253
"2016-2017",06,"AUSTIN COUNTY","Grade  7","Female",234
"2016-2017",06,"AUSTIN COUNTY","Grade  7","Male",211
"2016-2017",06,"AUSTIN COUNTY","Grade  8","Female",227
"2016-2017",06,"AUSTIN COUNTY","Grade  8","Male",245
"2016-2017",06,"AUSTIN COUNTY","Grade  9","Female",240
"2016-2017",06,"AUSTIN COUNTY","Grade  9","Male",259
"2016-2017",06,"AUSTIN COUNTY","Grade 10","Female",228
"2016-2017",06,"AUSTIN COUNTY","Grade 10","Male",227
"2016-2017",06,"AUSTIN COUNTY","Grade 11","Female",232
"2016-2017",06,"AUSTIN COUNTY","Grade 11","Male",235
"2016-2017",06,"AUSTIN COUNTY","Grade 12","Female",188
"2016-2017",06,"AUSTIN COUNTY","Grade 12","Male",212
"2016-2017",17,"BAILEY COUNTY","Early Education","Female",-9999999
"2016-2017",17,"BAILEY COUNTY","Early Education","Male",6
"2016-2017",17,"BAILEY COUNTY","Pre-kindergarten","Female",28
"2016-2017",17,"BAILEY COUNTY","Pre-kindergarten","Male",38
"2016-2017",17,"BAILEY COUNTY","Kindergarten","Female",65
"2016-2017",17,"BAILEY COUNTY","Kindergarten","Male",48
"2016-2017",17,"BAILEY COUNTY","Grade  1","Female",57
"2016-2017",17,"BAILEY COUNTY","Grade  1","Male",56
"2016-2017",17,"BAILEY COUNTY","Grade  2","Female",55
"2016-2017",17,"BAILEY COUNTY","Grade  2","Male",63
"2016-2017",17,"BAILEY COUNTY","Grade  3","Female",44
"2016-2017",17,"BAILEY COUNTY","Grade  3","Male",70
"2016-2017",17,"BAILEY COUNTY","Grade  4","Female",55
"2016-2017",17,"BAILEY COUNTY","Grade  4","Male",64
"2016-2017",17,"BAILEY COUNTY","Grade  5","Female",51
"2016-2017",17,"BAILEY COUNTY","Grade  5","Male",65
"2016-2017",17,"BAILEY COUNTY","Grade  6","Female",60
"2016-2017",17,"BAILEY COUNTY","Grade  6","Male",52
"2016-2017",17,"BAILEY COUNTY","Grade  7","Female",60
"2016-2017",17,"BAILEY COUNTY","Grade  7","Male",43
"2016-2017",17,"BAILEY COUNTY","Grade  8","Female",45
"2016-2017",17,"BAILEY COUNTY","Grade  8","Male",49
"2016-2017",17,"BAILEY COUNTY","Grade  9","Female",42
"2016-2017",17,"BAILEY COUNTY","Grade  9","Male",52
"2016-2017",17,"BAILEY COUNTY","Grade 10","Female",53
"2016-2017",17,"BAILEY COUNTY","Grade 10","Male",53
"2016-2017",17,"BAILEY COUNTY","Grade 11","Female",47
"2016-2017",17,"BAILEY COUNTY","Grade 11","Male",44
"2016-2017",17,"BAILEY COUNTY","Grade 12","Female",45
"2016-2017",17,"BAILEY COUNTY","Grade 12","Male",39
"2016-2017",20,"BANDERA COUNTY","Early Education","Female",5
"2016-2017",20,"BANDERA COUNTY","Early Education","Male",10
"2016-2017",20,"BANDERA COUNTY","Pre-kindergarten","Female",60
"2016-2017",20,"BANDERA COUNTY","Pre-kindergarten","Male",50
"2016-2017",20,"BANDERA COUNTY","Kindergarten","Female",85
"2016-2017",20,"BANDERA COUNTY","Kindergarten","Male",84
"2016-2017",20,"BANDERA COUNTY","Grade  1","Female",82
"2016-2017",20,"BANDERA COUNTY","Grade  1","Male",83
"2016-2017",20,"BANDERA COUNTY","Grade  2","Female",97
"2016-2017",20,"BANDERA COUNTY","Grade  2","Male",97
"2016-2017",20,"BANDERA COUNTY","Grade  3","Female",100
"2016-2017",20,"BANDERA COUNTY","Grade  3","Male",102
"2016-2017",20,"BANDERA COUNTY","Grade  4","Female",93
"2016-2017",20,"BANDERA COUNTY","Grade  4","Male",92
"2016-2017",20,"BANDERA COUNTY","Grade  5","Female",96
"2016-2017",20,"BANDERA COUNTY","Grade  5","Male",86
"2016-2017",20,"BANDERA COUNTY","Grade  6","Female",99
"2016-2017",20,"BANDERA COUNTY","Grade  6","Male",96
"2016-2017",20,"BANDERA COUNTY","Grade  7","Female",93
"2016-2017",20,"BANDERA COUNTY","Grade  7","Male",95
"2016-2017",20,"BANDERA COUNTY","Grade  8","Female",72
"2016-2017",20,"BANDERA COUNTY","Grade  8","Male",116
"2016-2017",20,"BANDERA COUNTY","Grade  9","Female",100
"2016-2017",20,"BANDERA COUNTY","Grade  9","Male",100
"2016-2017",20,"BANDERA COUNTY","Grade 10","Female",107
"2016-2017",20,"BANDERA COUNTY","Grade 10","Male",105
"2016-2017",20,"BANDERA COUNTY","Grade 11","Female",92
"2016-2017",20,"BANDERA COUNTY","Grade 11","Male",97
"2016-2017",20,"BANDERA COUNTY","Grade 12","Female",73
"2016-2017",20,"BANDERA COUNTY","Grade 12","Male",82
"2016-2017",13,"BASTROP COUNTY","Early Education","Female",15
"2016-2017",13,"BASTROP COUNTY","Early Education","Male",49
"2016-2017",13,"BASTROP COUNTY","Pre-kindergarten","Female",353
"2016-2017",13,"BASTROP COUNTY","Pre-kindergarten","Male",331
"2016-2017",13,"BASTROP COUNTY","Kindergarten","Female",550
"2016-2017",13,"BASTROP COUNTY","Kindergarten","Male",592
"2016-2017",13,"BASTROP COUNTY","Grade  1","Female",541
"2016-2017",13,"BASTROP COUNTY","Grade  1","Male",618
"2016-2017",13,"BASTROP COUNTY","Grade  2","Female",624
"2016-2017",13,"BASTROP COUNTY","Grade  2","Male",647
"2016-2017",13,"BASTROP COUNTY","Grade  3","Female",639
"2016-2017",13,"BASTROP COUNTY","Grade  3","Male",625
"2016-2017",13,"BASTROP COUNTY","Grade  4","Female",653
"2016-2017",13,"BASTROP COUNTY","Grade  4","Male",687
"2016-2017",13,"BASTROP COUNTY","Grade  5","Female",630
"2016-2017",13,"BASTROP COUNTY","Grade  5","Male",693
"2016-2017",13,"BASTROP COUNTY","Grade  6","Female",569
"2016-2017",13,"BASTROP COUNTY","Grade  6","Male",679
"2016-2017",13,"BASTROP COUNTY","Grade  7","Female",649
"2016-2017",13,"BASTROP COUNTY","Grade  7","Male",621
"2016-2017",13,"BASTROP COUNTY","Grade  8","Female",621
"2016-2017",13,"BASTROP COUNTY","Grade  8","Male",648
"2016-2017",13,"BASTROP COUNTY","Grade  9","Female",664
"2016-2017",13,"BASTROP COUNTY","Grade  9","Male",784
"2016-2017",13,"BASTROP COUNTY","Grade 10","Female",614
"2016-2017",13,"BASTROP COUNTY","Grade 10","Male",666
"2016-2017",13,"BASTROP COUNTY","Grade 11","Female",572
"2016-2017",13,"BASTROP COUNTY","Grade 11","Male",609
"2016-2017",13,"BASTROP COUNTY","Grade 12","Female",488
"2016-2017",13,"BASTROP COUNTY","Grade 12","Male",529
"2016-2017",09,"BAYLOR COUNTY","Early Education","Female",-9999999
"2016-2017",09,"BAYLOR COUNTY","Early Education","Male",-9999999
"2016-2017",09,"BAYLOR COUNTY","Pre-kindergarten","Female",14
"2016-2017",09,"BAYLOR COUNTY","Pre-kindergarten","Male",11
"2016-2017",09,"BAYLOR COUNTY","Kindergarten","Female",19
"2016-2017",09,"BAYLOR COUNTY","Kindergarten","Male",18
"2016-2017",09,"BAYLOR COUNTY","Grade  1","Female",22
"2016-2017",09,"BAYLOR COUNTY","Grade  1","Male",33
"2016-2017",09,"BAYLOR COUNTY","Grade  2","Female",24
"2016-2017",09,"BAYLOR COUNTY","Grade  2","Male",20
"2016-2017",09,"BAYLOR COUNTY","Grade  3","Female",21
"2016-2017",09,"BAYLOR COUNTY","Grade  3","Male",17
"2016-2017",09,"BAYLOR COUNTY","Grade  4","Female",15
"2016-2017",09,"BAYLOR COUNTY","Grade  4","Male",19
"2016-2017",09,"BAYLOR COUNTY","Grade  5","Female",16
"2016-2017",09,"BAYLOR COUNTY","Grade  5","Male",32
"2016-2017",09,"BAYLOR COUNTY","Grade  6","Female",18
"2016-2017",09,"BAYLOR COUNTY","Grade  6","Male",34
"2016-2017",09,"BAYLOR COUNTY","Grade  7","Female",25
"2016-2017",09,"BAYLOR COUNTY","Grade  7","Male",17
"2016-2017",09,"BAYLOR COUNTY","Grade  8","Female",24
"2016-2017",09,"BAYLOR COUNTY","Grade  8","Male",23
"2016-2017",09,"BAYLOR COUNTY","Grade  9","Female",15
"2016-2017",09,"BAYLOR COUNTY","Grade  9","Male",23
"2016-2017",09,"BAYLOR COUNTY","Grade 10","Female",18
"2016-2017",09,"BAYLOR COUNTY","Grade 10","Male",27
"2016-2017",09,"BAYLOR COUNTY","Grade 11","Female",16
"2016-2017",09,"BAYLOR COUNTY","Grade 11","Male",21
"2016-2017",09,"BAYLOR COUNTY","Grade 12","Female",29
"2016-2017",09,"BAYLOR COUNTY","Grade 12","Male",19
"2016-2017",02,"BEE COUNTY","Early Education","Female",10
"2016-2017",02,"BEE COUNTY","Early Education","Male",22
"2016-2017",02,"BEE COUNTY","Pre-kindergarten","Female",207
"2016-2017",02,"BEE COUNTY","Pre-kindergarten","Male",170
"2016-2017",02,"BEE COUNTY","Kindergarten","Female",188
"2016-2017",02,"BEE COUNTY","Kindergarten","Male",169
"2016-2017",02,"BEE COUNTY","Grade  1","Female",186
"2016-2017",02,"BEE COUNTY","Grade  1","Male",207
"2016-2017",02,"BEE COUNTY","Grade  2","Female",214
"2016-2017",02,"BEE COUNTY","Grade  2","Male",185
"2016-2017",02,"BEE COUNTY","Grade  3","Female",221
"2016-2017",02,"BEE COUNTY","Grade  3","Male",210
"2016-2017",02,"BEE COUNTY","Grade  4","Female",182
"2016-2017",02,"BEE COUNTY","Grade  4","Male",217
"2016-2017",02,"BEE COUNTY","Grade  5","Female",194
"2016-2017",02,"BEE COUNTY","Grade  5","Male",203
"2016-2017",02,"BEE COUNTY","Grade  6","Female",201
"2016-2017",02,"BEE COUNTY","Grade  6","Male",200
"2016-2017",02,"BEE COUNTY","Grade  7","Female",185
"2016-2017",02,"BEE COUNTY","Grade  7","Male",176
"2016-2017",02,"BEE COUNTY","Grade  8","Female",206
"2016-2017",02,"BEE COUNTY","Grade  8","Male",167
"2016-2017",02,"BEE COUNTY","Grade  9","Female",175
"2016-2017",02,"BEE COUNTY","Grade  9","Male",241
"2016-2017",02,"BEE COUNTY","Grade 10","Female",192
"2016-2017",02,"BEE COUNTY","Grade 10","Male",213
"2016-2017",02,"BEE COUNTY","Grade 11","Female",160
"2016-2017",02,"BEE COUNTY","Grade 11","Male",165
"2016-2017",02,"BEE COUNTY","Grade 12","Female",159
"2016-2017",02,"BEE COUNTY","Grade 12","Male",153
"2016-2017",12,"BELL COUNTY/12","Early Education","Female",85
"2016-2017",12,"BELL COUNTY/12","Early Education","Male",164
"2016-2017",12,"BELL COUNTY/12","Pre-kindergarten","Female",2239
"2016-2017",12,"BELL COUNTY/12","Pre-kindergarten","Male",2217
"2016-2017",12,"BELL COUNTY/12","Kindergarten","Female",2707
"2016-2017",12,"BELL COUNTY/12","Kindergarten","Male",2823
"2016-2017",12,"BELL COUNTY/12","Grade  1","Female",2848
"2016-2017",12,"BELL COUNTY/12","Grade  1","Male",2975
"2016-2017",12,"BELL COUNTY/12","Grade  2","Female",2839
"2016-2017",12,"BELL COUNTY/12","Grade  2","Male",2936
"2016-2017",12,"BELL COUNTY/12","Grade  3","Female",2782
"2016-2017",12,"BELL COUNTY/12","Grade  3","Male",2970
"2016-2017",12,"BELL COUNTY/12","Grade  4","Female",2708
"2016-2017",12,"BELL COUNTY/12","Grade  4","Male",2921
"2016-2017",12,"BELL COUNTY/12","Grade  5","Female",2579
"2016-2017",12,"BELL COUNTY/12","Grade  5","Male",2800
"2016-2017",12,"BELL COUNTY/12","Grade  6","Female",2456
"2016-2017",12,"BELL COUNTY/12","Grade  6","Male",2679
"2016-2017",12,"BELL COUNTY/12","Grade  7","Female",2422
"2016-2017",12,"BELL COUNTY/12","Grade  7","Male",2486
"2016-2017",12,"BELL COUNTY/12","Grade  8","Female",2466
"2016-2017",12,"BELL COUNTY/12","Grade  8","Male",2584
"2016-2017",12,"BELL COUNTY/12","Grade  9","Female",2642
"2016-2017",12,"BELL COUNTY/12","Grade  9","Male",2901
"2016-2017",12,"BELL COUNTY/12","Grade 10","Female",2343
"2016-2017",12,"BELL COUNTY/12","Grade 10","Male",2412
"2016-2017",12,"BELL COUNTY/12","Grade 11","Female",2156
"2016-2017",12,"BELL COUNTY/12","Grade 11","Male",2111
"2016-2017",12,"BELL COUNTY/12","Grade 12","Female",1969
"2016-2017",12,"BELL COUNTY/12","Grade 12","Male",1939
"2016-2017",13,"BELL COUNTY/13","Pre-kindergarten","Female",14
"2016-2017",13,"BELL COUNTY/13","Pre-kindergarten","Male",13
"2016-2017",13,"BELL COUNTY/13","Kindergarten","Female",10
