T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CAMPUS","CAMPUS NAME","GENDER","GRADE GROUP NAME","ENROLLMENT"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901153,"BASSETTI EL","Male","ELEMENTARY",247
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901103,"BONHAM EL","Female","ELEMENTARY",262
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901103,"BONHAM EL","Male","ELEMENTARY",253
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901104,"BOWIE EL","Female","ELEMENTARY",272
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901104,"BOWIE EL","Male","ELEMENTARY",267
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901047,"CLACK MIDDLE","Female","MIDDLE SCHOOL",381
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901047,"CLACK MIDDLE","Male","MIDDLE SCHOOL",484
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901002,"COOPER H S","Female","HIGH SCHOOL",926
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901002,"COOPER H S","Male","HIGH SCHOOL",929
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901048,"CRAIG MIDDLE","Female","MIDDLE SCHOOL",467
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901048,"CRAIG MIDDLE","Male","MIDDLE SCHOOL",496
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901107,"CROCKETT EARLY HEADSTART","Female","ELEMENTARY",72
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901107,"CROCKETT EARLY HEADSTART","Male","ELEMENTARY",59
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901006,"DAEP","Female","ELEMENTARY / SECONDARY",19
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901006,"DAEP","Male","ELEMENTARY / SECONDARY",31
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901208,"DAY NURSERY OF ABILENE","Female","ELEMENTARY",31
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901208,"DAY NURSERY OF ABILENE","Male","ELEMENTARY",23
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901108,"DYESS EL","Female","ELEMENTARY",251
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901108,"DYESS EL","Male","ELEMENTARY",269
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901112,"JACKSON EL","Female","ELEMENTARY",281
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901112,"JACKSON EL","Male","ELEMENTARY",255
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901113,"JOHNSTON EL","Female","ELEMENTARY",349
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901113,"JOHNSTON EL","Male","ELEMENTARY",349
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901008,"JUVENILE DETENTION CENTER","Female","HIGH SCHOOL","<10"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901008,"JUVENILE DETENTION CENTER","Male","HIGH SCHOOL","<10"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901116,"LEE EL","Female","ELEMENTARY",208
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901116,"LEE EL","Male","ELEMENTARY",241
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901156,"LONG EARLY LEARNING CENTER","Female","ELEMENTARY",385
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901156,"LONG EARLY LEARNING CENTER","Male","ELEMENTARY",427
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901044,"MADISON MIDDLE","Female","MIDDLE SCHOOL",421
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901044,"MADISON MIDDLE","Male","MIDDLE SCHOOL",486
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901045,"MANN MIDDLE","Female","MIDDLE SCHOOL",432
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901045,"MANN MIDDLE","Male","MIDDLE SCHOOL",499
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901155,"MARTINEZ EL","Female","ELEMENTARY",246
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901155,"MARTINEZ EL","Male","ELEMENTARY",270
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901142,"OCEANS BEHAVIORAL HEALTH","Female","HIGH SCHOOL","<10"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901152,"ORTIZ EL","Female","ELEMENTARY",309
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901152,"ORTIZ EL","Male","ELEMENTARY",280
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901120,"REAGAN EL","Female","ELEMENTARY",177
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901120,"REAGAN EL","Male","ELEMENTARY",175
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901007,"TAYLOR COUNTY LEARNING CENTER","Female","ELEMENTARY / SECONDARY","<10"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901007,"TAYLOR COUNTY LEARNING CENTER","Male","ELEMENTARY / SECONDARY","<10"
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901121,"TAYLOR EL","Female","ELEMENTARY",303
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901121,"TAYLOR EL","Male","ELEMENTARY",297
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901151,"THOMAS EL","Female","ELEMENTARY",202
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901151,"THOMAS EL","Male","ELEMENTARY",201
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901150,"WARD EL","Female","ELEMENTARY",277
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901150,"WARD EL","Male","ELEMENTARY",295
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901003,"WOODSON CENTER FOR EXCELLENCE","Female","HIGH SCHOOL",89
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD",221901003,"WOODSON CENTER FOR EXCELLENCE","Male","HIGH SCHOOL",92
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814001,"DALLAS COUNTY JUVENILE JUSTICE","Female","ELEMENTARY / SECONDARY","<40"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814001,"DALLAS COUNTY JUVENILE JUSTICE","Male","ELEMENTARY / SECONDARY","<240"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814002,"DRC CAMPUS","Female","HIGH SCHOOL","<10"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814002,"DRC CAMPUS","Male","HIGH SCHOOL","<50"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814005,"LETOT CAMPUS","Female","HIGH SCHOOL","<50"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814005,"LETOT CAMPUS","Male","HIGH SCHOOL","<10"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",057814003,"MEDLOCK YOUTH VILLAGE","Male","ELEMENTARY / SECONDARY",123
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901102,"ACADEMY EL","Female","ELEMENTARY",229
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901102,"ACADEMY EL","Male","ELEMENTARY",235
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901001,"ACADEMY H S","Female","HIGH SCHOOL",210
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901001,"ACADEMY H S","Male","HIGH SCHOOL",245
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901101,"ACADEMY INT","Female","ELEMENTARY",190
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901101,"ACADEMY INT","Male","ELEMENTARY",206
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901041,"ACADEMY J H","Female","MIDDLE SCHOOL",196
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD",014901041,"ACADEMY J H","Male","MIDDLE SCHOOL",212
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN",101810002,"ACADEMY OF ACCELERATED LEARNING","Female","ELEMENTARY",402
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN",101810002,"ACADEMY OF ACCELERATED LEARNING","Male","ELEMENTARY",385
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS",057810101,"ACADEMY OF DALLAS","Female","ELEMENTARY",242
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS",057810101,"ACADEMY OF DALLAS","Male","ELEMENTARY",238
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY",101849101,"ACCELERATED INTERDISCIPLINARY ACAD","Female","ELEMENTARY",146
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY",101849101,"ACCELERATED INTERDISCIPLINARY ACAD","Male","ELEMENTARY",103
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD",180903001,"ADRIAN SCHOOL","Female","ELEMENTARY / SECONDARY",76
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD",180903001,"ADRIAN SCHOOL","Male","ELEMENTARY / SECONDARY",52
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY",057806101,"ADVANTAGE ACADEMY","Female","ELEMENTARY / SECONDARY",684
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY",057806101,"ADVANTAGE ACADEMY","Male","ELEMENTARY / SECONDARY",712
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD",178901101,"AGUA DULCE EL","Female","ELEMENTARY",85
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD",178901101,"AGUA DULCE EL","Male","ELEMENTARY",79
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD",178901001,"AGUA DULCE H S","Female","ELEMENTARY / SECONDARY",106
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD",178901001,"AGUA DULCE H S","Male","ELEMENTARY / SECONDARY",115
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901001,"ALAMO HEIGHTS H S","Female","HIGH SCHOOL",808
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901001,"ALAMO HEIGHTS H S","Male","HIGH SCHOOL",856
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901041,"ALAMO HEIGHTS J H","Female","MIDDLE SCHOOL",535
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901041,"ALAMO HEIGHTS J H","Male","MIDDLE SCHOOL",576
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901002,"BEXAR CO J J A E P","Male","HIGH SCHOOL","<10"
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901101,"CAMBRIDGE EL","Female","ELEMENTARY",425
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901101,"CAMBRIDGE EL","Male","ELEMENTARY",401
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901102,"HOWARD EL","Female","ELEMENTARY","<220"
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901102,"HOWARD EL","Male","ELEMENTARY","<240"
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901104,"WOODRIDGE EL","Female","ELEMENTARY",427
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD",015901104,"WOODRIDGE EL","Male","ELEMENTARY",472
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906101,"ALBA-GOLDEN EL","Female","ELEMENTARY","<200"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906101,"ALBA-GOLDEN EL","Male","ELEMENTARY","<250"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906001,"ALBA-GOLDEN H S","Female","ELEMENTARY / SECONDARY","<210"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906001,"ALBA-GOLDEN H S","Male","ELEMENTARY / SECONDARY","<240"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906002,"ALTER SCHOOL","Female","HIGH SCHOOL","<10"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD",250906002,"ALTER SCHOOL","Male","HIGH SCHOOL","<10"
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD",209901001,"ALBANY JR-SR H S","Female","HIGH SCHOOL",119
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD",209901001,"ALBANY JR-SR H S","Male","HIGH SCHOOL",124
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD",209901101,"NANCY SMITH EL","Female","ELEMENTARY",135
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD",209901101,"NANCY SMITH EL","Male","ELEMENTARY",144
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902001,"ALDINE H S","Female","HIGH SCHOOL",1393
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902001,"ALDINE H S","Male","HIGH SCHOOL",1497
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902099,"ALDINE J J A E P","Male","JUNIOR HIGH SCHOOL","<10"
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902041,"ALDINE MIDDLE","Female","MIDDLE SCHOOL",459
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902041,"ALDINE MIDDLE","Male","MIDDLE SCHOOL",478
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902101,"ANDERSON ACADEMY","Female","ELEMENTARY",419
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902101,"ANDERSON ACADEMY","Male","ELEMENTARY",376
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902015,"AVALOS P-TECH SCHOOL","Female","HIGH SCHOOL",68
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902015,"AVALOS P-TECH SCHOOL","Male","HIGH SCHOOL",60
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902126,"BLACK EL","Female","ELEMENTARY",280
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902126,"BLACK EL","Male","ELEMENTARY",272
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902014,"BLANSON CTE H S","Female","HIGH SCHOOL",593
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902014,"BLANSON CTE H S","Male","HIGH SCHOOL",702
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902131,"BUSSEY EL","Female","ELEMENTARY",282
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902131,"BUSSEY EL","Male","ELEMENTARY",307
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902128,"CALVERT EL","Female","ELEMENTARY",209
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902128,"CALVERT EL","Male","ELEMENTARY",174
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902141,"CARAWAY EL","Female","ELEMENTARY",264
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902141,"CARAWAY EL","Male","ELEMENTARY",311
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902122,"CARMICHAEL EL","Female","ELEMENTARY",238
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902122,"CARMICHAEL EL","Male","ELEMENTARY",244
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902103,"CARROLL EL","Female","ELEMENTARY",414
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902103,"CARROLL EL","Male","ELEMENTARY",394
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902107,"CARTER ACADEMY","Female","ELEMENTARY",331
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902107,"CARTER ACADEMY","Male","ELEMENTARY",324
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902002,"CARVER H S FOR APPLIED TECH/ENGINE","Female","HIGH SCHOOL",418
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902002,"CARVER H S FOR APPLIED TECH/ENGINE","Male","HIGH SCHOOL",343
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902123,"CONLEY EL","Female","ELEMENTARY",247
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902123,"CONLEY EL","Male","ELEMENTARY",254
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902136,"CYPRESSWOOD EL","Female","ELEMENTARY",457
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902136,"CYPRESSWOOD EL","Male","ELEMENTARY",454
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902012,"DAVIS H S ALDINE","Female","HIGH SCHOOL",1632
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902012,"DAVIS H S ALDINE","Male","HIGH SCHOOL",1734
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902155,"DE SANTIAGO EC/PK/K","Female","ELEMENTARY",405
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902155,"DE SANTIAGO EC/PK/K","Male","ELEMENTARY",383
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902042,"DREW ACADEMY","Female","JUNIOR HIGH SCHOOL",325
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902042,"DREW ACADEMY","Male","JUNIOR HIGH SCHOOL",229
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902124,"DUNN EL","Female","ELEMENTARY",242
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902124,"DUNN EL","Male","ELEMENTARY",254
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902137,"ECKERT EL","Female","ELEMENTARY",346
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902137,"ECKERT EL","Male","ELEMENTARY",371
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902004,"EISENHOWER H S","Female","HIGH SCHOOL",1381
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902004,"EISENHOWER H S","Male","HIGH SCHOOL",1410
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902121,"ERMEL EL","Female","ELEMENTARY",237
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902121,"ERMEL EL","Male","ELEMENTARY",236
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902138,"ESCAMILLA EL","Female","ELEMENTARY",425
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902138,"ESCAMILLA EL","Male","ELEMENTARY",415
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902105,"FRANCIS EL","Female","ELEMENTARY",404
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902105,"FRANCIS EL","Male","ELEMENTARY",427
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902053,"GARCIA MIDDLE","Female","MIDDLE SCHOOL",602
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902053,"GARCIA MIDDLE","Male","MIDDLE SCHOOL",626
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902163,"GARCIA-LEZA EC/PK/K","Female","ELEMENTARY",435
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902163,"GARCIA-LEZA EC/PK/K","Male","ELEMENTARY",440
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902106,"GOODMAN EL","Female","ELEMENTARY",221
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902106,"GOODMAN EL","Male","ELEMENTARY",252
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902048,"GRANTHAM ACADEMY","Female","MIDDLE SCHOOL",549
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902048,"GRANTHAM ACADEMY","Male","MIDDLE SCHOOL",646
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902125,"GRAY EL","Female","ELEMENTARY",289
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902125,"GRAY EL","Male","ELEMENTARY",286
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902135,"GREENSPOINT EL","Female","ELEMENTARY",330
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902135,"GREENSPOINT EL","Male","ELEMENTARY",360
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902161,"GRIGGS EC/PK/K","Female","ELEMENTARY",437
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902161,"GRIGGS EC/PK/K","Male","ELEMENTARY",450
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902013,"HALL CENTER FOR EDUCATION","Female","HIGH SCHOOL",94
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902013,"HALL CENTER FOR EDUCATION","Male","HIGH SCHOOL",85
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902043,"HAMBRICK MIDDLE","Female","MIDDLE SCHOOL",597
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902043,"HAMBRICK MIDDLE","Male","MIDDLE SCHOOL",624
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902129,"HARRIS EL","Female","ELEMENTARY",277
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902129,"HARRIS EL","Male","ELEMENTARY",324
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902098,"HIGHPOINT","Male","ELEMENTARY / SECONDARY","<10"
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902144,"HILL EL","Female","ELEMENTARY",273
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD",101902144,"HILL EL","Male","ELEMENTARY",285
