T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","ENROLLMENT"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","Female","TRADITIONAL ISD/CSD",76
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","Male","TRADITIONAL ISD/CSD",52
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","Female","OPEN ENROLLMENT CHARTER",684
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","Male","OPEN ENROLLMENT CHARTER",712
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","Female","TRADITIONAL ISD/CSD",191
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","Male","TRADITIONAL ISD/CSD",194
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","Female","TRADITIONAL ISD/CSD",2406
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","Male","TRADITIONAL ISD/CSD",2538
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","Female","TRADITIONAL ISD/CSD",404
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","Male","TRADITIONAL ISD/CSD",477
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","Female","TRADITIONAL ISD/CSD",254
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","Male","TRADITIONAL ISD/CSD",268
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","Female","TRADITIONAL ISD/CSD",33010
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","Male","TRADITIONAL ISD/CSD",34249
"2019-2020",11,"PARKER COUNTY",184907,"ALEDO ISD","Female","TRADITIONAL ISD/CSD",3046
"2019-2020",11,"PARKER COUNTY",184907,"ALEDO ISD","Male","TRADITIONAL ISD/CSD",3391
"2019-2020",02,"JIM WELLS COUNTY",125901,"ALICE ISD","Female","TRADITIONAL ISD/CSD",2371
"2019-2020",02,"JIM WELLS COUNTY",125901,"ALICE ISD","Male","TRADITIONAL ISD/CSD",2499
"2019-2020",04,"HARRIS COUNTY",101903,"ALIEF ISD","Female","TRADITIONAL ISD/CSD",21599
"2019-2020",04,"HARRIS COUNTY",101903,"ALIEF ISD","Male","TRADITIONAL ISD/CSD",23701
"2019-2020",04,"HARRIS COUNTY",101815,"ALIEF MONTESSORI COMMUNITY SCHOOL","Female","OPEN ENROLLMENT CHARTER",170
"2019-2020",04,"HARRIS COUNTY",101815,"ALIEF MONTESSORI COMMUNITY SCHOOL","Male","OPEN ENROLLMENT CHARTER",177
"2019-2020",10,"COLLIN COUNTY",043901,"ALLEN ISD","Female","TRADITIONAL ISD/CSD",10729
"2019-2020",10,"COLLIN COUNTY",043901,"ALLEN ISD","Male","TRADITIONAL ISD/CSD",11151
"2019-2020",18,"BREWSTER COUNTY",022901,"ALPINE ISD","Female","TRADITIONAL ISD/CSD",480
"2019-2020",18,"BREWSTER COUNTY",022901,"ALPINE ISD","Male","TRADITIONAL ISD/CSD",545
"2019-2020",07,"CHEROKEE COUNTY",037901,"ALTO ISD","Female","TRADITIONAL ISD/CSD",306
"2019-2020",07,"CHEROKEE COUNTY",037901,"ALTO ISD","Male","TRADITIONAL ISD/CSD",325
"2019-2020",11,"JOHNSON COUNTY",126901,"ALVARADO ISD","Female","TRADITIONAL ISD/CSD",1743
"2019-2020",11,"JOHNSON COUNTY",126901,"ALVARADO ISD","Male","TRADITIONAL ISD/CSD",1920
"2019-2020",04,"BRAZORIA COUNTY",020901,"ALVIN ISD","Female","TRADITIONAL ISD/CSD",13107
"2019-2020",04,"BRAZORIA COUNTY",020901,"ALVIN ISD","Male","TRADITIONAL ISD/CSD",13915
"2019-2020",11,"WISE COUNTY",249901,"ALVORD ISD","Female","TRADITIONAL ISD/CSD",348
"2019-2020",11,"WISE COUNTY",249901,"ALVORD ISD","Male","TRADITIONAL ISD/CSD",390
"2019-2020",16,"POTTER COUNTY",188901,"AMARILLO ISD","Female","TRADITIONAL ISD/CSD",15878
"2019-2020",16,"POTTER COUNTY",188901,"AMARILLO ISD","Male","TRADITIONAL ISD/CSD",16558
"2019-2020",04,"GALVESTON COUNTY",084804,"AMBASSADORS PREPARATORY ACADEMY","Female","OPEN ENROLLMENT CHARTER",166
"2019-2020",04,"GALVESTON COUNTY",084804,"AMBASSADORS PREPARATORY ACADEMY","Male","OPEN ENROLLMENT CHARTER",115
"2019-2020",17,"LAMB COUNTY",140901,"AMHERST ISD","Female","TRADITIONAL ISD/CSD",60
"2019-2020",17,"LAMB COUNTY",140901,"AMHERST ISD","Male","TRADITIONAL ISD/CSD",71
"2019-2020",04,"HARRIS COUNTY",101819,"AMIGOS POR VIDA-FRIENDS FOR LIFE P","Female","OPEN ENROLLMENT CHARTER",257
"2019-2020",04,"HARRIS COUNTY",101819,"AMIGOS POR VIDA-FRIENDS FOR LIFE P","Male","OPEN ENROLLMENT CHARTER",251
"2019-2020",04,"CHAMBERS COUNTY",036901,"ANAHUAC ISD","Female","TRADITIONAL ISD/CSD",645
"2019-2020",04,"CHAMBERS COUNTY",036901,"ANAHUAC ISD","Male","TRADITIONAL ISD/CSD",698
"2019-2020",06,"GRIMES COUNTY",093901,"ANDERSON-SHIRO CISD","Female","TRADITIONAL ISD/CSD",440
"2019-2020",06,"GRIMES COUNTY",093901,"ANDERSON-SHIRO CISD","Male","TRADITIONAL ISD/CSD",448
"2019-2020",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","Female","TRADITIONAL ISD/CSD",2120
"2019-2020",18,"ANDREWS COUNTY",002901,"ANDREWS ISD","Male","TRADITIONAL ISD/CSD",2239
"2019-2020",04,"BRAZORIA COUNTY",020902,"ANGLETON ISD","Female","TRADITIONAL ISD/CSD",3308
"2019-2020",04,"BRAZORIA COUNTY",020902,"ANGLETON ISD","Male","TRADITIONAL ISD/CSD",3553
"2019-2020",10,"COLLIN COUNTY",043902,"ANNA ISD","Female","TRADITIONAL ISD/CSD",1820
"2019-2020",10,"COLLIN COUNTY",043902,"ANNA ISD","Male","TRADITIONAL ISD/CSD",2008
"2019-2020",14,"JONES COUNTY",127901,"ANSON ISD","Female","TRADITIONAL ISD/CSD",345
"2019-2020",14,"JONES COUNTY",127901,"ANSON ISD","Male","TRADITIONAL ISD/CSD",381
"2019-2020",19,"EL PASO COUNTY",071906,"ANTHONY ISD","Female","TRADITIONAL ISD/CSD",403
"2019-2020",19,"EL PASO COUNTY",071906,"ANTHONY ISD","Male","TRADITIONAL ISD/CSD",440
"2019-2020",17,"HOCKLEY COUNTY",110901,"ANTON ISD","Female","TRADITIONAL ISD/CSD",107
"2019-2020",17,"HOCKLEY COUNTY",110901,"ANTON ISD","Male","TRADITIONAL ISD/CSD",93
"2019-2020",06,"TRINITY COUNTY",228905,"APPLE SPRINGS ISD","Female","TRADITIONAL ISD/CSD",98
"2019-2020",06,"TRINITY COUNTY",228905,"APPLE SPRINGS ISD","Male","TRADITIONAL ISD/CSD",100
"2019-2020",12,"HILL COUNTY",109912,"AQUILLA ISD","Female","TRADITIONAL ISD/CSD",166
"2019-2020",12,"HILL COUNTY",109912,"AQUILLA ISD","Male","TRADITIONAL ISD/CSD",171
"2019-2020",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD","Female","TRADITIONAL ISD/CSD",1449
"2019-2020",02,"ARANSAS COUNTY",004901,"ARANSAS COUNTY ISD","Male","TRADITIONAL ISD/CSD",1517
"2019-2020",02,"SAN PATRICIO COUNTY",205901,"ARANSAS PASS ISD","Female","TRADITIONAL ISD/CSD",794
"2019-2020",02,"SAN PATRICIO COUNTY",205901,"ARANSAS PASS ISD","Male","TRADITIONAL ISD/CSD",826
"2019-2020",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD","Female","TRADITIONAL ISD/CSD",241
"2019-2020",09,"ARCHER COUNTY",005901,"ARCHER CITY ISD","Male","TRADITIONAL ISD/CSD",262
"2019-2020",11,"DENTON COUNTY",061910,"ARGYLE ISD","Female","TRADITIONAL ISD/CSD",1642
"2019-2020",11,"DENTON COUNTY",061910,"ARGYLE ISD","Male","TRADITIONAL ISD/CSD",1841
"2019-2020",04,"HARRIS COUNTY",101803,"ARISTOI CLASSICAL ACADEMY","Female","OPEN ENROLLMENT CHARTER",490
"2019-2020",04,"HARRIS COUNTY",101803,"ARISTOI CLASSICAL ACADEMY","Male","OPEN ENROLLMENT CHARTER",466
"2019-2020",11,"TARRANT COUNTY",220802,"ARLINGTON CLASSICS ACADEMY","Female","OPEN ENROLLMENT CHARTER",807
"2019-2020",11,"TARRANT COUNTY",220802,"ARLINGTON CLASSICS ACADEMY","Male","OPEN ENROLLMENT CHARTER",754
"2019-2020",11,"TARRANT COUNTY",220901,"ARLINGTON ISD","Female","TRADITIONAL ISD/CSD",28780
"2019-2020",11,"TARRANT COUNTY",220901,"ARLINGTON ISD","Male","TRADITIONAL ISD/CSD",30752
"2019-2020",07,"SMITH COUNTY",212901,"ARP ISD","Female","TRADITIONAL ISD/CSD",424
"2019-2020",07,"SMITH COUNTY",212901,"ARP ISD","Male","TRADITIONAL ISD/CSD",465
"2019-2020",06,"BRAZOS COUNTY",021805,"ARROW ACADEMY","Female","OPEN ENROLLMENT CHARTER",384
"2019-2020",06,"BRAZOS COUNTY",021805,"ARROW ACADEMY","Male","OPEN ENROLLMENT CHARTER",400
"2019-2020",14,"STONEWALL COUNTY",217901,"ASPERMONT ISD","Female","TRADITIONAL ISD/CSD",112
"2019-2020",14,"STONEWALL COUNTY",217901,"ASPERMONT ISD","Male","TRADITIONAL ISD/CSD",108
"2019-2020",10,"HENDERSON COUNTY",107901,"ATHENS ISD","Female","TRADITIONAL ISD/CSD",1476
"2019-2020",10,"HENDERSON COUNTY",107901,"ATHENS ISD","Male","TRADITIONAL ISD/CSD",1660
"2019-2020",08,"CASS COUNTY",034901,"ATLANTA ISD","Female","TRADITIONAL ISD/CSD",875
"2019-2020",08,"CASS COUNTY",034901,"ATLANTA ISD","Male","TRADITIONAL ISD/CSD",953
"2019-2020",11,"DENTON COUNTY",061907,"AUBREY ISD","Female","TRADITIONAL ISD/CSD",1274
"2019-2020",11,"DENTON COUNTY",061907,"AUBREY ISD","Male","TRADITIONAL ISD/CSD",1319
"2019-2020",13,"TRAVIS COUNTY",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS","Female","OPEN ENROLLMENT CHARTER",929
"2019-2020",13,"TRAVIS COUNTY",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS","Male","OPEN ENROLLMENT CHARTER",940
"2019-2020",13,"TRAVIS COUNTY",227821,"AUSTIN DISCOVERY SCHOOL","Female","OPEN ENROLLMENT CHARTER",211
"2019-2020",13,"TRAVIS COUNTY",227821,"AUSTIN DISCOVERY SCHOOL","Male","OPEN ENROLLMENT CHARTER",240
"2019-2020",13,"TRAVIS COUNTY",227901,"AUSTIN ISD","Female","TRADITIONAL ISD/CSD",39462
"2019-2020",13,"TRAVIS COUNTY",227901,"AUSTIN ISD","Male","TRADITIONAL ISD/CSD",41449
"2019-2020",03,"REFUGIO COUNTY",196901,"AUSTWELL-TIVOLI ISD","Female","TRADITIONAL ISD/CSD",76
"2019-2020",03,"REFUGIO COUNTY",196901,"AUSTWELL-TIVOLI ISD","Male","TRADITIONAL ISD/CSD",62
"2019-2020",10,"ELLIS COUNTY",070901,"AVALON ISD","Female","TRADITIONAL ISD/CSD",195
"2019-2020",10,"ELLIS COUNTY",070901,"AVALON ISD","Male","TRADITIONAL ISD/CSD",164
"2019-2020",08,"RED RIVER COUNTY",194902,"AVERY ISD","Female","TRADITIONAL ISD/CSD",172
"2019-2020",08,"RED RIVER COUNTY",194902,"AVERY ISD","Male","TRADITIONAL ISD/CSD",152
"2019-2020",08,"CASS COUNTY",034902,"AVINGER ISD","Female","TRADITIONAL ISD/CSD",65
"2019-2020",08,"CASS COUNTY",034902,"AVINGER ISD","Male","TRADITIONAL ISD/CSD",79
"2019-2020",12,"MCLENNAN COUNTY",161918,"AXTELL ISD","Female","TRADITIONAL ISD/CSD",377
"2019-2020",12,"MCLENNAN COUNTY",161918,"AXTELL ISD","Male","TRADITIONAL ISD/CSD",414
"2019-2020",11,"TARRANT COUNTY",220915,"AZLE ISD","Female","TRADITIONAL ISD/CSD",3245
"2019-2020",11,"TARRANT COUNTY",220915,"AZLE ISD","Male","TRADITIONAL ISD/CSD",3570
"2019-2020",14,"CALLAHAN COUNTY",030903,"BAIRD ISD","Female","TRADITIONAL ISD/CSD",116
"2019-2020",14,"CALLAHAN COUNTY",030903,"BAIRD ISD","Male","TRADITIONAL ISD/CSD",163
"2019-2020",15,"RUNNELS COUNTY",200901,"BALLINGER ISD","Female","TRADITIONAL ISD/CSD",429
"2019-2020",15,"RUNNELS COUNTY",200901,"BALLINGER ISD","Male","TRADITIONAL ISD/CSD",477
"2019-2020",18,"REEVES COUNTY",195902,"BALMORHEA ISD","Female","TRADITIONAL ISD/CSD",69
"2019-2020",18,"REEVES COUNTY",195902,"BALMORHEA ISD","Male","TRADITIONAL ISD/CSD",90
"2019-2020",20,"BANDERA COUNTY",010902,"BANDERA ISD","Female","TRADITIONAL ISD/CSD",1088
"2019-2020",20,"BANDERA COUNTY",010902,"BANDERA ISD","Male","TRADITIONAL ISD/CSD",1203
"2019-2020",15,"BROWN COUNTY",025901,"BANGS ISD","Female","TRADITIONAL ISD/CSD",406
"2019-2020",15,"BROWN COUNTY",025901,"BANGS ISD","Male","TRADITIONAL ISD/CSD",447
"2019-2020",02,"NUECES COUNTY",178913,"BANQUETE ISD","Female","TRADITIONAL ISD/CSD",451
"2019-2020",02,"NUECES COUNTY",178913,"BANQUETE ISD","Male","TRADITIONAL ISD/CSD",442
"2019-2020",04,"CHAMBERS COUNTY",036902,"BARBERS HILL ISD","Female","TRADITIONAL ISD/CSD",3026
"2019-2020",04,"CHAMBERS COUNTY",036902,"BARBERS HILL ISD","Male","TRADITIONAL ISD/CSD",3232
"2019-2020",13,"BELL COUNTY",014902,"BARTLETT ISD","Female","TRADITIONAL ISD/CSD",179
"2019-2020",13,"BELL COUNTY",014902,"BARTLETT ISD","Male","TRADITIONAL ISD/CSD",198
"2019-2020",20,"BEXAR COUNTY",015834,"BASIS TEXAS","Female","OPEN ENROLLMENT CHARTER",1220
"2019-2020",20,"BEXAR COUNTY",015834,"BASIS TEXAS","Male","OPEN ENROLLMENT CHARTER",1359
"2019-2020",13,"BASTROP COUNTY",011901,"BASTROP ISD","Female","TRADITIONAL ISD/CSD",5514
"2019-2020",13,"BASTROP COUNTY",011901,"BASTROP ISD","Male","TRADITIONAL ISD/CSD",5920
"2019-2020",03,"MATAGORDA COUNTY",158901,"BAY CITY ISD","Female","TRADITIONAL ISD/CSD",1767
"2019-2020",03,"MATAGORDA COUNTY",158901,"BAY CITY ISD","Male","TRADITIONAL ISD/CSD",1932
"2019-2020",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","Female","OPEN ENROLLMENT CHARTER",267
"2019-2020",04,"HARRIS COUNTY",101847,"BEATRICE MAYES INSTITUTE CHARTER S","Male","OPEN ENROLLMENT CHARTER",205
"2019-2020",05,"JEFFERSON COUNTY",123910,"BEAUMONT ISD","Female","TRADITIONAL ISD/CSD",8991
"2019-2020",05,"JEFFERSON COUNTY",123910,"BEAUMONT ISD","Male","TRADITIONAL ISD/CSD",9171
"2019-2020",07,"PANOLA COUNTY",183901,"BECKVILLE ISD","Female","TRADITIONAL ISD/CSD",339
"2019-2020",07,"PANOLA COUNTY",183901,"BECKVILLE ISD","Male","TRADITIONAL ISD/CSD",346
"2019-2020",02,"BEE COUNTY",013901,"BEEVILLE ISD","Female","TRADITIONAL ISD/CSD",1561
"2019-2020",02,"BEE COUNTY",013901,"BEEVILLE ISD","Male","TRADITIONAL ISD/CSD",1692
"2019-2020",09,"CLAY COUNTY",039904,"BELLEVUE ISD","Female","TRADITIONAL ISD/CSD",64
"2019-2020",09,"CLAY COUNTY",039904,"BELLEVUE ISD","Male","TRADITIONAL ISD/CSD",77
"2019-2020",10,"GRAYSON COUNTY",091901,"BELLS ISD","Female","TRADITIONAL ISD/CSD",430
"2019-2020",10,"GRAYSON COUNTY",091901,"BELLS ISD","Male","TRADITIONAL ISD/CSD",455
"2019-2020",06,"AUSTIN COUNTY",008901,"BELLVILLE ISD","Female","TRADITIONAL ISD/CSD",1106
"2019-2020",06,"AUSTIN COUNTY",008901,"BELLVILLE ISD","Male","TRADITIONAL ISD/CSD",1101
"2019-2020",12,"BELL COUNTY",014903,"BELTON ISD","Female","TRADITIONAL ISD/CSD",6015
"2019-2020",12,"BELL COUNTY",014903,"BELTON ISD","Male","TRADITIONAL ISD/CSD",6171
"2019-2020",02,"JIM WELLS COUNTY",125902,"BEN BOLT-PALITO BLANCO ISD","Female","TRADITIONAL ISD/CSD",252
"2019-2020",02,"JIM WELLS COUNTY",125902,"BEN BOLT-PALITO BLANCO ISD","Male","TRADITIONAL ISD/CSD",269
"2019-2020",02,"DUVAL COUNTY",066901,"BENAVIDES ISD","Female","TRADITIONAL ISD/CSD",146
"2019-2020",02,"DUVAL COUNTY",066901,"BENAVIDES ISD","Male","TRADITIONAL ISD/CSD",147
"2019-2020",09,"KNOX COUNTY",138904,"BENJAMIN ISD","Female","TRADITIONAL ISD/CSD",71
"2019-2020",09,"KNOX COUNTY",138904,"BENJAMIN ISD","Male","TRADITIONAL ISD/CSD",53
"2019-2020",04,"HARRIS COUNTY",101870,"BETA ACADEMY","Female","OPEN ENROLLMENT CHARTER",468
"2019-2020",04,"HARRIS COUNTY",101870,"BETA ACADEMY","Male","OPEN ENROLLMENT CHARTER",417
"2019-2020",17,"LUBBOCK COUNTY",152806,"BETTY M CONDRA SCHOOL FOR EDUCATIO","Female","OPEN ENROLLMENT CHARTER",29
"2019-2020",17,"LUBBOCK COUNTY",152806,"BETTY M CONDRA SCHOOL FOR EDUCATIO","Male","OPEN ENROLLMENT CHARTER",35
"2019-2020",20,"BEXAR COUNTY",015809,"BEXAR COUNTY ACADEMY","Female","OPEN ENROLLMENT CHARTER",172
"2019-2020",20,"BEXAR COUNTY",015809,"BEXAR COUNTY ACADEMY","Male","OPEN ENROLLMENT CHARTER",183
"2019-2020",06,"POLK COUNTY",187901,"BIG SANDY ISD","Female","TRADITIONAL ISD/CSD",254
"2019-2020",07,"UPSHUR COUNTY",230901,"BIG SANDY ISD","Female","TRADITIONAL ISD/CSD",332
"2019-2020",06,"POLK COUNTY",187901,"BIG SANDY ISD","Male","TRADITIONAL ISD/CSD",249
"2019-2020",07,"UPSHUR COUNTY",230901,"BIG SANDY ISD","Male","TRADITIONAL ISD/CSD",340
"2019-2020",18,"HOWARD COUNTY",114901,"BIG SPRING ISD","Female","TRADITIONAL ISD/CSD",1922
"2019-2020",18,"HOWARD COUNTY",114901,"BIG SPRING ISD","Male","TRADITIONAL ISD/CSD",2062
"2019-2020",20,"REAL COUNTY",193801,"BIG SPRINGS CHARTER SCHOOL","Female","OPEN ENROLLMENT CHARTER",102
"2019-2020",20,"REAL COUNTY",193801,"BIG SPRINGS CHARTER SCHOOL","Male","OPEN ENROLLMENT CHARTER",121
"2019-2020",11,"TARRANT COUNTY",220902,"BIRDVILLE ISD","Female","TRADITIONAL ISD/CSD",11313
"2019-2020",11,"TARRANT COUNTY",220902,"BIRDVILLE ISD","Male","TRADITIONAL ISD/CSD",12263
"2019-2020",02,"NUECES COUNTY",178902,"BISHOP CISD","Female","TRADITIONAL ISD/CSD",761
"2019-2020",02,"NUECES COUNTY",178902,"BISHOP CISD","Male","TRADITIONAL ISD/CSD",841
"2019-2020",14,"NOLAN COUNTY",177903,"BLACKWELL CISD","Female","TRADITIONAL ISD/CSD",80
"2019-2020",14,"NOLAN COUNTY",177903,"BLACKWELL CISD","Male","TRADITIONAL ISD/CSD",84
"2019-2020",13,"BLANCO COUNTY",016902,"BLANCO ISD","Female","TRADITIONAL ISD/CSD",515
"2019-2020",13,"BLANCO COUNTY",016902,"BLANCO ISD","Male","TRADITIONAL ISD/CSD",521
"2019-2020",10,"HUNT COUNTY",116915,"BLAND ISD","Female","TRADITIONAL ISD/CSD",361
"2019-2020",10,"HUNT COUNTY",116915,"BLAND ISD","Male","TRADITIONAL ISD/CSD",365
"2019-2020",15,"BROWN COUNTY",025904,"BLANKET ISD","Female","TRADITIONAL ISD/CSD",65
"2019-2020",15,"BROWN COUNTY",025904,"BLANKET ISD","Male","TRADITIONAL ISD/CSD",78
"2019-2020",04,"HARRIS COUNTY",101875,"BLOOM ACADEMY CHARTER SCHOOL","Female","OPEN ENROLLMENT CHARTER",22
"2019-2020",04,"HARRIS COUNTY",101875,"BLOOM ACADEMY CHARTER SCHOOL","Male","OPEN ENROLLMENT CHARTER",19
"2019-2020",08,"CASS COUNTY",034909,"BLOOMBURG ISD","Female","TRADITIONAL ISD/CSD",151
"2019-2020",08,"CASS COUNTY",034909,"BLOOMBURG ISD","Male","TRADITIONAL ISD/CSD",125
"2019-2020",12,"NAVARRO COUNTY",175902,"BLOOMING GROVE ISD","Female","TRADITIONAL ISD/CSD",459
"2019-2020",12,"NAVARRO COUNTY",175902,"BLOOMING GROVE ISD","Male","TRADITIONAL ISD/CSD",483
"2019-2020",03,"VICTORIA COUNTY",235901,"BLOOMINGTON ISD","Female","TRADITIONAL ISD/CSD",422
"2019-2020",03,"VICTORIA COUNTY",235901,"BLOOMINGTON ISD","Male","TRADITIONAL ISD/CSD",414
"2019-2020",10,"COLLIN COUNTY",043917,"BLUE RIDGE ISD","Female","TRADITIONAL ISD/CSD",462
"2019-2020",10,"COLLIN COUNTY",043917,"BLUE RIDGE ISD","Male","TRADITIONAL ISD/CSD",459
"2019-2020",11,"ERATH COUNTY",072904,"BLUFF DALE ISD","Female","TRADITIONAL ISD/CSD",108
"2019-2020",11,"ERATH COUNTY",072904,"BLUFF DALE ISD","Male","TRADITIONAL ISD/CSD",124
"2019-2020",12,"HILL COUNTY",109913,"BLUM ISD","Female","TRADITIONAL ISD/CSD",186
"2019-2020",12,"HILL COUNTY",109913,"BLUM ISD","Male","TRADITIONAL ISD/CSD",183
"2019-2020",05,"JEFFERSON COUNTY",123807,"BOB HOPE SCHOOL","Female","OPEN ENROLLMENT CHARTER",1016
"2019-2020",05,"JEFFERSON COUNTY",123807,"BOB HOPE SCHOOL","Male","OPEN ENROLLMENT CHARTER",927
"2019-2020",20,"KENDALL COUNTY",130901,"BOERNE ISD","Female","TRADITIONAL ISD/CSD",4713
"2019-2020",20,"KENDALL COUNTY",130901,"BOERNE ISD","Male","TRADITIONAL ISD/CSD",4866
"2019-2020",10,"HUNT COUNTY",116916,"BOLES ISD","Female","TRADITIONAL ISD/CSD",265
"2019-2020",10,"HUNT COUNTY",116916,"BOLES ISD","Male","TRADITIONAL ISD/CSD",269
"2019-2020",03,"WHARTON COUNTY",241901,"BOLING ISD","Female","TRADITIONAL ISD/CSD",576
"2019-2020",03,"WHARTON COUNTY",241901,"BOLING ISD","Male","TRADITIONAL ISD/CSD",577
"2019-2020",10,"FANNIN COUNTY",074903,"BONHAM ISD","Female","TRADITIONAL ISD/CSD",888
"2019-2020",10,"FANNIN COUNTY",074903,"BONHAM ISD","Male","TRADITIONAL ISD/CSD",986
"2019-2020",16,"LIPSCOMB COUNTY",148901,"BOOKER ISD","Female","TRADITIONAL ISD/CSD",195
"2019-2020",16,"LIPSCOMB COUNTY",148901,"BOOKER ISD","Male","TRADITIONAL ISD/CSD",176
"2019-2020",17,"BORDEN COUNTY",017901,"BORDEN COUNTY ISD","Female","TRADITIONAL ISD/CSD",97
"2019-2020",17,"BORDEN COUNTY",017901,"BORDEN COUNTY ISD","Male","TRADITIONAL ISD/CSD",110
"2019-2020",16,"HUTCHINSON COUNTY",117901,"BORGER ISD","Female","TRADITIONAL ISD/CSD",1293
"2019-2020",16,"HUTCHINSON COUNTY",117901,"BORGER ISD","Male","TRADITIONAL ISD/CSD",1314
"2019-2020",12,"MCLENNAN COUNTY",161923,"BOSQUEVILLE ISD","Female","TRADITIONAL ISD/CSD",370
"2019-2020",12,"MCLENNAN COUNTY",161923,"BOSQUEVILLE ISD","Male","TRADITIONAL ISD/CSD",369
"2019-2020",16,"PARMER COUNTY",185901,"BOVINA ISD","Female","TRADITIONAL ISD/CSD",225
"2019-2020",16,"PARMER COUNTY",185901,"BOVINA ISD","Male","TRADITIONAL ISD/CSD",246
"2019-2020",09,"MONTAGUE COUNTY",169901,"BOWIE ISD","Female","TRADITIONAL ISD/CSD",807
