T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","ENROLLMENT"
"2019-2020",04,"CHAMBERS COUNTY","Female",3671
"2019-2020",05,"CHAMBERS COUNTY","Female",726
"2019-2020",04,"CHAMBERS COUNTY","Male",3930
"2019-2020",05,"CHAMBERS COUNTY","Male",809
"2019-2020",07,"CHEROKEE COUNTY","Female",4072
"2019-2020",07,"CHEROKEE COUNTY","Male",4390
"2019-2020",16,"CHILDRESS COUNTY","Female",505
"2019-2020",16,"CHILDRESS COUNTY","Male",585
"2019-2020",09,"CLAY COUNTY","Female",803
"2019-2020",09,"CLAY COUNTY","Male",856
"2019-2020",17,"COCHRAN COUNTY","Female",358
"2019-2020",17,"COCHRAN COUNTY","Male",359
"2019-2020",15,"COKE COUNTY","Female",254
"2019-2020",15,"COKE COUNTY","Male",260
"2019-2020",15,"COLEMAN COUNTY","Female",610
"2019-2020",15,"COLEMAN COUNTY","Male",633
"2019-2020",10,"COLLIN COUNTY","Female",108415
"2019-2020",10,"COLLIN COUNTY","Male",114382
"2019-2020",16,"COLLINGSWORTH COUNTY","Female",274
"2019-2020",16,"COLLINGSWORTH COUNTY","Male",296
"2019-2020",03,"COLORADO COUNTY","Female",1704
"2019-2020",03,"COLORADO COUNTY","Male",1864
"2019-2020",13,"COMAL COUNTY","Female",4558
"2019-2020",20,"COMAL COUNTY","Female",12428
"2019-2020",13,"COMAL COUNTY","Male",4983
"2019-2020",20,"COMAL COUNTY","Male",13069
"2019-2020",14,"COMANCHE COUNTY","Female",1186
"2019-2020",14,"COMANCHE COUNTY","Male",1252
"2019-2020",15,"CONCHO COUNTY","Female",209
"2019-2020",15,"CONCHO COUNTY","Male",248
"2019-2020",11,"COOKE COUNTY","Female",3307
"2019-2020",11,"COOKE COUNTY","Male",3466
"2019-2020",12,"CORYELL COUNTY","Female",5880
"2019-2020",12,"CORYELL COUNTY","Male",6148
"2019-2020",17,"COTTLE COUNTY","Female",91
"2019-2020",17,"COTTLE COUNTY","Male",109
"2019-2020",18,"CRANE COUNTY","Female",558
"2019-2020",18,"CRANE COUNTY","Male",616
"2019-2020",15,"CROCKETT COUNTY","Female",399
"2019-2020",15,"CROCKETT COUNTY","Male",412
"2019-2020",17,"CROSBY COUNTY","Female",525
"2019-2020",17,"CROSBY COUNTY","Male",546
"2019-2020",18,"CULBERSON COUNTY","Female",183
"2019-2020",18,"CULBERSON COUNTY","Male",203
"2019-2020",16,"DALLAM COUNTY","Female",887
"2019-2020",16,"DALLAM COUNTY","Male",995
"2019-2020",10,"DALLAS COUNTY","Female",252385
"2019-2020",10,"DALLAS COUNTY","Male",262748
"2019-2020",17,"DAWSON COUNTY","Female",1194
"2019-2020",17,"DAWSON COUNTY","Male",1284
"2019-2020",16,"DEAF SMITH COUNTY","Female",2046
"2019-2020",16,"DEAF SMITH COUNTY","Male",2140
"2019-2020",08,"DELTA COUNTY","Female",463
"2019-2020",08,"DELTA COUNTY","Male",459
"2019-2020",10,"DENTON COUNTY","Female",656
"2019-2020",11,"DENTON COUNTY","Female",65797
"2019-2020",10,"DENTON COUNTY","Male",627
"2019-2020",11,"DENTON COUNTY","Male",69356
"2019-2020",03,"DEWITT COUNTY","Female",2140
"2019-2020",03,"DEWITT COUNTY","Male",2339
"2019-2020",17,"DICKENS COUNTY","Female",159
"2019-2020",17,"DICKENS COUNTY","Male",186
"2019-2020",20,"DIMMIT COUNTY","Female",1056
"2019-2020",20,"DIMMIT COUNTY","Male",1077
"2019-2020",16,"DONLEY COUNTY","Female",277
"2019-2020",16,"DONLEY COUNTY","Male",290
"2019-2020",02,"DUVAL COUNTY","Female",1283
"2019-2020",02,"DUVAL COUNTY","Male",1366
"2019-2020",14,"EASTLAND COUNTY","Female",1396
"2019-2020",14,"EASTLAND COUNTY","Male",1408
"2019-2020",18,"ECTOR COUNTY","Female",17471
"2019-2020",18,"ECTOR COUNTY","Male",18354
"2019-2020",15,"EDWARDS COUNTY","Female",272
"2019-2020",15,"EDWARDS COUNTY","Male",311
"2019-2020",19,"EL PASO COUNTY","Female",85076
"2019-2020",19,"EL PASO COUNTY","Male",89100
"2019-2020",10,"ELLIS COUNTY","Female",19419
"2019-2020",10,"ELLIS COUNTY","Male",20845
"2019-2020",11,"ERATH COUNTY","Female",5928
"2019-2020",11,"ERATH COUNTY","Male",5585
"2019-2020",12,"FALLS COUNTY","Female",1102
"2019-2020",12,"FALLS COUNTY","Male",1196
"2019-2020",08,"FANNIN COUNTY","Female",309
"2019-2020",10,"FANNIN COUNTY","Female",2361
"2019-2020",08,"FANNIN COUNTY","Male",328
"2019-2020",10,"FANNIN COUNTY","Male",2559
"2019-2020",13,"FAYETTE COUNTY","Female",1878
"2019-2020",13,"FAYETTE COUNTY","Male",1929
"2019-2020",14,"FISHER COUNTY","Female",280
"2019-2020",14,"FISHER COUNTY","Male",279
"2019-2020",17,"FLOYD COUNTY","Female",552
"2019-2020",17,"FLOYD COUNTY","Male",599
"2019-2020",09,"FOARD COUNTY","Female",124
"2019-2020",09,"FOARD COUNTY","Male",106
"2019-2020",04,"FORT BEND COUNTY","Female",57890
"2019-2020",04,"FORT BEND COUNTY","Male",61865
"2019-2020",08,"FRANKLIN COUNTY","Female",777
"2019-2020",08,"FRANKLIN COUNTY","Male",801
"2019-2020",12,"FREESTONE COUNTY","Female",1776
"2019-2020",12,"FREESTONE COUNTY","Male",1853
"2019-2020",20,"FRIO COUNTY","Female",1528
"2019-2020",20,"FRIO COUNTY","Male",1628
"2019-2020",17,"GAINES COUNTY","Female",1846
"2019-2020",17,"GAINES COUNTY","Male",1903
"2019-2020",04,"GALVESTON COUNTY","Female",40610
"2019-2020",05,"GALVESTON COUNTY","Female",74
"2019-2020",04,"GALVESTON COUNTY","Male",42933
"2019-2020",05,"GALVESTON COUNTY","Male",97
"2019-2020",17,"GARZA COUNTY","Female",431
"2019-2020",17,"GARZA COUNTY","Male",513
"2019-2020",13,"GILLESPIE COUNTY","Female",1840
"2019-2020",13,"GILLESPIE COUNTY","Male",1940
"2019-2020",18,"GLASSCOCK COUNTY","Female",145
"2019-2020",18,"GLASSCOCK COUNTY","Male",161
"2019-2020",03,"GOLIAD COUNTY","Female",636
"2019-2020",03,"GOLIAD COUNTY","Male",683
"2019-2020",13,"GONZALES COUNTY","Female",2064
"2019-2020",13,"GONZALES COUNTY","Male",2173
"2019-2020",16,"GRAY COUNTY","Female",1934
"2019-2020",16,"GRAY COUNTY","Male",2060
"2019-2020",10,"GRAYSON COUNTY","Female",11606
"2019-2020",10,"GRAYSON COUNTY","Male",12324
"2019-2020",07,"GREGG COUNTY","Female",11748
"2019-2020",07,"GREGG COUNTY","Male",12540
"2019-2020",06,"GRIMES COUNTY","Female",2279
"2019-2020",06,"GRIMES COUNTY","Male",2353
"2019-2020",20,"GUADALUPE COUNTY","Female",12952
"2019-2020",20,"GUADALUPE COUNTY","Male",13728
"2019-2020",17,"HALE COUNTY","Female",3489
"2019-2020",17,"HALE COUNTY","Male",3608
"2019-2020",16,"HALL COUNTY","Female",308
"2019-2020",16,"HALL COUNTY","Male",357
"2019-2020",12,"HAMILTON COUNTY","Female",643
"2019-2020",12,"HAMILTON COUNTY","Male",742
"2019-2020",16,"HANSFORD COUNTY","Female",693
"2019-2020",16,"HANSFORD COUNTY","Male",704
"2019-2020",09,"HARDEMAN COUNTY","Female",341
"2019-2020",09,"HARDEMAN COUNTY","Male",385
"2019-2020",05,"HARDIN COUNTY","Female",5400
"2019-2020",05,"HARDIN COUNTY","Male",5833
"2019-2020",04,"HARRIS COUNTY","Female",442936
"2019-2020",04,"HARRIS COUNTY","Male",463776
"2019-2020",07,"HARRISON COUNTY","Female",9945
"2019-2020",07,"HARRISON COUNTY","Male",9466
"2019-2020",16,"HARTLEY COUNTY","Female",209
"2019-2020",16,"HARTLEY COUNTY","Male",198
"2019-2020",14,"HASKELL COUNTY","Female",399
"2019-2020",14,"HASKELL COUNTY","Male",416
"2019-2020",13,"HAYS COUNTY","Female",19152
"2019-2020",13,"HAYS COUNTY","Male",20130
"2019-2020",16,"HEMPHILL COUNTY","Female",430
"2019-2020",16,"HEMPHILL COUNTY","Male",452
"2019-2020",07,"HENDERSON COUNTY","Female",3485
"2019-2020",10,"HENDERSON COUNTY","Female",1476
"2019-2020",07,"HENDERSON COUNTY","Male",3629
"2019-2020",10,"HENDERSON COUNTY","Male",1660
"2019-2020",01,"HIDALGO COUNTY","Female",122724
"2019-2020",01,"HIDALGO COUNTY","Male",127466
"2019-2020",12,"HILL COUNTY","Female",3216
"2019-2020",12,"HILL COUNTY","Male",3397
"2019-2020",17,"HOCKLEY COUNTY","Female",2346
"2019-2020",17,"HOCKLEY COUNTY","Male",2465
"2019-2020",11,"HOOD COUNTY","Female",4189
"2019-2020",11,"HOOD COUNTY","Male",4614
"2019-2020",08,"HOPKINS COUNTY","Female",3388
"2019-2020",08,"HOPKINS COUNTY","Male",3539
"2019-2020",06,"HOUSTON COUNTY","Female",1539
"2019-2020",06,"HOUSTON COUNTY","Male",1588
"2019-2020",18,"HOWARD COUNTY","Female",2886
"2019-2020",18,"HOWARD COUNTY","Male",3010
"2019-2020",19,"HUDSPETH COUNTY","Female",280
"2019-2020",19,"HUDSPETH COUNTY","Male",296
"2019-2020",10,"HUNT COUNTY","Female",7320
"2019-2020",10,"HUNT COUNTY","Male",7853
"2019-2020",16,"HUTCHINSON COUNTY","Female",1997
"2019-2020",16,"HUTCHINSON COUNTY","Male",2104
"2019-2020",15,"IRION COUNTY","Female",139
"2019-2020",15,"IRION COUNTY","Male",156
"2019-2020",09,"JACK COUNTY","Female",751
"2019-2020",09,"JACK COUNTY","Male",882
"2019-2020",03,"JACKSON COUNTY","Female",1768
"2019-2020",03,"JACKSON COUNTY","Male",1733
"2019-2020",05,"JASPER COUNTY","Female",2992
"2019-2020",05,"JASPER COUNTY","Male",3150
"2019-2020",18,"JEFF DAVIS COUNTY","Female",132
"2019-2020",18,"JEFF DAVIS COUNTY","Male",132
"2019-2020",05,"JEFFERSON COUNTY","Female",20585
"2019-2020",05,"JEFFERSON COUNTY","Male",21457
"2019-2020",01,"JIM HOGG COUNTY","Female",555
"2019-2020",01,"JIM HOGG COUNTY","Male",598
"2019-2020",02,"JIM WELLS COUNTY","Female",3871
"2019-2020",02,"JIM WELLS COUNTY","Male",4144
"2019-2020",11,"JOHNSON COUNTY","Female",17755
"2019-2020",11,"JOHNSON COUNTY","Male",19079
"2019-2020",14,"JONES COUNTY","Female",1293
"2019-2020",14,"JONES COUNTY","Male",1405
"2019-2020",03,"KARNES COUNTY","Female",1016
"2019-2020",20,"KARNES COUNTY","Female",178
"2019-2020",03,"KARNES COUNTY","Male",1060
"2019-2020",20,"KARNES COUNTY","Male",206
"2019-2020",10,"KAUFMAN COUNTY","Female",15478
"2019-2020",10,"KAUFMAN COUNTY","Male",16357
"2019-2020",13,"KENDALL COUNTY","Female",536
"2019-2020",20,"KENDALL COUNTY","Female",4750
"2019-2020",13,"KENDALL COUNTY","Male",552
"2019-2020",20,"KENDALL COUNTY","Male",4919
"2019-2020",02,"KENEDY COUNTY","Female",35
"2019-2020",02,"KENEDY COUNTY","Male",38
"2019-2020",17,"KENT COUNTY","Female",78
"2019-2020",17,"KENT COUNTY","Male",91
"2019-2020",20,"KERR COUNTY","Female",3322
"2019-2020",20,"KERR COUNTY","Male",3482
"2019-2020",15,"KIMBLE COUNTY","Female",298
"2019-2020",15,"KIMBLE COUNTY","Male",286
"2019-2020",17,"KING COUNTY","Female",56
"2019-2020",17,"KING COUNTY","Male",51
"2019-2020",20,"KINNEY COUNTY","Female",255
"2019-2020",20,"KINNEY COUNTY","Male",317
"2019-2020",02,"KLEBERG COUNTY","Female",2502
"2019-2020",02,"KLEBERG COUNTY","Male",2510
"2019-2020",09,"KNOX COUNTY","Female",398
"2019-2020",09,"KNOX COUNTY","Male",391
"2019-2020",20,"LA SALLE COUNTY","Female",645
"2019-2020",20,"LA SALLE COUNTY","Male",676
"2019-2020",08,"LAMAR COUNTY","Female",4261
"2019-2020",08,"LAMAR COUNTY","Male",4352
"2019-2020",17,"LAMB COUNTY","Female",1379
"2019-2020",17,"LAMB COUNTY","Male",1470
"2019-2020",12,"LAMPASAS COUNTY","Female",1868
"2019-2020",12,"LAMPASAS COUNTY","Male",1894
"2019-2020",03,"LAVACA COUNTY","Female",1227
"2019-2020",03,"LAVACA COUNTY","Male",1224
"2019-2020",13,"LEE COUNTY","Female",1561
"2019-2020",13,"LEE COUNTY","Male",1574
"2019-2020",06,"LEON COUNTY","Female",1511
"2019-2020",06,"LEON COUNTY","Male",1599
"2019-2020",04,"LIBERTY COUNTY","Female",7934
"2019-2020",05,"LIBERTY COUNTY","Female",1352
"2019-2020",04,"LIBERTY COUNTY","Male",8689
"2019-2020",05,"LIBERTY COUNTY","Male",1432
"2019-2020",12,"LIMESTONE COUNTY","Female",1779
"2019-2020",12,"LIMESTONE COUNTY","Male",2000
"2019-2020",16,"LIPSCOMB COUNTY","Female",372
"2019-2020",16,"LIPSCOMB COUNTY","Male",360
"2019-2020",02,"LIVE OAK COUNTY","Female",862
"2019-2020",02,"LIVE OAK COUNTY","Male",927
"2019-2020",13,"LLANO COUNTY","Female",849
"2019-2020",13,"LLANO COUNTY","Male",929
"2019-2020",17,"LUBBOCK COUNTY","Female",24971
"2019-2020",17,"LUBBOCK COUNTY","Male",26059
"2019-2020",17,"LYNN COUNTY","Female",720
"2019-2020",17,"LYNN COUNTY","Male",875
"2019-2020",06,"MADISON COUNTY","Female",1342
"2019-2020",06,"MADISON COUNTY","Male",1367
"2019-2020",08,"MARION COUNTY","Female",622
"2019-2020",08,"MARION COUNTY","Male",649
"2019-2020",18,"MARTIN COUNTY","Female",632
"2019-2020",18,"MARTIN COUNTY","Male",744
"2019-2020",15,"MASON COUNTY","Female",346
"2019-2020",15,"MASON COUNTY","Male",411
"2019-2020",03,"MATAGORDA COUNTY","Female",3506
"2019-2020",03,"MATAGORDA COUNTY","Male",3752
"2019-2020",20,"MAVERICK COUNTY","Female",7055
"2019-2020",20,"MAVERICK COUNTY","Male",7445
"2019-2020",15,"MCCULLOCH COUNTY","Female",631
"2019-2020",15,"MCCULLOCH COUNTY","Male",706
"2019-2020",12,"MCLENNAN COUNTY","Female",26530
"2019-2020",12,"MCLENNAN COUNTY","Male",28095
"2019-2020",02,"MCMULLEN COUNTY","Female",145
"2019-2020",02,"MCMULLEN COUNTY","Male",143
"2019-2020",20,"MEDINA COUNTY","Female",5446
"2019-2020",20,"MEDINA COUNTY","Male",5735
"2019-2020",15,"MENARD COUNTY","Female",150
"2019-2020",15,"MENARD COUNTY","Male",153
"2019-2020",18,"MIDLAND COUNTY","Female",14436
"2019-2020",18,"MIDLAND COUNTY","Male",15356
"2019-2020",06,"MILAM COUNTY","Female",1919
"2019-2020",13,"MILAM COUNTY","Female",266
"2019-2020",06,"MILAM COUNTY","Male",2019
"2019-2020",13,"MILAM COUNTY","Male",292
"2019-2020",12,"MILLS COUNTY","Female",425
"2019-2020",12,"MILLS COUNTY","Male",523
"2019-2020",14,"MITCHELL COUNTY","Female",658
"2019-2020",14,"MITCHELL COUNTY","Male",706
"2019-2020",09,"MONTAGUE COUNTY","Female",1648
"2019-2020",09,"MONTAGUE COUNTY","Male",1771
"2019-2020",06,"MONTGOMERY COUNTY","Female",56345
"2019-2020",06,"MONTGOMERY COUNTY","Male",59407
"2019-2020",16,"MOORE COUNTY","Female",2329
"2019-2020",16,"MOORE COUNTY","Male",2549
"2019-2020",08,"MORRIS COUNTY","Female",880
"2019-2020",08,"MORRIS COUNTY","Male",1012
"2019-2020",17,"MOTLEY COUNTY","Female",70
"2019-2020",17,"MOTLEY COUNTY","Male",80
"2019-2020",07,"NACOGDOCHES COUNTY","Female",5325
"2019-2020",07,"NACOGDOCHES COUNTY","Male",5719
"2019-2020",12,"NAVARRO COUNTY","Female",4938
"2019-2020",12,"NAVARRO COUNTY","Male",5320
"2019-2020",05,"NEWTON COUNTY","Female",895
"2019-2020",05,"NEWTON COUNTY","Male",945
"2019-2020",14,"NOLAN COUNTY","Female",1532
"2019-2020",14,"NOLAN COUNTY","Male",1650
"2019-2020",02,"NUECES COUNTY","Female",29568
"2019-2020",02,"NUECES COUNTY","Male",31441
"2019-2020",16,"OCHILTREE COUNTY","Female",1103
"2019-2020",16,"OCHILTREE COUNTY","Male",1110
"2019-2020",16,"OLDHAM COUNTY","Female",479
"2019-2020",16,"OLDHAM COUNTY","Male",527
"2019-2020",05,"ORANGE COUNTY","Female",7144
"2019-2020",05,"ORANGE COUNTY","Male",7881
"2019-2020",11,"PALO PINTO COUNTY","Female",2194
"2019-2020",11,"PALO PINTO COUNTY","Male",2359
"2019-2020",07,"PANOLA COUNTY","Female",1965
"2019-2020",07,"PANOLA COUNTY","Male",2070
"2019-2020",11,"PARKER COUNTY","Female",11096
"2019-2020",11,"PARKER COUNTY","Male",11880
"2019-2020",16,"PARMER COUNTY","Female",1096
"2019-2020",16,"PARMER COUNTY","Male",1220
"2019-2020",18,"PECOS COUNTY","Female",1481
"2019-2020",18,"PECOS COUNTY","Male",1620
"2019-2020",06,"POLK COUNTY","Female",3337
"2019-2020",06,"POLK COUNTY","Male",3565
"2019-2020",16,"POTTER COUNTY","Female",17739
"2019-2020",16,"POTTER COUNTY","Male",18373
"2019-2020",18,"PRESIDIO COUNTY","Female",738
"2019-2020",18,"PRESIDIO COUNTY","Male",762
"2019-2020",07,"RAINS COUNTY","Female",800
"2019-2020",07,"RAINS COUNTY","Male",927
"2019-2020",16,"RANDALL COUNTY","Female",5063
"2019-2020",16,"RANDALL COUNTY","Male",5318
"2019-2020",18,"REAGAN COUNTY","Female",431
"2019-2020",18,"REAGAN COUNTY","Male",477
"2019-2020",20,"REAL COUNTY","Female",239
"2019-2020",20,"REAL COUNTY","Male",268
"2019-2020",08,"RED RIVER COUNTY","Female",1035
"2019-2020",08,"RED RIVER COUNTY","Male",1058
"2019-2020",18,"REEVES COUNTY","Female",1448
"2019-2020",18,"REEVES COUNTY","Male",1590
"2019-2020",03,"REFUGIO COUNTY","Female",655
"2019-2020",03,"REFUGIO COUNTY","Male",649
"2019-2020",16,"ROBERTS COUNTY","Female",100
"2019-2020",16,"ROBERTS COUNTY","Male",90
"2019-2020",06,"ROBERTSON COUNTY","Female",1570
"2019-2020",06,"ROBERTSON COUNTY","Male",1687
"2019-2020",10,"ROCKWALL COUNTY","Female",11504
"2019-2020",10,"ROCKWALL COUNTY","Male",12103
"2019-2020",15,"RUNNELS COUNTY","Female",1001
"2019-2020",15,"RUNNELS COUNTY","Male",1088
"2019-2020",07,"RUSK COUNTY","Female",3898
"2019-2020",07,"RUSK COUNTY","Male",4002
"2019-2020",07,"SABINE COUNTY","Female",744
"2019-2020",07,"SABINE COUNTY","Male",764
"2019-2020",07,"SAN AUGUSTINE COUNTY","Female",562
"2019-2020",07,"SAN AUGUSTINE COUNTY","Male",564
"2019-2020",06,"SAN JACINTO COUNTY","Female",1715
"2019-2020",06,"SAN JACINTO COUNTY","Male",1858
"2019-2020",02,"SAN PATRICIO COUNTY","Female",6750
"2019-2020",02,"SAN PATRICIO COUNTY","Male",7224
"2019-2020",15,"SAN SABA COUNTY","Female",478
"2019-2020",15,"SAN SABA COUNTY","Male",517
"2019-2020",15,"SCHLEICHER COUNTY","Female",244
"2019-2020",15,"SCHLEICHER COUNTY","Male",261
"2019-2020",14,"SCURRY COUNTY","Female",1518
"2019-2020",14,"SCURRY COUNTY","Male",1662
"2019-2020",14,"SHACKELFORD COUNTY","Female",313
"2019-2020",14,"SHACKELFORD COUNTY","Male",321
"2019-2020",07,"SHELBY COUNTY","Female",2587
"2019-2020",07,"SHELBY COUNTY","Male",2790
"2019-2020",16,"SHERMAN COUNTY","Female",354
"2019-2020",16,"SHERMAN COUNTY","Male",381
"2019-2020",07,"SMITH COUNTY","Female",19278
"2019-2020",07,"SMITH COUNTY","Male",20278
"2019-2020",11,"SOMERVELL COUNTY","Female",1093
"2019-2020",11,"SOMERVELL COUNTY","Male",1079
"2019-2020",01,"STARR COUNTY","Female",8226
"2019-2020",01,"STARR COUNTY","Male",8295
"2019-2020",14,"STEPHENS COUNTY","Female",703
"2019-2020",14,"STEPHENS COUNTY","Male",753
"2019-2020",15,"STERLING COUNTY","Female",176
"2019-2020",15,"STERLING COUNTY","Male",167
"2019-2020",14,"STONEWALL COUNTY","Female",112
"2019-2020",14,"STONEWALL COUNTY","Male",108
"2019-2020",15,"SUTTON COUNTY","Female",367
"2019-2020",15,"SUTTON COUNTY","Male",412
"2019-2020",16,"SWISHER COUNTY","Female",738
"2019-2020",16,"SWISHER COUNTY","Male",811
"2019-2020",11,"TARRANT COUNTY","Female",175293
"2019-2020",11,"TARRANT COUNTY","Male",184773
"2019-2020",14,"TAYLOR COUNTY","Female",18519
"2019-2020",14,"TAYLOR COUNTY","Male",18587
"2019-2020",18,"TERRELL COUNTY","Female",65
"2019-2020",18,"TERRELL COUNTY","Male",60
"2019-2020",17,"TERRY COUNTY","Female",1107
"2019-2020",17,"TERRY COUNTY","Male",1174
"2019-2020",09,"THROCKMORTON COUNTY","Female",155
"2019-2020",09,"THROCKMORTON COUNTY","Male",161
"2019-2020",08,"TITUS COUNTY","Female",3446
"2019-2020",08,"TITUS COUNTY","Male",3588
"2019-2020",15,"TOM GREEN COUNTY","Female",10324
"2019-2020",15,"TOM GREEN COUNTY","Male",10750
"2019-2020",04,"TRAVIS COUNTY","Female",14089
"2019-2020",13,"TRAVIS COUNTY","Female",79502
"2019-2020",04,"TRAVIS COUNTY","Male",14583
"2019-2020",13,"TRAVIS COUNTY","Male",83936
"2019-2020",06,"TRINITY COUNTY","Female",1114
"2019-2020",06,"TRINITY COUNTY","Male",1200
"2019-2020",05,"TYLER COUNTY","Female",1840
"2019-2020",05,"TYLER COUNTY","Male",1898
"2019-2020",07,"UPSHUR COUNTY","Female",3634
"2019-2020",07,"UPSHUR COUNTY","Male",3983
"2019-2020",18,"UPTON COUNTY","Female",443
"2019-2020",18,"UPTON COUNTY","Male",427
"2019-2020",20,"UVALDE COUNTY","Female",2627
"2019-2020",20,"UVALDE COUNTY","Male",2760
"2019-2020",15,"VAL VERDE COUNTY","Female",5212
"2019-2020",15,"VAL VERDE COUNTY","Male",5324
"2019-2020",07,"VAN ZANDT COUNTY","Female",2646
"2019-2020",10,"VAN ZANDT COUNTY","Female",2396
"2019-2020",07,"VAN ZANDT COUNTY","Male",2852
"2019-2020",10,"VAN ZANDT COUNTY","Male",2368
"2019-2020",03,"VICTORIA COUNTY","Female",7190
"2019-2020",03,"VICTORIA COUNTY","Male",7639
"2019-2020",06,"WALKER COUNTY","Female",5524
"2019-2020",06,"WALKER COUNTY","Male",5069
"2019-2020",04,"WALLER COUNTY","Female",5761
"2019-2020",04,"WALLER COUNTY","Male",6016
"2019-2020",18,"WARD COUNTY","Female",1294
"2019-2020",18,"WARD COUNTY","Male",1289
"2019-2020",06,"WASHINGTON COUNTY","Female",2627
"2019-2020",06,"WASHINGTON COUNTY","Male",2952
"2019-2020",01,"WEBB COUNTY","Female",32774
"2019-2020",01,"WEBB COUNTY","Male",34493
"2019-2020",03,"WHARTON COUNTY","Female",4013
"2019-2020",03,"WHARTON COUNTY","Male",4224
"2019-2020",16,"WHEELER COUNTY","Female",486
"2019-2020",16,"WHEELER COUNTY","Male",603
"2019-2020",09,"WICHITA COUNTY","Female",10107
"2019-2020",09,"WICHITA COUNTY","Male",10668
"2019-2020",09,"WILBARGER COUNTY","Female",1131
