T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","REGION","COUNTY NAME","GENDER","GRADE","ENROLLMENT"
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 4",147
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 4",149
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 5",160
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 5",191
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 6",161
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 6",173
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 7",181
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 7",185
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 8",142
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 8",162
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 9",167
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 9",189
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 10",149
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 10",166
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 11",155
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 11",147
"2019-2020",18,"ANDREWS COUNTY","Female","Grade 12",111
"2019-2020",18,"ANDREWS COUNTY","Male","Grade 12",125
"2019-2020",07,"ANGELINA COUNTY","Female","Early Education",16
"2019-2020",07,"ANGELINA COUNTY","Male","Early Education",42
"2019-2020",07,"ANGELINA COUNTY","Female","Pre-kindergarten",488
"2019-2020",07,"ANGELINA COUNTY","Male","Pre-kindergarten",466
"2019-2020",07,"ANGELINA COUNTY","Female","Kindergarten",617
"2019-2020",07,"ANGELINA COUNTY","Male","Kindergarten",619
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 1",610
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 1",618
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 2",603
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 2",660
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 3",549
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 3",633
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 4",603
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 4",597
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 5",588
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 5",643
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 6",637
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 6",670
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 7",651
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 7",705
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 8",634
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 8",640
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 9",626
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 9",633
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 10",621
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 10",666
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 11",557
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 11",554
"2019-2020",07,"ANGELINA COUNTY","Female","Grade 12",533
"2019-2020",07,"ANGELINA COUNTY","Male","Grade 12",582
"2019-2020",02,"ARANSAS COUNTY","Female","Early Education",4
"2019-2020",02,"ARANSAS COUNTY","Male","Early Education",6
"2019-2020",02,"ARANSAS COUNTY","Female","Pre-kindergarten",46
"2019-2020",02,"ARANSAS COUNTY","Male","Pre-kindergarten",57
"2019-2020",02,"ARANSAS COUNTY","Female","Kindergarten",98
"2019-2020",02,"ARANSAS COUNTY","Male","Kindergarten",124
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 1",90
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 1",105
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 2",104
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 2",96
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 3",113
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 3",109
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 4",123
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 4",115
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 5",111
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 5",101
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 6",120
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 6",123
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 7",104
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 7",113
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 8",100
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 8",129
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 9",128
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 9",119
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 10",121
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 10",136
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 11",94
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 11",89
"2019-2020",02,"ARANSAS COUNTY","Female","Grade 12",93
"2019-2020",02,"ARANSAS COUNTY","Male","Grade 12",95
"2019-2020",09,"ARCHER COUNTY","Female","Early Education",3
"2019-2020",09,"ARCHER COUNTY","Male","Early Education",5
"2019-2020",09,"ARCHER COUNTY","Female","Pre-kindergarten",35
"2019-2020",09,"ARCHER COUNTY","Male","Pre-kindergarten",36
"2019-2020",09,"ARCHER COUNTY","Female","Kindergarten",74
"2019-2020",09,"ARCHER COUNTY","Male","Kindergarten",68
"2019-2020",09,"ARCHER COUNTY","Female","Grade 1",72
"2019-2020",09,"ARCHER COUNTY","Male","Grade 1",73
"2019-2020",09,"ARCHER COUNTY","Female","Grade 2",64
"2019-2020",09,"ARCHER COUNTY","Male","Grade 2",72
"2019-2020",09,"ARCHER COUNTY","Female","Grade 3",67
"2019-2020",09,"ARCHER COUNTY","Male","Grade 3",68
"2019-2020",09,"ARCHER COUNTY","Female","Grade 4",68
"2019-2020",09,"ARCHER COUNTY","Male","Grade 4",56
"2019-2020",09,"ARCHER COUNTY","Female","Grade 5",80
"2019-2020",09,"ARCHER COUNTY","Male","Grade 5",68
"2019-2020",09,"ARCHER COUNTY","Female","Grade 6",70
"2019-2020",09,"ARCHER COUNTY","Male","Grade 6",84
"2019-2020",09,"ARCHER COUNTY","Female","Grade 7",70
"2019-2020",09,"ARCHER COUNTY","Male","Grade 7",78
"2019-2020",09,"ARCHER COUNTY","Female","Grade 8",73
"2019-2020",09,"ARCHER COUNTY","Male","Grade 8",75
"2019-2020",09,"ARCHER COUNTY","Female","Grade 9",72
"2019-2020",09,"ARCHER COUNTY","Male","Grade 9",79
"2019-2020",09,"ARCHER COUNTY","Female","Grade 10",73
"2019-2020",09,"ARCHER COUNTY","Male","Grade 10",92
"2019-2020",09,"ARCHER COUNTY","Female","Grade 11",60
"2019-2020",09,"ARCHER COUNTY","Male","Grade 11",82
"2019-2020",09,"ARCHER COUNTY","Female","Grade 12",70
"2019-2020",09,"ARCHER COUNTY","Male","Grade 12",74
"2019-2020",16,"ARMSTRONG COUNTY","Female","Pre-kindergarten",8
"2019-2020",16,"ARMSTRONG COUNTY","Male","Pre-kindergarten",9
"2019-2020",16,"ARMSTRONG COUNTY","Female","Kindergarten",13
"2019-2020",16,"ARMSTRONG COUNTY","Male","Kindergarten",15
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 1",12
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 1",16
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 2",13
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 2",9
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 3",11
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 3",13
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 4",15
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 4",9
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 5",13
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 5",12
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 6",15
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 6",13
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 7",12
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 7",12
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 8",7
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 8",12
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 9",17
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 9",10
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 10",9
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 10",12
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 11",10
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 11",15
"2019-2020",16,"ARMSTRONG COUNTY","Female","Grade 12",7
"2019-2020",16,"ARMSTRONG COUNTY","Male","Grade 12",12
"2019-2020",20,"ATASCOSA COUNTY","Female","Early Education",17
"2019-2020",20,"ATASCOSA COUNTY","Male","Early Education",30
"2019-2020",20,"ATASCOSA COUNTY","Female","Pre-kindergarten",226
"2019-2020",20,"ATASCOSA COUNTY","Male","Pre-kindergarten",232
"2019-2020",20,"ATASCOSA COUNTY","Female","Kindergarten",318
"2019-2020",20,"ATASCOSA COUNTY","Male","Kindergarten",293
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 1",355
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 1",335
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 2",312
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 2",319
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 3",321
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 3",352
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 4",322
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 4",334
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 5",320
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 5",383
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 6",336
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 6",354
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 7",344
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 7",373
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 8",331
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 8",337
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 9",313
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 9",362
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 10",311
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 10",367
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 11",282
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 11",305
"2019-2020",20,"ATASCOSA COUNTY","Female","Grade 12",266
"2019-2020",20,"ATASCOSA COUNTY","Male","Grade 12",318
"2019-2020",06,"AUSTIN COUNTY","Female","Early Education",12
"2019-2020",06,"AUSTIN COUNTY","Male","Early Education",24
"2019-2020",06,"AUSTIN COUNTY","Female","Pre-kindergarten",111
"2019-2020",06,"AUSTIN COUNTY","Male","Pre-kindergarten",110
"2019-2020",06,"AUSTIN COUNTY","Female","Kindergarten",155
"2019-2020",06,"AUSTIN COUNTY","Male","Kindergarten",184
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 1",197
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 1",187
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 2",216
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 2",221
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 3",183
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 3",204
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 4",211
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 4",221
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 5",232
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 5",208
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 6",239
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 6",239
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 7",249
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 7",218
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 8",200
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 8",241
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 9",221
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 9",271
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 10",240
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 10",216
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 11",214
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 11",228
"2019-2020",06,"AUSTIN COUNTY","Female","Grade 12",202
"2019-2020",06,"AUSTIN COUNTY","Male","Grade 12",216
"2019-2020",17,"BAILEY COUNTY","Female","Early Education",5
"2019-2020",17,"BAILEY COUNTY","Male","Early Education",10
"2019-2020",17,"BAILEY COUNTY","Female","Pre-kindergarten",41
"2019-2020",17,"BAILEY COUNTY","Male","Pre-kindergarten",39
"2019-2020",17,"BAILEY COUNTY","Female","Kindergarten",32
"2019-2020",17,"BAILEY COUNTY","Male","Kindergarten",57
"2019-2020",17,"BAILEY COUNTY","Female","Grade 1",46
"2019-2020",17,"BAILEY COUNTY","Male","Grade 1",51
"2019-2020",17,"BAILEY COUNTY","Female","Grade 2",45
"2019-2020",17,"BAILEY COUNTY","Male","Grade 2",60
"2019-2020",17,"BAILEY COUNTY","Female","Grade 3",72
"2019-2020",17,"BAILEY COUNTY","Male","Grade 3",49
"2019-2020",17,"BAILEY COUNTY","Female","Grade 4",49
"2019-2020",17,"BAILEY COUNTY","Male","Grade 4",46
"2019-2020",17,"BAILEY COUNTY","Female","Grade 5",51
"2019-2020",17,"BAILEY COUNTY","Male","Grade 5",67
"2019-2020",17,"BAILEY COUNTY","Female","Grade 6",45
"2019-2020",17,"BAILEY COUNTY","Male","Grade 6",63
"2019-2020",17,"BAILEY COUNTY","Female","Grade 7",56
"2019-2020",17,"BAILEY COUNTY","Male","Grade 7",58
"2019-2020",17,"BAILEY COUNTY","Female","Grade 8",45
"2019-2020",17,"BAILEY COUNTY","Male","Grade 8",65
"2019-2020",17,"BAILEY COUNTY","Female","Grade 9",56
"2019-2020",17,"BAILEY COUNTY","Male","Grade 9",53
"2019-2020",17,"BAILEY COUNTY","Female","Grade 10",43
"2019-2020",17,"BAILEY COUNTY","Male","Grade 10",44
"2019-2020",17,"BAILEY COUNTY","Female","Grade 11",42
"2019-2020",17,"BAILEY COUNTY","Male","Grade 11",36
"2019-2020",17,"BAILEY COUNTY","Female","Grade 12",35
"2019-2020",17,"BAILEY COUNTY","Male","Grade 12",42
"2019-2020",20,"BANDERA COUNTY","Female","Early Education",4
"2019-2020",20,"BANDERA COUNTY","Male","Early Education",10
"2019-2020",20,"BANDERA COUNTY","Female","Pre-kindergarten",66
"2019-2020",20,"BANDERA COUNTY","Male","Pre-kindergarten",78
"2019-2020",20,"BANDERA COUNTY","Female","Kindergarten",74
"2019-2020",20,"BANDERA COUNTY","Male","Kindergarten",109
"2019-2020",20,"BANDERA COUNTY","Female","Grade 1",94
"2019-2020",20,"BANDERA COUNTY","Male","Grade 1",93
"2019-2020",20,"BANDERA COUNTY","Female","Grade 2",92
"2019-2020",20,"BANDERA COUNTY","Male","Grade 2",99
"2019-2020",20,"BANDERA COUNTY","Female","Grade 3",100
"2019-2020",20,"BANDERA COUNTY","Male","Grade 3",84
"2019-2020",20,"BANDERA COUNTY","Female","Grade 4",78
"2019-2020",20,"BANDERA COUNTY","Male","Grade 4",83
"2019-2020",20,"BANDERA COUNTY","Female","Grade 5",100
"2019-2020",20,"BANDERA COUNTY","Male","Grade 5",96
"2019-2020",20,"BANDERA COUNTY","Female","Grade 6",92
"2019-2020",20,"BANDERA COUNTY","Male","Grade 6",113
"2019-2020",20,"BANDERA COUNTY","Female","Grade 7",95
"2019-2020",20,"BANDERA COUNTY","Male","Grade 7",98
"2019-2020",20,"BANDERA COUNTY","Female","Grade 8",109
"2019-2020",20,"BANDERA COUNTY","Male","Grade 8",105
"2019-2020",20,"BANDERA COUNTY","Female","Grade 9",97
"2019-2020",20,"BANDERA COUNTY","Male","Grade 9",106
"2019-2020",20,"BANDERA COUNTY","Female","Grade 10",98
"2019-2020",20,"BANDERA COUNTY","Male","Grade 10",111
"2019-2020",20,"BANDERA COUNTY","Female","Grade 11",59
"2019-2020",20,"BANDERA COUNTY","Male","Grade 11",96
"2019-2020",20,"BANDERA COUNTY","Female","Grade 12",90
"2019-2020",20,"BANDERA COUNTY","Male","Grade 12",77
"2019-2020",13,"BASTROP COUNTY","Female","Early Education",22
"2019-2020",13,"BASTROP COUNTY","Male","Early Education",54
"2019-2020",13,"BASTROP COUNTY","Female","Pre-kindergarten",409
"2019-2020",13,"BASTROP COUNTY","Male","Pre-kindergarten",392
"2019-2020",13,"BASTROP COUNTY","Female","Kindergarten",639
"2019-2020",13,"BASTROP COUNTY","Male","Kindergarten",609
"2019-2020",13,"BASTROP COUNTY","Female","Grade 1",619
"2019-2020",13,"BASTROP COUNTY","Male","Grade 1",624
"2019-2020",13,"BASTROP COUNTY","Female","Grade 2",596
"2019-2020",13,"BASTROP COUNTY","Male","Grade 2",574
"2019-2020",13,"BASTROP COUNTY","Female","Grade 3",596
"2019-2020",13,"BASTROP COUNTY","Male","Grade 3",689
"2019-2020",13,"BASTROP COUNTY","Female","Grade 4",606
"2019-2020",13,"BASTROP COUNTY","Male","Grade 4",668
"2019-2020",13,"BASTROP COUNTY","Female","Grade 5",692
"2019-2020",13,"BASTROP COUNTY","Male","Grade 5",701
"2019-2020",13,"BASTROP COUNTY","Female","Grade 6",699
"2019-2020",13,"BASTROP COUNTY","Male","Grade 6",703
"2019-2020",13,"BASTROP COUNTY","Female","Grade 7",727
"2019-2020",13,"BASTROP COUNTY","Male","Grade 7",744
"2019-2020",13,"BASTROP COUNTY","Female","Grade 8",698
"2019-2020",13,"BASTROP COUNTY","Male","Grade 8",761
"2019-2020",13,"BASTROP COUNTY","Female","Grade 9",688
"2019-2020",13,"BASTROP COUNTY","Male","Grade 9",850
"2019-2020",13,"BASTROP COUNTY","Female","Grade 10",689
"2019-2020",13,"BASTROP COUNTY","Male","Grade 10",668
"2019-2020",13,"BASTROP COUNTY","Female","Grade 11",647
"2019-2020",13,"BASTROP COUNTY","Male","Grade 11",664
"2019-2020",13,"BASTROP COUNTY","Female","Grade 12",571
"2019-2020",13,"BASTROP COUNTY","Male","Grade 12",628
"2019-2020",09,"BAYLOR COUNTY","Female","Early Education",2
"2019-2020",09,"BAYLOR COUNTY","Male","Early Education",1
"2019-2020",09,"BAYLOR COUNTY","Female","Pre-kindergarten",11
"2019-2020",09,"BAYLOR COUNTY","Male","Pre-kindergarten",10
"2019-2020",09,"BAYLOR COUNTY","Female","Kindergarten",24
"2019-2020",09,"BAYLOR COUNTY","Male","Kindergarten",23
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 1",20
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 1",30
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 2",21
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 2",23
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 3",22
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 3",18
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 4",21
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 4",22
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 5",25
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 5",18
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 6",25
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 6",22
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 7",14
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 7",20
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 8",18
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 8",29
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 9",19
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 9",29
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 10",19
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 10",17
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 11",17
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 11",23
"2019-2020",09,"BAYLOR COUNTY","Female","Grade 12",12
"2019-2020",09,"BAYLOR COUNTY","Male","Grade 12",24
"2019-2020",02,"BEE COUNTY","Female","Early Education",5
"2019-2020",02,"BEE COUNTY","Male","Early Education",23
"2019-2020",02,"BEE COUNTY","Female","Pre-kindergarten",255
"2019-2020",02,"BEE COUNTY","Male","Pre-kindergarten",321
"2019-2020",02,"BEE COUNTY","Female","Kindergarten",182
"2019-2020",02,"BEE COUNTY","Male","Kindergarten",209
"2019-2020",02,"BEE COUNTY","Female","Grade 1",185
"2019-2020",02,"BEE COUNTY","Male","Grade 1",220
"2019-2020",02,"BEE COUNTY","Female","Grade 2",161
"2019-2020",02,"BEE COUNTY","Male","Grade 2",194
"2019-2020",02,"BEE COUNTY","Female","Grade 3",187
"2019-2020",02,"BEE COUNTY","Male","Grade 3",184
"2019-2020",02,"BEE COUNTY","Female","Grade 4",173
"2019-2020",02,"BEE COUNTY","Male","Grade 4",178
"2019-2020",02,"BEE COUNTY","Female","Grade 5",194
"2019-2020",02,"BEE COUNTY","Male","Grade 5",179
"2019-2020",02,"BEE COUNTY","Female","Grade 6",221
"2019-2020",02,"BEE COUNTY","Male","Grade 6",209
"2019-2020",02,"BEE COUNTY","Female","Grade 7",169
"2019-2020",02,"BEE COUNTY","Male","Grade 7",209
"2019-2020",02,"BEE COUNTY","Female","Grade 8",183
"2019-2020",02,"BEE COUNTY","Male","Grade 8",193
"2019-2020",02,"BEE COUNTY","Female","Grade 9",211
"2019-2020",02,"BEE COUNTY","Male","Grade 9",224
"2019-2020",02,"BEE COUNTY","Female","Grade 10",175
"2019-2020",02,"BEE COUNTY","Male","Grade 10",157
"2019-2020",02,"BEE COUNTY","Female","Grade 11",178
"2019-2020",02,"BEE COUNTY","Male","Grade 11",160
"2019-2020",02,"BEE COUNTY","Female","Grade 12",141
"2019-2020",02,"BEE COUNTY","Male","Grade 12",158
"2019-2020",12,"BELL COUNTY","Female","Early Education",101
"2019-2020",12,"BELL COUNTY","Male","Early Education",220
"2019-2020",12,"BELL COUNTY","Female","Pre-kindergarten",2283
"2019-2020",12,"BELL COUNTY","Male","Pre-kindergarten",2293
"2019-2020",12,"BELL COUNTY","Female","Kindergarten",2829
"2019-2020",12,"BELL COUNTY","Male","Kindergarten",2955
"2019-2020",12,"BELL COUNTY","Female","Grade 1",3015
"2019-2020",12,"BELL COUNTY","Male","Grade 1",3014
"2019-2020",12,"BELL COUNTY","Female","Grade 2",2848
"2019-2020",12,"BELL COUNTY","Male","Grade 2",2913
"2019-2020",12,"BELL COUNTY","Female","Grade 3",2820
"2019-2020",12,"BELL COUNTY","Male","Grade 3",2826
"2019-2020",12,"BELL COUNTY","Female","Grade 4",2698
"2019-2020",12,"BELL COUNTY","Male","Grade 4",2825
"2019-2020",12,"BELL COUNTY","Female","Grade 5",2780
"2019-2020",12,"BELL COUNTY","Male","Grade 5",2922
"2019-2020",12,"BELL COUNTY","Female","Grade 6",2724
"2019-2020",12,"BELL COUNTY","Male","Grade 6",2939
"2019-2020",12,"BELL COUNTY","Female","Grade 7",2791
"2019-2020",12,"BELL COUNTY","Male","Grade 7",2919
"2019-2020",12,"BELL COUNTY","Female","Grade 8",2602
"2019-2020",12,"BELL COUNTY","Male","Grade 8",2807
"2019-2020",12,"BELL COUNTY","Female","Grade 9",2733
"2019-2020",12,"BELL COUNTY","Male","Grade 9",3112
"2019-2020",12,"BELL COUNTY","Female","Grade 10",2429
"2019-2020",12,"BELL COUNTY","Male","Grade 10",2498
"2019-2020",12,"BELL COUNTY","Female","Grade 11",2282
"2019-2020",12,"BELL COUNTY","Male","Grade 11",2287
"2019-2020",12,"BELL COUNTY","Female","Grade 12",2208
"2019-2020",12,"BELL COUNTY","Male","Grade 12",2111
"2019-2020",13,"BELL COUNTY","Female","Early Education",1
"2019-2020",13,"BELL COUNTY","Female","Pre-kindergarten",18
"2019-2020",13,"BELL COUNTY","Male","Pre-kindergarten",16
