T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","GENDER","CHARTER STATUS","ENROLLMENT"
"2018-2019",02,"BEE COUNTY",013901,"BEEVILLE ISD","FEMALE","TRADITIONAL ISD/CSD",1607
"2018-2019",02,"BEE COUNTY",013901,"BEEVILLE ISD","MALE","TRADITIONAL ISD/CSD",1723
"2018-2019",02,"BEE COUNTY",013902,"PAWNEE ISD","FEMALE","TRADITIONAL ISD/CSD",151
"2018-2019",02,"BEE COUNTY",013902,"PAWNEE ISD","MALE","TRADITIONAL ISD/CSD",167
"2018-2019",02,"BEE COUNTY",013903,"PETTUS ISD","FEMALE","TRADITIONAL ISD/CSD",205
"2018-2019",02,"BEE COUNTY",013903,"PETTUS ISD","MALE","TRADITIONAL ISD/CSD",215
"2018-2019",02,"BEE COUNTY",013905,"SKIDMORE-TYNAN ISD","FEMALE","TRADITIONAL ISD/CSD",404
"2018-2019",02,"BEE COUNTY",013905,"SKIDMORE-TYNAN ISD","MALE","TRADITIONAL ISD/CSD",430
"2018-2019",20,"BELL COUNTY",014801,"RICHARD MILBURN ALTER HIGH SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",965
"2018-2019",20,"BELL COUNTY",014801,"RICHARD MILBURN ALTER HIGH SCHOOL","MALE","OPEN ENROLLMENT CHARTER",987
"2018-2019",12,"BELL COUNTY",014803,"PRIORITY CHARTER SCHOOLS","FEMALE","OPEN ENROLLMENT CHARTER",361
"2018-2019",12,"BELL COUNTY",014803,"PRIORITY CHARTER SCHOOLS","MALE","OPEN ENROLLMENT CHARTER",428
"2018-2019",12,"BELL COUNTY",014804,"ORENDA CHARTER SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",816
"2018-2019",12,"BELL COUNTY",014804,"ORENDA CHARTER SCHOOL","MALE","OPEN ENROLLMENT CHARTER",904
"2018-2019",12,"BELL COUNTY",014901,"ACADEMY ISD","FEMALE","TRADITIONAL ISD/CSD",769
"2018-2019",12,"BELL COUNTY",014901,"ACADEMY ISD","MALE","TRADITIONAL ISD/CSD",883
"2018-2019",13,"BELL COUNTY",014902,"BARTLETT ISD","FEMALE","TRADITIONAL ISD/CSD",170
"2018-2019",13,"BELL COUNTY",014902,"BARTLETT ISD","MALE","TRADITIONAL ISD/CSD",173
"2018-2019",12,"BELL COUNTY",014903,"BELTON ISD","FEMALE","TRADITIONAL ISD/CSD",5868
"2018-2019",12,"BELL COUNTY",014903,"BELTON ISD","MALE","TRADITIONAL ISD/CSD",6017
"2018-2019",12,"BELL COUNTY",014905,"HOLLAND ISD","FEMALE","TRADITIONAL ISD/CSD",292
"2018-2019",12,"BELL COUNTY",014905,"HOLLAND ISD","MALE","TRADITIONAL ISD/CSD",364
"2018-2019",12,"BELL COUNTY",014906,"KILLEEN ISD","FEMALE","TRADITIONAL ISD/CSD",22102
"2018-2019",12,"BELL COUNTY",014906,"KILLEEN ISD","MALE","TRADITIONAL ISD/CSD",22872
"2018-2019",12,"BELL COUNTY",014907,"ROGERS ISD","FEMALE","TRADITIONAL ISD/CSD",407
"2018-2019",12,"BELL COUNTY",014907,"ROGERS ISD","MALE","TRADITIONAL ISD/CSD",462
"2018-2019",12,"BELL COUNTY",014908,"SALADO ISD","FEMALE","TRADITIONAL ISD/CSD",911
"2018-2019",12,"BELL COUNTY",014908,"SALADO ISD","MALE","TRADITIONAL ISD/CSD",1038
"2018-2019",12,"BELL COUNTY",014909,"TEMPLE ISD","FEMALE","TRADITIONAL ISD/CSD",4317
"2018-2019",12,"BELL COUNTY",014909,"TEMPLE ISD","MALE","TRADITIONAL ISD/CSD",4435
"2018-2019",12,"BELL COUNTY",014910,"TROY ISD","FEMALE","TRADITIONAL ISD/CSD",741
"2018-2019",12,"BELL COUNTY",014910,"TROY ISD","MALE","TRADITIONAL ISD/CSD",801
"2018-2019",20,"BEXAR COUNTY",015801,"POR VIDA ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",133
"2018-2019",20,"BEXAR COUNTY",015801,"POR VIDA ACADEMY","MALE","OPEN ENROLLMENT CHARTER",96
"2018-2019",20,"BEXAR COUNTY",015802,"GEORGE GERVIN ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",539
"2018-2019",20,"BEXAR COUNTY",015802,"GEORGE GERVIN ACADEMY","MALE","OPEN ENROLLMENT CHARTER",515
"2018-2019",20,"BEXAR COUNTY",015805,"NEW FRONTIERS PUBLIC SCHOOLS INC","FEMALE","OPEN ENROLLMENT CHARTER",341
"2018-2019",20,"BEXAR COUNTY",015805,"NEW FRONTIERS PUBLIC SCHOOLS INC","MALE","OPEN ENROLLMENT CHARTER",322
"2018-2019",20,"BEXAR COUNTY",015806,"SCHOOL OF EXCELLENCE IN EDUCATION","FEMALE","OPEN ENROLLMENT CHARTER",331
"2018-2019",20,"BEXAR COUNTY",015806,"SCHOOL OF EXCELLENCE IN EDUCATION","MALE","OPEN ENROLLMENT CHARTER",318
"2018-2019",20,"BEXAR COUNTY",015807,"SOUTHWEST PREPARATORY SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",514
"2018-2019",20,"BEXAR COUNTY",015807,"SOUTHWEST PREPARATORY SCHOOL","MALE","OPEN ENROLLMENT CHARTER",469
"2018-2019",20,"BEXAR COUNTY",015808,"INSPIRE ACADEMIES","FEMALE","OPEN ENROLLMENT CHARTER",417
"2018-2019",20,"BEXAR COUNTY",015808,"INSPIRE ACADEMIES","MALE","OPEN ENROLLMENT CHARTER",447
"2018-2019",20,"BEXAR COUNTY",015809,"BEXAR COUNTY ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",180
"2018-2019",20,"BEXAR COUNTY",015809,"BEXAR COUNTY ACADEMY","MALE","OPEN ENROLLMENT CHARTER",169
"2018-2019",20,"BEXAR COUNTY",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",75
"2018-2019",20,"BEXAR COUNTY",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL","MALE","OPEN ENROLLMENT CHARTER",56
"2018-2019",20,"BEXAR COUNTY",015815,"HERITAGE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",297
"2018-2019",20,"BEXAR COUNTY",015815,"HERITAGE ACADEMY","MALE","OPEN ENROLLMENT CHARTER",338
"2018-2019",20,"BEXAR COUNTY",015822,"JUBILEE ACADEMIES","FEMALE","OPEN ENROLLMENT CHARTER",2991
"2018-2019",20,"BEXAR COUNTY",015822,"JUBILEE ACADEMIES","MALE","OPEN ENROLLMENT CHARTER",2966
"2018-2019",20,"BEXAR COUNTY",015825,"LIGHTHOUSE CHARTER SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",180
"2018-2019",20,"BEXAR COUNTY",015825,"LIGHTHOUSE CHARTER SCHOOL","MALE","OPEN ENROLLMENT CHARTER",152
"2018-2019",20,"BEXAR COUNTY",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY","FEMALE","OPEN ENROLLMENT CHARTER",865
"2018-2019",20,"BEXAR COUNTY",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY","MALE","OPEN ENROLLMENT CHARTER",986
"2018-2019",20,"BEXAR COUNTY",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)","FEMALE","OPEN ENROLLMENT CHARTER",2123
"2018-2019",20,"BEXAR COUNTY",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)","MALE","OPEN ENROLLMENT CHARTER",2389
"2018-2019",20,"BEXAR COUNTY",015830,"BROOKS ACADEMIES OF TEXAS","FEMALE","OPEN ENROLLMENT CHARTER",1618
"2018-2019",20,"BEXAR COUNTY",015830,"BROOKS ACADEMIES OF TEXAS","MALE","OPEN ENROLLMENT CHARTER",1704
"2018-2019",20,"BEXAR COUNTY",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D","FEMALE","OPEN ENROLLMENT CHARTER",1119
"2018-2019",20,"BEXAR COUNTY",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D","MALE","OPEN ENROLLMENT CHARTER",1263
"2018-2019",20,"BEXAR COUNTY",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL","FEMALE","OPEN ENROLLMENT CHARTER",81
"2018-2019",20,"BEXAR COUNTY",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL","MALE","OPEN ENROLLMENT CHARTER",46
"2018-2019",20,"BEXAR COUNTY",015834,"BASIS TEXAS","FEMALE","OPEN ENROLLMENT CHARTER",1217
"2018-2019",20,"BEXAR COUNTY",015834,"BASIS TEXAS","MALE","OPEN ENROLLMENT CHARTER",1380
"2018-2019",20,"BEXAR COUNTY",015835,"GREAT HEARTS TEXAS","FEMALE","OPEN ENROLLMENT CHARTER",1885
"2018-2019",20,"BEXAR COUNTY",015835,"GREAT HEARTS TEXAS","MALE","OPEN ENROLLMENT CHARTER",1730
"2018-2019",20,"BEXAR COUNTY",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA","FEMALE","OPEN ENROLLMENT CHARTER",171
"2018-2019",20,"BEXAR COUNTY",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA","MALE","OPEN ENROLLMENT CHARTER",166
"2018-2019",20,"BEXAR COUNTY",015838,"COMPASS ROSE ACADEMY","FEMALE","OPEN ENROLLMENT CHARTER",93
"2018-2019",20,"BEXAR COUNTY",015838,"COMPASS ROSE ACADEMY","MALE","OPEN ENROLLMENT CHARTER",100
"2018-2019",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","FEMALE","TRADITIONAL ISD/CSD",2370
"2018-2019",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","MALE","TRADITIONAL ISD/CSD",2494
"2018-2019",20,"BEXAR COUNTY",015904,"HARLANDALE ISD","FEMALE","TRADITIONAL ISD/CSD",6794
"2018-2019",20,"BEXAR COUNTY",015904,"HARLANDALE ISD","MALE","TRADITIONAL ISD/CSD",7292
"2018-2019",20,"BEXAR COUNTY",015905,"EDGEWOOD ISD","FEMALE","TRADITIONAL ISD/CSD",5057
"2018-2019",20,"BEXAR COUNTY",015905,"EDGEWOOD ISD","MALE","TRADITIONAL ISD/CSD",5177
"2018-2019",20,"BEXAR COUNTY",015906,"RANDOLPH FIELD ISD","FEMALE","TRADITIONAL ISD/CSD",736
"2018-2019",20,"BEXAR COUNTY",015906,"RANDOLPH FIELD ISD","MALE","TRADITIONAL ISD/CSD",732
"2018-2019",20,"BEXAR COUNTY",015907,"SAN ANTONIO ISD","FEMALE","TRADITIONAL ISD/CSD",23606
"2018-2019",20,"BEXAR COUNTY",015907,"SAN ANTONIO ISD","MALE","TRADITIONAL ISD/CSD",25139
"2018-2019",20,"BEXAR COUNTY",015908,"SOUTH SAN ANTONIO ISD","FEMALE","TRADITIONAL ISD/CSD",4313
"2018-2019",20,"BEXAR COUNTY",015908,"SOUTH SAN ANTONIO ISD","MALE","TRADITIONAL ISD/CSD",4626
"2018-2019",20,"BEXAR COUNTY",015909,"SOMERSET ISD","FEMALE","TRADITIONAL ISD/CSD",2014
"2018-2019",20,"BEXAR COUNTY",015909,"SOMERSET ISD","MALE","TRADITIONAL ISD/CSD",2144
"2018-2019",20,"BEXAR COUNTY",015910,"NORTH EAST ISD","FEMALE","TRADITIONAL ISD/CSD",31702
"2018-2019",20,"BEXAR COUNTY",015910,"NORTH EAST ISD","MALE","TRADITIONAL ISD/CSD",33484
"2018-2019",20,"BEXAR COUNTY",015911,"EAST CENTRAL ISD","FEMALE","TRADITIONAL ISD/CSD",4827
"2018-2019",20,"BEXAR COUNTY",015911,"EAST CENTRAL ISD","MALE","TRADITIONAL ISD/CSD",5214
"2018-2019",20,"BEXAR COUNTY",015912,"SOUTHWEST ISD","FEMALE","TRADITIONAL ISD/CSD",6642
"2018-2019",20,"BEXAR COUNTY",015912,"SOUTHWEST ISD","MALE","TRADITIONAL ISD/CSD",7117
"2018-2019",20,"BEXAR COUNTY",015913,"LACKLAND ISD","FEMALE","TRADITIONAL ISD/CSD",521
"2018-2019",20,"BEXAR COUNTY",015913,"LACKLAND ISD","MALE","TRADITIONAL ISD/CSD",555
"2018-2019",20,"BEXAR COUNTY",015914,"FT SAM HOUSTON ISD","FEMALE","TRADITIONAL ISD/CSD",777
"2018-2019",20,"BEXAR COUNTY",015914,"FT SAM HOUSTON ISD","MALE","TRADITIONAL ISD/CSD",813
"2018-2019",20,"BEXAR COUNTY",015915,"NORTHSIDE ISD","FEMALE","TRADITIONAL ISD/CSD",51742
"2018-2019",20,"BEXAR COUNTY",015915,"NORTHSIDE ISD","MALE","TRADITIONAL ISD/CSD",54759
"2018-2019",20,"BEXAR COUNTY",015916,"JUDSON ISD","FEMALE","TRADITIONAL ISD/CSD",11303
"2018-2019",20,"BEXAR COUNTY",015916,"JUDSON ISD","MALE","TRADITIONAL ISD/CSD",11567
"2018-2019",20,"BEXAR COUNTY",015917,"SOUTHSIDE ISD","FEMALE","TRADITIONAL ISD/CSD",2785
"2018-2019",20,"BEXAR COUNTY",015917,"SOUTHSIDE ISD","MALE","TRADITIONAL ISD/CSD",2878
"2018-2019",13,"BLANCO COUNTY",016901,"JOHNSON CITY ISD","FEMALE","TRADITIONAL ISD/CSD",297
"2018-2019",13,"BLANCO COUNTY",016901,"JOHNSON CITY ISD","MALE","TRADITIONAL ISD/CSD",353
"2018-2019",13,"BLANCO COUNTY",016902,"BLANCO ISD","FEMALE","TRADITIONAL ISD/CSD",504
"2018-2019",13,"BLANCO COUNTY",016902,"BLANCO ISD","MALE","TRADITIONAL ISD/CSD",507
"2018-2019",17,"BORDEN COUNTY",017901,"BORDEN COUNTY ISD","FEMALE","TRADITIONAL ISD/CSD",101
"2018-2019",17,"BORDEN COUNTY",017901,"BORDEN COUNTY ISD","MALE","TRADITIONAL ISD/CSD",113
"2018-2019",12,"BOSQUE COUNTY",018901,"CLIFTON ISD","FEMALE","TRADITIONAL ISD/CSD",473
"2018-2019",12,"BOSQUE COUNTY",018901,"CLIFTON ISD","MALE","TRADITIONAL ISD/CSD",529
"2018-2019",12,"BOSQUE COUNTY",018902,"MERIDIAN ISD","FEMALE","TRADITIONAL ISD/CSD",220
"2018-2019",12,"BOSQUE COUNTY",018902,"MERIDIAN ISD","MALE","TRADITIONAL ISD/CSD",257
"2018-2019",12,"BOSQUE COUNTY",018903,"MORGAN ISD","FEMALE","TRADITIONAL ISD/CSD",57
"2018-2019",12,"BOSQUE COUNTY",018903,"MORGAN ISD","MALE","TRADITIONAL ISD/CSD",72
"2018-2019",12,"BOSQUE COUNTY",018904,"VALLEY MILLS ISD","FEMALE","TRADITIONAL ISD/CSD",338
"2018-2019",12,"BOSQUE COUNTY",018904,"VALLEY MILLS ISD","MALE","TRADITIONAL ISD/CSD",312
"2018-2019",12,"BOSQUE COUNTY",018905,"WALNUT SPRINGS ISD","FEMALE","TRADITIONAL ISD/CSD",85
"2018-2019",12,"BOSQUE COUNTY",018905,"WALNUT SPRINGS ISD","MALE","TRADITIONAL ISD/CSD",102
"2018-2019",12,"BOSQUE COUNTY",018906,"IREDELL ISD","FEMALE","TRADITIONAL ISD/CSD",62
"2018-2019",12,"BOSQUE COUNTY",018906,"IREDELL ISD","MALE","TRADITIONAL ISD/CSD",81
"2018-2019",12,"BOSQUE COUNTY",018907,"KOPPERL ISD","FEMALE","TRADITIONAL ISD/CSD",105
"2018-2019",12,"BOSQUE COUNTY",018907,"KOPPERL ISD","MALE","TRADITIONAL ISD/CSD",96
"2018-2019",12,"BOSQUE COUNTY",018908,"CRANFILLS GAP ISD","FEMALE","TRADITIONAL ISD/CSD",68
"2018-2019",12,"BOSQUE COUNTY",018908,"CRANFILLS GAP ISD","MALE","TRADITIONAL ISD/CSD",65
"2018-2019",08,"BOWIE COUNTY",019901,"DEKALB ISD","FEMALE","TRADITIONAL ISD/CSD",385
"2018-2019",08,"BOWIE COUNTY",019901,"DEKALB ISD","MALE","TRADITIONAL ISD/CSD",415
"2018-2019",08,"BOWIE COUNTY",019902,"HOOKS ISD","FEMALE","TRADITIONAL ISD/CSD",424
"2018-2019",08,"BOWIE COUNTY",019902,"HOOKS ISD","MALE","TRADITIONAL ISD/CSD",484
"2018-2019",08,"BOWIE COUNTY",019903,"MAUD ISD","FEMALE","TRADITIONAL ISD/CSD",219
"2018-2019",08,"BOWIE COUNTY",019903,"MAUD ISD","MALE","TRADITIONAL ISD/CSD",249
"2018-2019",08,"BOWIE COUNTY",019905,"NEW BOSTON ISD","FEMALE","TRADITIONAL ISD/CSD",636
"2018-2019",08,"BOWIE COUNTY",019905,"NEW BOSTON ISD","MALE","TRADITIONAL ISD/CSD",639
"2018-2019",08,"BOWIE COUNTY",019906,"REDWATER ISD","FEMALE","TRADITIONAL ISD/CSD",545
"2018-2019",08,"BOWIE COUNTY",019906,"REDWATER ISD","MALE","TRADITIONAL ISD/CSD",585
"2018-2019",08,"BOWIE COUNTY",019907,"TEXARKANA ISD","FEMALE","TRADITIONAL ISD/CSD",3572
"2018-2019",08,"BOWIE COUNTY",019907,"TEXARKANA ISD","MALE","TRADITIONAL ISD/CSD",3602
"2018-2019",08,"BOWIE COUNTY",019908,"LIBERTY-EYLAU ISD","FEMALE","TRADITIONAL ISD/CSD",1204
"2018-2019",08,"BOWIE COUNTY",019908,"LIBERTY-EYLAU ISD","MALE","TRADITIONAL ISD/CSD",1261
"2018-2019",08,"BOWIE COUNTY",019909,"SIMMS ISD","FEMALE","TRADITIONAL ISD/CSD",248
"2018-2019",08,"BOWIE COUNTY",019909,"SIMMS ISD","MALE","TRADITIONAL ISD/CSD",269
"2018-2019",08,"BOWIE COUNTY",019910,"MALTA ISD","FEMALE","TRADITIONAL ISD/CSD",93
"2018-2019",08,"BOWIE COUNTY",019910,"MALTA ISD","MALE","TRADITIONAL ISD/CSD",136
"2018-2019",08,"BOWIE COUNTY",019911,"RED LICK ISD","FEMALE","TRADITIONAL ISD/CSD",259
"2018-2019",08,"BOWIE COUNTY",019911,"RED LICK ISD","MALE","TRADITIONAL ISD/CSD",242
"2018-2019",08,"BOWIE COUNTY",019912,"PLEASANT GROVE ISD","FEMALE","TRADITIONAL ISD/CSD",1045
"2018-2019",08,"BOWIE COUNTY",019912,"PLEASANT GROVE ISD","MALE","TRADITIONAL ISD/CSD",1113
"2018-2019",08,"BOWIE COUNTY",019913,"HUBBARD ISD","FEMALE","TRADITIONAL ISD/CSD",46
"2018-2019",08,"BOWIE COUNTY",019913,"HUBBARD ISD","MALE","TRADITIONAL ISD/CSD",61
"2018-2019",08,"BOWIE COUNTY",019914,"LEARY ISD","FEMALE","TRADITIONAL ISD/CSD",60
